"Timestamp","What is your current graduation year?","How would you describe your race and ethnicity? Check all that apply.","What is your intended concentration area(s)?","How would you describe your gender identity? Check all that apply.","Do you identify as LGBTQ+?","Overall, how would you describe your political views relative to those of your parents? ","Have you ever been evaluated by Brown EMS (Emergency Medical Services)? Select all that apply.","How old was your mother when she had you? Enter -1 if unsure.","Were you allowed to watch SpongeBob SquarePants as a kid?","How did you meet your most recent significant other? Pick the option that best applies.","What percentage of Brown students do you think come from a family in the top 1% of household incomes?","What is the minimum salary you would require to work in a role that directly conflicts with your morals? 

Enter -1 if you would not do this for any amount of money.","Which of the following substances have you used recreationally in the past six months?","Do you change with your blinds open?"
"2025/03/04 1:16:53 PM EST","2027","Black","Social Sciences","Man","No","My views are somewhat more conservative","No","29","Yes","Extracurricular activities (athletics, clubs, other campus organizations)","35","-1","Alcohol;LSD/Acid;Marijuana;MDMA (Ecstasy/Molly);Nicotine;Psilocybin (Psychedelic mushrooms)","Yes, and I do think people can see me"
"2025/03/04 1:25:55 PM EST","2025","White","Physical Sciences","Man","No","My views are somewhat more liberal","No","39","No","Party/social event","42","2000000","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 1:26:45 PM EST","2025","White","Humanities/ Arts;Physical Sciences","Man","No","My views are somewhat more conservative","No","30","Yes","Extracurricular activities (athletics, clubs, other campus organizations)","30","1000000","Alcohol;Inhalants (Poppers/Whip-its);Ketamine;Marijuana;Nicotine;Psilocybin (Psychedelic mushrooms);Unprescribed use of prescription stimulants (Adderall)","Yes, but I don't think people can see me"
"2025/03/04 1:29:29 PM EST","2026","Middle Eastern or North African","Humanities/ Arts;Physical Sciences","Man","Yes","My views are somewhat more liberal","Yes, for an incident involving drugs and/or alcohol","34","Yes","Party/social event","40","2","Alcohol;Unprescribed use of prescription stimulants (Adderall)","No"
"2025/03/04 1:33:29 PM EST","2027","White","Physical Sciences","Man","Yes","My views are somewhat more conservative","No","32","No","Mutual friends/met as friends","35","200000","Alcohol;Marijuana","Yes, and I do think people can see me"
"2025/03/04 1:34:10 PM EST","2028","Middle Eastern or North African","Humanities/ Arts;Life Sciences","Woman","Yes","My views are somewhat more liberal","No","28","No","I have not had a significant other","30","-1","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 1:35:49 PM EST","2027","Black","Physical Sciences","Man","No","My views are much more liberal","No","29","Yes","Mutual friends/met as friends","40","500000","Alcohol","No"
"2025/03/04 1:43:32 PM EST","2026","Asian","Physical Sciences","Man","No","Unsure","No","-1","Yes","Class","80","-1","None of the above","No"
"2025/03/04 1:45:48 PM EST","2027","Prefer not to answer","Life Sciences","Man","No","My views are somewhat more liberal","No","33","Yes","High school","40","-1","Alcohol;Marijuana","No"
"2025/03/04 1:46:31 PM EST","2026","White","Physical Sciences","Man","Yes","My views are much more liberal","No","30","Yes","Dorm","85","-1","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 1:47:36 PM EST","2025","White","Physical Sciences","Man","No","My views are somewhat more liberal","No","30","Yes","Job/internship","50","500000","Alcohol;Nicotine","Yes, but I don't think people can see me"
"2025/03/04 1:50:01 PM EST","2027","Asian","Humanities/ Arts;Life Sciences","Woman","No","My views are somewhat more liberal","No","-1","Yes","High school","40","1000000000","None of the above","Yes, but I don't think people can see me"
"2025/03/04 1:51:22 PM EST","2026","Hispanic or Latino","Social Sciences","Woman","No","My views are somewhat more liberal","No","23","Yes","Mutual friends/met as friends","40","-1","None of the above","No"
"2025/03/04 1:51:51 PM EST","2027","Hispanic or Latino;White","Humanities/ Arts","Man","No","My views are somewhat more liberal","No","39","Yes","High school","40","800000","Alcohol;LSD/Acid;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 1:52:52 PM EST","2028","White","Physical Sciences","Woman","Unsure","My views are somewhat more liberal","No","35","Yes","High school","40","-1","Alcohol;Marijuana;Nicotine","Yes, and I do think people can see me"
"2025/03/04 1:52:58 PM EST","2025","Black;White","Physical Sciences","Man","No","My views are somewhat more liberal","Yes, for a different reason","-1","Yes","Mutual friends/met as friends","15","-1","None of the above","Yes, but I don't think people can see me"
"2025/03/04 1:58:43 PM EST","2025","White","Humanities/ Arts;Social Sciences","Man","No","My views are much more liberal","No","39","Yes","Dating app","40","-1","Alcohol;Marijuana;Nicotine","Yes, but I don't think people can see me"
"2025/03/04 1:59:49 PM EST","2025","White","Social Sciences","Man","No","My views are similar to those of my parents","No","34","Yes","Dorm","10","400000","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 2:02:31 PM EST","2025","Black","Physical Sciences","Woman","Yes","My views are somewhat more liberal","Yes, for a different reason","41","No","Party/social event","10","-1","Alcohol","No"
"2025/03/04 2:07:59 PM EST","2028","Asian;White","Life Sciences;Social Sciences","Woman","Yes","My views are much more liberal","No","35","Yes","Class","10","200000","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 2:10:33 PM EST","2025","White","Humanities/ Arts;Life Sciences","Man","No","My views are somewhat more liberal","No","32","No","I have not had a significant other","7","-1","Alcohol","No"
"2025/03/04 2:11:46 PM EST","2027","Asian","Humanities/ Arts;Social Sciences","Man","No","My views are somewhat more conservative","No","31","Unsure","I have not had a significant other","20","-1","None of the above","Yes, and I do think people can see me"
"2025/03/04 2:12:53 PM EST","2026","White","Life Sciences","Woman","No","My views are somewhat more liberal","No","33","Yes","I have not had a significant other","5","-1","None of the above","Yes, but I don't think people can see me"
"2025/03/04 2:15:39 PM EST","2028","Asian","Life Sciences","Man","No","My views are much more liberal","No","-1","Yes","Class","7","1000000","None of the above","No"
"2025/03/04 2:16:34 PM EST","2028","Middle Eastern or North African","Physical Sciences;Social Sciences","Man","No","My views are somewhat more conservative","No","32","Yes","High school","20","500000","Alcohol","No"
"2025/03/04 2:18:21 PM EST","2025","Asian","Physical Sciences","Man","No","My views are much more liberal","Yes, for an incident involving drugs and/or alcohol","30","Yes","Dating app","15","100000","Alcohol;Marijuana;Nicotine","No"
"2025/03/04 2:18:43 PM EST","2027","Hispanic or Latino","Social Sciences","Woman","No","My views are somewhat more liberal","No","43","Yes","I have not had a significant other","10","1","Marijuana","Yes, but I don't think people can see me"
"2025/03/04 2:21:33 PM EST","2025","Asian","Physical Sciences;Social Sciences","Man","No","My views are somewhat more liberal","No","32","Yes","Mutual friends/met as friends","50","500000","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 2:23:33 PM EST","2025","White","Social Sciences","Man","No","My views are much more conservative","No","33","Unsure","Mutual friends/met as friends","45","-1","Alcohol;Cocaine;Marijuana;Nicotine;Psilocybin (Psychedelic mushrooms)","Yes, but I don't think people can see me"
"2025/03/04 2:25:13 PM EST","2028","White","Humanities/ Arts;Social Sciences","Man","No","My views are somewhat more liberal","No","35","Yes","Mutual friends/met as friends","20","200000","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 2:25:40 PM EST","2028","White","Life Sciences;Physical Sciences","Woman","No","My views are much more liberal","No","37","No","Class","20","500000","Alcohol;Marijuana","Yes, and I do think people can see me"
"2025/03/04 2:26:41 PM EST","2026","Asian","Physical Sciences","Man","No","My views are somewhat more liberal","No","30","Yes","High school","22","120000","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 2:27:21 PM EST","2025","White","Physical Sciences;Social Sciences","Non-binary","Yes","My views are somewhat more liberal","No","33","Yes","Party/social event","20","-1","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 2:28:23 PM EST","2025","Asian;White","Humanities/ Arts","Non-binary","Yes","My views are much more liberal","Yes, for a different reason","40","No","Class","60","-1","Alcohol;Cocaine;Inhalants (Poppers/Whip-its);Ketamine;Marijuana;Nicotine;Psilocybin (Psychedelic mushrooms)","No"
"2025/03/04 2:29:52 PM EST","2028","Middle Eastern or North African","Humanities/ Arts;Physical Sciences","Woman","Yes","My views are much more liberal","No","40","No","I have not had a significant other","30","1000000","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 2:30:04 PM EST","2025","Hispanic or Latino","Physical Sciences","Man","No","My views are somewhat more liberal","No","28","No","Extracurricular activities (athletics, clubs, other campus organizations)","30","-1","None of the above","No"
"2025/03/04 2:33:34 PM EST","2025","White","Social Sciences","Man","No","My views are somewhat more liberal","No","41","Yes","Dorm","30","300000","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 2:39:16 PM EST","2027","Asian","Physical Sciences","Man","No","My views are somewhat more liberal","No","32","Yes","Party/social event","8","-1","Alcohol;Marijuana;Psilocybin (Psychedelic mushrooms)","No"
"2025/03/04 2:40:59 PM EST","2026","Asian","Social Sciences","Woman","No","My views are somewhat more liberal","No","31","Yes","Extracurricular activities (athletics, clubs, other campus organizations)","20","-1","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 2:43:02 PM EST","2025","Asian","Humanities/ Arts","Woman;Non-binary","Yes","My views are much more liberal","No","27","Yes","Dating app","10","-1","Alcohol","No"
"2025/03/04 2:43:13 PM EST","2025","Asian","Humanities/ Arts","Woman","Unsure","My views are somewhat more liberal","No","-1","Yes","Dating app","20","-1","Alcohol","No"
"2025/03/04 2:49:35 PM EST","2028","White","Life Sciences;Physical Sciences","Man","Unsure","My views are somewhat more liberal","No","30","Yes","Party/social event","24","500000","Alcohol;Marijuana;Nicotine","Yes, but I don't think people can see me"
"2025/03/04 2:49:50 PM EST","2027","Middle Eastern or North African","Physical Sciences","Man","No","My views are much more liberal","No","-1","Yes","Extracurricular activities (athletics, clubs, other campus organizations)","30","300000","Alcohol;Marijuana;Nicotine","No"
"2025/03/04 2:55:33 PM EST","2025","White","Physical Sciences","Man","No","My views are somewhat more liberal","Yes, for a different reason","39","No","Party/social event","60","400000","Alcohol;Nicotine","Yes, but I don't think people can see me"
"2025/03/04 2:57:11 PM EST","2027","White","Physical Sciences","Man","Yes","My views are somewhat more liberal","No","31","No","I have not had a significant other","10","-1","None of the above","Yes, but I don't think people can see me"
"2025/03/04 3:00:49 PM EST","2027","Black","Physical Sciences","Man","No","My views are somewhat more conservative","Yes, for a different reason","20","Yes","Extracurricular activities (athletics, clubs, other campus organizations)","20","250000","Alcohol;Marijuana;Nicotine;Psilocybin (Psychedelic mushrooms)","Yes, but I don't think people can see me"
"2025/03/04 3:04:18 PM EST","2026","White","Physical Sciences","Man","No","My views are somewhat more liberal","No","35","Yes","Mutual friends/met as friends","5","1000000","None of the above","No"
"2025/03/04 3:05:20 PM EST","2025","Asian","Life Sciences","Man","No","My views are somewhat more liberal","No","29","Yes","I have not had a significant other","5","1000000","None of the above","No"
"2025/03/04 3:07:09 PM EST","2028","White","Social Sciences","Man","No","My views are somewhat more conservative","No","38","Yes","Dorm","60","-1","Alcohol;Nicotine","Yes, but I don't think people can see me"
"2025/03/04 3:07:24 PM EST","2025","Asian","Life Sciences","Woman","No","My views are similar to those of my parents","No","30","Yes","Dating app","10","600000","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 3:09:58 PM EST","2026","White","Physical Sciences","Woman","Yes","My views are much more liberal","No","44","Yes","I have not had a significant other","3","300000","Alcohol;Marijuana;Nicotine","No"
"2025/03/04 3:11:09 PM EST","2025","Asian","Social Sciences","Woman","Yes","My views are much more liberal","No","27","Unsure","Class","10","600000","Marijuana","No"
"2025/03/04 3:13:48 PM EST","2028","White","Humanities/ Arts;Life Sciences","Man","No","My views are somewhat more conservative","Yes, for a different reason","35","Yes","Extracurricular activities (athletics, clubs, other campus organizations)","10","1000000","Alcohol;Marijuana","No"
"2025/03/04 3:14:03 PM EST","2026","Asian","Social Sciences","Woman","No","My views are much more liberal","No","30","No","Dating app","15","600000","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 3:16:05 PM EST","2027","White","Physical Sciences","Man","No","My views are similar to those of my parents","No","36","Yes","Mutual friends/met as friends","20","200000","Alcohol;Marijuana;Nicotine","No"
"2025/03/04 3:16:27 PM EST","2028","Asian","Physical Sciences","Man","No","My views are similar to those of my parents","No","36","Yes","I have not had a significant other","34","500000","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 3:16:35 PM EST","2027","Asian","Life Sciences","Woman","Yes","My views are much more liberal","No","36","Yes","I have not had a significant other","33","2000000","None of the above","No"
"2025/03/04 3:16:57 PM EST","2028","Asian","Humanities/ Arts;Physical Sciences;Social Sciences","Man","No","My views are somewhat more liberal","No","35","No","High school","20","-1","None of the above","No"
"2025/03/04 3:19:13 PM EST","2028","Black;White","Physical Sciences","Non-binary","Yes","My views are somewhat more liberal","No","45","No","I have not had a significant other","60","-1","Alcohol;Marijuana;Nicotine","Yes, but I don't think people can see me"
"2025/03/04 3:19:20 PM EST","2028","Asian","Life Sciences","Woman","No","My views are somewhat more liberal","No","30","Yes","I have not had a significant other","30","-1","None of the above","No"
"2025/03/04 3:20:21 PM EST","2028","White","Life Sciences","Man","Yes","My views are somewhat more liberal","No","27","Yes","I have not had a significant other","20","1000000","None of the above","No"
"2025/03/04 3:21:36 PM EST","2028","White","Life Sciences;Physical Sciences","Woman","Yes","My views are much more liberal","Yes, for an incident involving drugs and/or alcohol","25","Yes","I have not had a significant other","15","500000","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 3:22:43 PM EST","2027","Asian","Life Sciences;Physical Sciences","Man","Prefer not to answer","My views are somewhat more liberal","No","36","Unsure","I have not had a significant other","51.4","-1","None of the above","No"
"2025/03/04 3:23:37 PM EST","2026","Asian","Physical Sciences","Woman","No","My views are somewhat more liberal","Yes, for a different reason","31","Yes","I have not had a significant other","10","1000000","None of the above","No"
"2025/03/04 3:25:29 PM EST","2028","Asian;White","Humanities/ Arts","Man","Yes","My views are somewhat more liberal","No","31","No","High school","20","-1","None of the above","Yes, but I don't think people can see me"
"2025/03/04 3:26:37 PM EST","2025","Asian","Physical Sciences","Man","No","My parents have significantly different political views from each other","No","33","Yes","Extracurricular activities (athletics, clubs, other campus organizations)","30","600000","Marijuana;Unprescribed use of prescription stimulants (Adderall)","No"
"2025/03/04 3:27:53 PM EST","2028","White","Humanities/ Arts","Woman","Unsure","My views are somewhat more liberal","No","35","No","I have not had a significant other","25","-1","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 3:28:18 PM EST","2026.5","Asian","Physical Sciences","Man","No","My views are somewhat more conservative","No","40","No","I have not had a significant other","40","500000","Alcohol","No"
"2025/03/04 3:28:50 PM EST","2025.5","White","Humanities/ Arts","Man","No","My views are somewhat more liberal","Yes, for a different reason","32","No","Class","20","300000","Alcohol;Cocaine;Marijuana;Nicotine","Yes, but I don't think people can see me"
"2025/03/04 3:34:04 PM EST","2027","Asian","Physical Sciences","Man","No","My views are somewhat more liberal","No","-1","Unsure","Class","30","-1","None of the above","No"
"2025/03/04 3:36:58 PM EST","2027","Middle Eastern or North African","Physical Sciences;Social Sciences","Man","No","My views are similar to those of my parents","No","30","Yes","Class","30","180000","None of the above","Yes, but I don't think people can see me"
"2025/03/04 3:37:06 PM EST","2027","Middle Eastern or North African","Physical Sciences","Woman","No","My views are somewhat more liberal","No","-1","No","Mutual friends/met as friends","40","150000","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 3:38:14 PM EST","2028","White","Physical Sciences;Social Sciences","Woman","Yes","My views are somewhat more liberal","No","35","Yes","High school","5","-1","Alcohol","No"
"2025/03/04 3:39:54 PM EST","2027","Hispanic or Latino;White","Physical Sciences","Man","No","My views are similar to those of my parents","No","1","Yes","Class","50","1","Alcohol;Marijuana","No"
"2025/03/04 3:41:27 PM EST","2025","Asian","Humanities/ Arts;Social Sciences","Non-binary","Yes","My views are much more liberal","Yes, for an incident involving drugs and/or alcohol","40","Yes","Mutual friends/met as friends","50","-1","Alcohol;Marijuana","Yes, and I do think people can see me"
"2025/03/04 3:42:47 PM EST","2025","White","Humanities/ Arts;Social Sciences","Man","Yes","My views are much more liberal","No","34","Yes","High school","30","1000000","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 3:44:46 PM EST","2027","White","Physical Sciences","Man","No","My parents have significantly different political views from each other","No","-1","No","I have not had a significant other","20","500000","None of the above","No"
"2025/03/04 3:44:50 PM EST","2028","Asian","Physical Sciences","Man","No","My views are somewhat more conservative","No","-1","Yes","Mutual friends/met as friends","15","100000","Alcohol","No"
"2025/03/04 3:46:17 PM EST","2025","Asian","Physical Sciences;Social Sciences","Woman","No","My views are much more liberal","No","30","Yes","I have not had a significant other","30","80000","Alcohol","No"
"2025/03/04 3:48:23 PM EST","2025","Asian","Life Sciences","Woman","No","My views are somewhat more liberal","Yes, for an incident involving drugs and/or alcohol","27","No","Extracurricular activities (athletics, clubs, other campus organizations)","15","300000","Alcohol;Marijuana","Yes, and I do think people can see me"
"2025/03/04 3:48:33 PM EST","2025","Asian","Humanities/ Arts;Life Sciences","Man","No","My views are somewhat more liberal","No","27","No","I have not had a significant other","12","-1","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 3:50:45 PM EST","2025","White","Life Sciences;Social Sciences","Man","Yes","My views are somewhat more liberal","No","42","No","Dating app","25","-1","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 3:51:43 PM EST","2026","Hispanic or Latino","Physical Sciences","Man","No","My views are much more liberal","Yes, for an incident involving drugs and/or alcohol","24","Yes","Mutual friends/met as friends","40","500000","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/04 3:54:05 PM EST","2028","White","Humanities/ Arts;Social Sciences","Woman","Yes","My views are somewhat more liberal","Yes, for a different reason","38","No","I have not had a significant other","30","-1","Alcohol;Marijuana","No"
"2025/03/04 3:54:22 PM EST","2028","Asian","Life Sciences;Physical Sciences","Woman","Yes","My views are much more liberal","No","36","Yes","I have not had a significant other","20","10000000","Alcohol","No"
"2025/03/04 3:55:10 PM EST","2025","Hispanic or Latino;White","Physical Sciences","Man","No","My views are somewhat more liberal","No","35","Yes","Party/social event","20","400000","Alcohol;Marijuana","Yes, and I do think people can see me"
"2025/03/04 3:55:51 PM EST","2026","Hispanic or Latino;White","Social Sciences","Woman","No","My views are similar to those of my parents","Yes, for a different reason","34","No","Mutual friends/met as friends","40","200000","Alcohol;Marijuana","Yes, and I do think people can see me"
"2025/03/04 3:56:19 PM EST","2025","Hispanic or Latino","Humanities/ Arts","Woman","Unsure","My views are much more liberal","No","27","No","I have not had a significant other","56","9","Alcohol;Cocaine;Inhalants (Poppers/Whip-its);Ketamine;LSD/Acid;Marijuana;Methamphetamine;MDMA (Ecstasy/Molly);Nicotine;Psilocybin (Psychedelic mushrooms);Unprescribed use of prescription stimulants (Adderall)","Yes, but I don't think people can see me"
"2025/03/04 3:58:23 PM EST","2026","Asian","Humanities/ Arts","Woman;Non-binary;Other","Yes","My views are much more liberal","No","34","No","seeing around campus","15","-1","Alcohol","Yes, and I do think people can see me"
"2025/03/04 3:59:45 PM EST","2027","Hispanic or Latino;White","Humanities/ Arts;Social Sciences","Woman;Man;Non-binary;Other","Prefer not to answer","Unsure","No","35","Yes","Social media","18","-1","None of the above","Yes, and I do think people can see me"
"2025/03/04 4:00:38 PM EST","2026","White","Social Sciences","Woman","No","My views are similar to those of my parents","No","29","Yes","Mutual friends/met as friends","4","1000000","Marijuana","No"
"2025/03/04 5:07:27 PM EST","2026","White","Humanities/ Arts;Social Sciences","Woman","No","My views are somewhat more liberal","No","40","No","Extracurricular activities (athletics, clubs, other campus organizations)","20","-1","Alcohol","Yes, but I don't think people can see me"
"2025/03/04 5:09:23 PM EST","2028","Asian","Physical Sciences","Woman","No","My views are somewhat more liberal","No","33","No","Party/social event","40","150000","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/06 10:12:11 AM EST","2028","White","Social Sciences","Man","No","My views are similar to those of my parents","No","36","Yes","Prefer not to answer","80","10000000","Alcohol","No"
"2025/03/06 10:15:01 AM EST","2026","Hispanic or Latino;Native American or Alaska Native","Life Sciences","Man","Yes","My views are much more liberal","Yes, for a different reason","36","Yes","Dating app","5","150000","Alcohol;Marijuana;Nicotine","No"
"2025/03/06 10:16:44 AM EST","2025","Hispanic or Latino","Humanities/ Arts","Woman","Yes","My views are much more liberal","No","22","Yes","I have not had a significant other","50","-1","Alcohol;Inhalants (Poppers/Whip-its);Marijuana;Nicotine","Yes, but I don't think people can see me"
"2025/03/06 10:19:00 AM EST","2026","White","Social Sciences","Man","No","My views are somewhat more conservative","Yes, for an incident involving drugs and/or alcohol","25","Yes","Extracurricular activities (athletics, clubs, other campus organizations)","10","-1","Alcohol","No"
"2025/03/06 10:22:09 AM EST","2028","Asian;Hispanic or Latino","Social Sciences","Woman","Yes","My views are somewhat more liberal","No","30","Unsure","High school","10","-1","Alcohol","No"
"2025/03/06 10:24:41 AM EST","2025","Asian","Humanities/ Arts","Man","No","My views are somewhat more conservative","No","30","Yes","Social media","50","-1","Alcohol","Yes, but I don't think people can see me"
"2025/03/06 10:26:22 AM EST","2028","Hispanic or Latino;White","Physical Sciences","Man","Yes","My views are somewhat more liberal","No","20","Yes","High school","30","300000","Alcohol;Marijuana","Yes, and I do think people can see me"
"2025/03/06 10:28:36 AM EST","2028","Hispanic or Latino;White","Physical Sciences","Man","Yes","My views are somewhat more liberal","No","30","Yes","Mutual friends/met as friends","40","-1","Alcohol","No"
"2025/03/06 10:31:28 AM EST","2027","Asian","Life Sciences","Man","No","My views are similar to those of my parents","Prefer not to answer","25","Yes","Mutual friends/met as friends","80","-1","Marijuana;Nicotine","No"
"2025/03/06 10:44:14 AM EST","2026","White","Life Sciences","Man","No","My views are much more conservative","No","28","No","Mutual friends/met as friends","40","-1","None of the above","No"
"2025/03/06 11:10:09 AM EST","2028","Asian","Humanities/ Arts;Life Sciences;Social Sciences","Woman","No","My views are somewhat more liberal","No","27","Yes","High school","30","-1","Alcohol","Yes, but I don't think people can see me"
"2025/03/06 11:10:33 AM EST","2026","Black","Humanities/ Arts;Social Sciences","Woman;Non-binary","Yes","My views are much more liberal","No","30","No","gates scholarship confrence","50","-1","Alcohol;Cocaine;Ketamine;Marijuana","Yes, and I do think people can see me"
"2025/03/06 11:10:36 AM EST","2028","White","Humanities/ Arts;Physical Sciences","Man","No","My views are somewhat more liberal","No","34","Unsure","High school","15","-1","Alcohol;LSD/Acid;Marijuana;Psilocybin (Psychedelic mushrooms)","Prefer not to answer"
"2025/03/06 11:13:07 AM EST","2025","Asian","Humanities/ Arts;Social Sciences","Man","No","My views are somewhat more liberal","No","25","Yes","Social media","8","-1","Alcohol","Yes, but I don't think people can see me"
"2025/03/06 11:15:22 AM EST","2028","Black","Physical Sciences","Woman","No","Unsure","Yes, for a different reason","40","Yes","I have not had a significant other","45","600000","None of the above","No"
"2025/03/06 11:16:43 AM EST","2028","Asian","Humanities/ Arts;Physical Sciences;Social Sciences","Man","No","My views are somewhat more liberal","No","-1","Yes","Social media","35","-1","Alcohol","Yes, but I don't think people can see me"
"2025/03/06 11:19:37 AM EST","2028","Asian;White","Humanities/ Arts;Social Sciences","Man","No","My views are much more liberal","No","39","No","I have not had a significant other","25","200000","None of the above","Yes, and I do think people can see me"
"2025/03/06 11:20:03 AM EST","2027","Black","Physical Sciences","Man","No","My views are similar to those of my parents","No","33","Yes","Class","35","200000","Alcohol","Yes, but I don't think people can see me"
"2025/03/06 11:22:46 AM EST","2025","Black","Humanities/ Arts","Man","No","My views are somewhat more conservative","No","36","Yes","Mutual friends/met as friends","40","500000","Alcohol","Yes, but I don't think people can see me"
"2025/03/06 11:24:04 AM EST","2025","White","Physical Sciences","Man","Yes","My views are somewhat more liberal","No","35","Yes","Extracurricular activities (athletics, clubs, other campus organizations)","10","-1","Alcohol;Marijuana;Nicotine","Yes, but I don't think people can see me"
"2025/03/06 11:26:17 AM EST","2027","Asian","Social Sciences","Woman","No","My views are somewhat more liberal","No","39","Yes","I have not had a significant other","15","500000","None of the above","No"
"2025/03/06 11:31:53 AM EST","2028","White","Prefer not to answer","Woman","No","My views are similar to those of my parents","No","29","No","Party/social event","8","7000000","None of the above","No"
"2025/03/06 11:33:33 AM EST","2028","White","Physical Sciences","Man","No","My views are much more liberal","No","35","Yes","Extracurricular activities (athletics, clubs, other campus organizations)","5","2000000","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/06 11:47:24 AM EST","2028","Asian","Physical Sciences","Man","No","My views are somewhat more liberal","No","22","No","I have not had a significant other","10","-1","Alcohol;Marijuana;Nicotine","No"
"2025/03/06 11:48:06 AM EST","2028","Asian","Humanities/ Arts","Woman","Yes","My views are much more liberal","No","29","Yes","I have not had a significant other","15","-1","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/06 11:48:50 AM EST","2027","Asian;Hispanic or Latino;Native Hawaiian or Pacific Islander;White","Humanities/ Arts;Life Sciences;Physical Sciences;Social Sciences","Woman","Unsure","My views are much more liberal","No","-1","No","I have not had a significant other","20","-1","None of the above","No"
"2025/03/06 11:50:21 AM EST","2028","Hispanic or Latino;White","Life Sciences;Social Sciences","Woman","Yes","My views are much more liberal","No","28","Yes","High school","20","200000","None of the above","Yes, but I don't think people can see me"
"2025/03/06 11:50:24 AM EST","2028","Black","Humanities/ Arts","Man","No","My views are similar to those of my parents","No","-1","Yes","Dorm","20","-1","Alcohol;Marijuana;Nicotine","No"
"2025/03/06 11:50:43 AM EST","2028","Asian","Social Sciences","Man","No","My views are similar to those of my parents","No","35","Yes","I have not had a significant other","12","100000","Alcohol","Yes, but I don't think people can see me"
"2025/03/06 11:51:29 AM EST","2027","Black","Life Sciences","Woman","No","Unsure","No","33","Yes","I have not had a significant other","50","-1","None of the above","No"
"2025/03/06 11:52:42 AM EST","2028","Middle Eastern or North African;White","Humanities/ Arts;Social Sciences","Man","No","My views are similar to those of my parents","No","34","Yes","High school","20","200000","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/06 11:53:02 AM EST","2028","Asian","Humanities/ Arts;Social Sciences","Woman","No","My views are similar to those of my parents","No","30","Unsure","Party/social event","10","1000000","Alcohol","No"
"2025/03/06 11:53:28 AM EST","2027","White","Physical Sciences","Man","No","My views are much more liberal","Yes, for a different reason","45","No","I have not had a significant other","25","150000","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/06 11:53:54 AM EST","2026","White","Life Sciences","Man","Yes","My views are somewhat more liberal","Yes, for a different reason","40","No","Mutual friends/met as friends","20","-1","Alcohol","Yes, but I don't think people can see me"
"2025/03/06 11:55:23 AM EST","2028","White","Social Sciences","Woman","No","My views are much more liberal","No","42","Yes","I have not had a significant other","40","200000","Alcohol;Marijuana","Yes, but I don't think people can see me"
"2025/03/06 11:55:41 AM EST","2026","Asian","Life Sciences;Physical Sciences","Woman","No","My views are much more liberal","No","30","Yes","Class","70","5000000","Alcohol;Marijuana;Unprescribed use of prescription stimulants (Adderall)","Yes, but I don't think people can see me"
"2025/03/06 11:55:47 AM EST","2027","White","Life Sciences;Physical Sciences","Man","Yes","My views are somewhat more liberal","Yes, for a different reason","29","No","I have not had a significant other","5","-1","Alcohol;Inhalants (Poppers/Whip-its);Marijuana;Nicotine","Yes, but I don't think people can see me"
"2025/03/06 11:57:00 AM EST","2028","Asian","Life Sciences","Man","No","My views are somewhat more liberal","No","36","Yes","I have not had a significant other","40","1000000","None of the above","Yes, but I don't think people can see me"
"2025/03/06 11:57:26 AM EST","2026","White","Humanities/ Arts","Man","Yes","My views are somewhat more liberal","No","39","Yes","Extracurricular activities (athletics, clubs, other campus organizations)","30","-1","Alcohol;Marijuana","Yes, and I do think people can see me"
"2025/03/06 11:57:51 AM EST","2028","Asian","Prefer not to answer","Man","No","My views are similar to those of my parents","No","28","Yes","I have not had a significant other","10","1000000","None of the above","No"
"2025/03/06 11:58:08 AM EST","2027","Black","Social Sciences","Man","No","My views are somewhat more liberal","No","27","Yes","Class","30","500000","Prefer not to answer","No"
