"Timestamp","What gender do you identify with?","What race do you identify with?","What graduation class are you?","What is the maximum size of an indoor social gathering (without masking) that you would feel comfortable attending right now?","Which Covid-19 restrictions do you think should be in place right now? (check all that apply)","Which Covid-19 restrictions would you support if Brown were to see a rise in cases similar to the increase in early September of this year? (check all that apply)","How worried are you about getting seriously sick from Covid-19?","How would you describe your political views?","Do you think you are more liberal, more conservative, or about the same as the median Brown student?"," Do you approve or disapprove of the way Joe Biden is handling his job as President?","How happy are you that you go to Brown?","Which of the following do you check on a regular basis? (check all that apply)","How satisfied are you with the overall experience of Brown dining at the moment?"
"2021/10/13 11:45:06 AM AST","Female","Asian","2023.5","10 people","Required masking in class;Required masking in libraries;Gathering size limits","Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Liberal","About the same","Unsure/no opinion","Somewhat happy","Dear Blueno;Brown meme pages","Very unsatisfied"
"2021/10/13 11:45:24 AM AST","Male","Asian","2025","25 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","","I am not very worried about getting seriously sick from Covid-19","Moderate","More conservative","Neither approve nor disapprove","Very happy","","Neutral"
"2021/10/13 11:45:35 AM AST","Non-binary","White","2023","100 people","Mandatory Covid-19 testing","Required masking in class;Mandatory Covid-19 testing","I am not at all worried about getting seriously sick from Covid-19","Very liberal","More liberal","Unsure/no opinion","Very happy","Official Brown website and social media pages;Dear Blueno;Brown meme pages;Class Facebook page","Unsatisfied"
"2021/10/13 11:46:02 AM AST","Male","Asian","2024","25 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat approve","Very happy","The Brown Daily Herald website;Dear Blueno;Brown meme pages","Satisfied"
"2021/10/13 11:46:54 AM AST","Male","White","2025","10 people","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Neither approve nor disapprove","Very happy","Brown meme pages","Satisfied"
"2021/10/13 11:48:49 AM AST","Male","Asian","2024","No maximum","Required masking in athletic facilities (Nelson, OMAC, etc.);Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am not at all worried about getting seriously sick from Covid-19","Liberal","About the same","Unsure/no opinion","Somewhat happy","Official Brown website and social media pages;Brown meme pages","Very unsatisfied"
"2021/10/13 11:49:22 AM AST","Female","Black","2023","50 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Very liberal","More liberal","Neither approve nor disapprove","Very happy","The Brown Daily Herald website;Dear Blueno;Brown meme pages;Class Facebook page","Satisfied"
"2021/10/13 11:50:21 AM AST","Male","White","2024","50 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am not at all worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat approve","Very happy","Official Brown website and social media pages;Brown meme pages;Class Facebook page","Satisfied"
"2021/10/13 11:50:28 AM AST","Male","Asian","2023","10 people","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing","I am somewhat worried about getting seriously sick from Covid-19","Moderate","More conservative","Somewhat approve","Somewhat happy","Official Brown website and social media pages","Neutral"
"2021/10/13 11:51:09 AM AST","Male","White","2025","No maximum","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.)","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing","I am not at all worried about getting seriously sick from Covid-19","Moderate","More conservative","Somewhat disapprove","Very happy","","Satisfied"
"2021/10/13 11:51:33 AM AST","Female","White","2024","10 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Moderate","More conservative","Strongly approve","Very happy","Brown meme pages","Neutral"
"2021/10/13 11:51:36 AM AST","Male","Non-white Hispanic","2025","15 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Very liberal","About the same","Somewhat approve","Very happy","","Satisfied"
"2021/10/13 11:52:19 AM AST","Female","White","2025","No maximum","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not at all worried about getting seriously sick from Covid-19","Liberal","About the same","Neither approve nor disapprove","Very happy","The Brown Daily Herald website;Brown meme pages","Unsatisfied"
"2021/10/13 11:53:10 AM AST","Male","White","2022","100 people","Mandatory Covid-19 testing","Required masking in class;Mandatory Covid-19 testing","I am somewhat worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat approve","Very happy","Official Brown website and social media pages;Dear Blueno;Brown meme pages","I am not on meal plan"
"2021/10/13 11:54:26 AM AST","Female","Asian","2022","25 people","Required masking in class;Mandatory Covid-19 testing","Required masking in class;Mandatory Covid-19 testing;Gathering size limits","I am extremely worried about getting seriously sick from Covid-19","Moderate","About the same","Somewhat approve","Very happy","Brown meme pages;Class Facebook page","Neutral"
"2021/10/13 11:56:03 AM AST","Male","White","2025","No maximum","","","I am not at all worried about getting seriously sick from Covid-19","Moderate","More conservative","Strongly disapprove","Somewhat happy","Brown meme pages","Very unsatisfied"
"2021/10/13 11:56:41 AM AST","Female","Black","2022.5","50 people","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing","Suspended indoor dining;Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Very liberal","About the same","Neither approve nor disapprove","Very happy","Official Brown website and social media pages;Brown meme pages","I am not on meal plan"
"2021/10/13 11:57:33 AM AST","Female","White","2024","No maximum","Required masking in class","Required masking in class","I am not at all worried about getting seriously sick from Covid-19","Liberal","More conservative","Somewhat approve","Very happy","Official Brown website and social media pages;Class Facebook page","Very unsatisfied"
"2021/10/13 11:59:09 AM AST","Female","White","2024","15 people","Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Moderate","About the same","Somewhat approve","Very happy","Dear Blueno;Brown meme pages","Satisfied"
"2021/10/13 1:04:18 PM AST","Male","White","2023.5","No maximum","Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not at all worried about getting seriously sick from Covid-19","Very liberal","About the same","Somewhat approve","Very happy","Brown meme pages","Unsatisfied"
"2021/10/13 1:06:38 PM AST","Male","Asian","2025","15 people","Required masking in class;Gathering size limits","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Unsure/no opinion","Very happy","","Neutral"
"2021/10/13 1:07:38 PM AST","Male","Black","2024","No maximum","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not at all worried about getting seriously sick from Covid-19","Liberal","More conservative","Neither approve nor disapprove","Very happy","Brown meme pages","Neutral"
"2021/10/13 1:09:34 PM AST","Male","White","2023","No maximum","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat disapprove","Very happy","The Brown Daily Herald website;Official Brown website and social media pages;Brown meme pages","Neutral"
"2021/10/13 1:11:23 PM AST","Male","White","2024","No maximum","None","None","I am not at all worried about getting seriously sick from Covid-19","Liberal","More conservative","Neither approve nor disapprove","Somewhat happy","The Brown Daily Herald website;Official Brown website and social media pages;The College Hill Independent website;Brown meme pages","Satisfied"
"2021/10/13 1:11:58 PM AST","Female","White","2022","10 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat approve","Somewhat happy","Brown meme pages","I am not on meal plan"
"2021/10/13 1:13:51 PM AST","Female","White","2025","No maximum","None","None","I am not at all worried about getting seriously sick from Covid-19","Very liberal","About the same","Unsure/no opinion","Very happy","Official Brown website and social media pages","Satisfied"
"2021/10/13 1:14:05 PM AST","Female","White","2025","100 people","Mandatory Covid-19 testing;Gathering size limits","Prefer not to answer","I am not very worried about getting seriously sick from Covid-19","Unsure/prefer not to answer","More conservative","Unsure/no opinion","Somewhat happy","","Satisfied"
"2021/10/13 1:19:29 PM AST","Male","White","2022.5","No maximum","Mandatory Covid-19 testing","Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Moderate","More liberal","Somewhat approve","Very happy","","I am not on meal plan"
"2021/10/13 1:22:04 PM AST","Female","White","2023","100 people","Required masking in class;Required masking in libraries;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Neither approve nor disapprove","Very happy","","Satisfied"
"2021/10/13 1:24:41 PM AST","Male","Asian","2025","10 people","Required masking in class;Required masking in libraries","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Moderate","About the same","Somewhat disapprove","Very happy","Brown meme pages","Neutral"
"2021/10/13 1:26:47 PM AST","Female","Asian","2025","50 people","None","Gathering size limits","I am not at all worried about getting seriously sick from Covid-19","Liberal","More liberal","Somewhat disapprove","Very happy","The Brown Daily Herald website;Brown meme pages","Satisfied"
"2021/10/13 1:28:29 PM AST","Male","Asian","2022","50 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat disapprove","Somewhat happy","Dear Blueno","I am not on meal plan"
"2021/10/13 1:29:07 PM AST","Female","Asian","2022","100 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat approve","Neither happy nor unhappy","","I am not on meal plan"
"2021/10/13 1:30:46 PM AST","Female","Black & White","2023","10 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Moderate","About the same","Somewhat disapprove","Very happy","Dear Blueno;Class Facebook page","Neutral"
"2021/10/13 1:31:39 PM AST","Female","Black","2023","50 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am not at all worried about getting seriously sick from Covid-19","Liberal","About the same","Unsure/no opinion","Somewhat happy","","Neutral"
"2021/10/13 1:32:36 PM AST","Female","Prefer not to answer","2025","10 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Liberal","About the same","Unsure/no opinion","Very happy","","Satisfied"
"2021/10/13 1:33:58 PM AST","Female","White","2023.5","No maximum","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Very liberal","More liberal","Strongly disapprove","Somewhat happy","Dear Blueno","Very unsatisfied"
"2021/10/13 1:35:56 PM AST","Female","White","2021.5","100 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Very liberal","More conservative","Somewhat approve","Somewhat unhappy","","I am not on meal plan"
"2021/10/13 1:36:58 PM AST","Male","White","2025","No maximum","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not at all worried about getting seriously sick from Covid-19","Very liberal","About the same","Somewhat approve","Somewhat happy","Brown meme pages","Neutral"
"2021/10/13 1:37:21 PM AST","Female","Asian","2025","No maximum","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing","Required masking in athletic facilities (Nelson, OMAC, etc.)","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat approve","Somewhat happy","Official Brown website and social media pages;Brown meme pages","Neutral"
"2021/10/13 1:39:56 PM AST","Male","White","2023","No maximum","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Unsure/no opinion","Very happy","Brown meme pages","Neutral"
"2021/10/13 1:40:24 PM AST","Male","White","2023","5 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries","Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Very liberal","More liberal","Strongly disapprove","Somewhat happy","Brown meme pages","Unsatisfied"
"2021/10/13 1:43:20 PM AST","Non-binary","White","2021.5","No maximum","Required masking in class","Required masking in class","I am not very worried about getting seriously sick from Covid-19","Liberal","More conservative","Somewhat approve","Somewhat happy","","Very unsatisfied"
"2021/10/13 1:43:57 PM AST","Female","Asian","2023.5","10 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Very liberal","About the same","Neither approve nor disapprove","Somewhat happy","Brown meme pages","Satisfied"
"2021/10/13 1:47:26 PM AST","Female","mixed race","2024","25 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Liberal","More liberal","Somewhat approve","Very happy","The Brown Daily Herald website;Official Brown website and social media pages;Dear Blueno;Brown meme pages;Class Facebook page","Unsatisfied"
"2021/10/13 1:53:21 PM AST","Female","Asian","2024","10 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Moderate","More conservative","Somewhat disapprove","Very happy","Brown meme pages","Unsatisfied"
"2021/10/13 1:54:13 PM AST","Female","White","2023","50 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Very liberal","More liberal","Somewhat disapprove","Very happy","","Very unsatisfied"
"2021/10/13 1:55:31 PM AST","Female","Asian","2021.5","100 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Very liberal","More liberal","Neither approve nor disapprove","Somewhat happy","","I am not on meal plan"
"2021/10/13 1:57:43 PM AST","Male","White","2023","No maximum","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Neither approve nor disapprove","Somewhat happy","The Brown Daily Herald website;Dear Blueno;Class Facebook page","Very unsatisfied"
"2021/10/13 2:00:21 PM AST","Male","","2023.5","No maximum","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am somewhat worried about getting seriously sick from Covid-19","Very liberal","More liberal","Somewhat approve","Very happy","The Brown Daily Herald website;Brown meme pages","Neutral"
"2021/10/13 2:01:53 PM AST","Male","White","2022","No maximum","None","None","I am not at all worried about getting seriously sick from Covid-19","Liberal","More conservative","Strongly approve","Very happy","Dear Blueno","Neutral"
"2021/10/13 2:02:14 PM AST","Female","White","2022","No maximum","Mandatory Covid-19 testing","Required masking in class;Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Very liberal","More liberal","Somewhat approve","Very happy","Official Brown website and social media pages;Brown meme pages","I am not on meal plan"
"2021/10/13 2:04:37 PM AST","Female","White","2023","No maximum","Required masking in class;Mandatory Covid-19 testing","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat approve","Somewhat happy","The Brown Daily Herald website;Brown meme pages","Satisfied"
"2021/10/13 2:05:05 PM AST","Male","White","2025","15 people","Prefer not to answer","None","I am not very worried about getting seriously sick from Covid-19","Moderate","Unsure/prefer not to answer","Unsure/no opinion","Somewhat happy","","Satisfied"
"2021/10/13 2:06:55 PM AST","Male","Asian","2024","10 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Moderate","More conservative","Unsure/no opinion","Very happy","Dear Blueno;Brown meme pages;Class Facebook page","Neutral"
"2021/10/13 2:07:58 PM AST","Male","Asian","2024","15 people","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Moderate","Unsure/prefer not to answer","Somewhat approve","Neither happy nor unhappy","Official Brown website and social media pages;Dear Blueno;Brown meme pages","Unsatisfied"
"2021/10/13 2:08:10 PM AST","Female","Asian","2022","10 people","Mandatory Covid-19 testing","Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Unsure/no opinion","Very happy","","Neutral"
"2021/10/13 2:09:55 PM AST","Female","Asian","2025","25 people","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Liberal","About the same","Prefer not to answer","Very happy","","Satisfied"
"2021/10/13 2:10:07 PM AST","Female","Asian and White","2024","No maximum","Mandatory Covid-19 testing","Required masking in class;Mandatory Covid-19 testing","I am not at all worried about getting seriously sick from Covid-19","Very liberal","More liberal","Somewhat disapprove","Very happy","","Unsatisfied"
"2021/10/13 2:13:11 PM AST","Female","White","2024","10 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Very liberal","About the same","Somewhat disapprove","Neither happy nor unhappy","","Very unsatisfied"
"2021/10/13 2:14:23 PM AST","Female","North African","2022","5 people","Required masking in class;Required masking in libraries;Gathering size limits","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Liberal","More liberal","Unsure/no opinion","Somewhat happy","The Brown Daily Herald website;Dear Blueno;Brown meme pages","I am not on meal plan"
"2021/10/13 2:15:27 PM AST","Prefer not to answer","Prefer not to answer","2023","No maximum","None","None","I am not at all worried about getting seriously sick from Covid-19","Very liberal","More liberal","Neither approve nor disapprove","Very happy","","Very satisfied"
"2021/10/13 2:16:07 PM AST","Female","White","2023","100 people","Required masking in class","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Liberal","More conservative","Prefer not to answer","Very happy","Class Facebook page","No opinion/prefer not to answer"
"2021/10/13 2:17:41 PM AST","Male","Asian","2022","No maximum","Required masking in class","None","I am not at all worried about getting seriously sick from Covid-19","Moderate","More conservative","Unsure/no opinion","Very happy","Brown meme pages","I am not on meal plan"
"2021/10/13 2:17:44 PM AST","Male","White","2024","No maximum","Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat approve","Somewhat happy","","Neutral"
"2021/10/13 2:20:18 PM AST","Female","Prefer not to answer","2024","No maximum","Required masking in class;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am not at all worried about getting seriously sick from Covid-19","Unsure/prefer not to answer","About the same","Prefer not to answer","Very unhappy","Official Brown website and social media pages;Brown meme pages","Very unsatisfied"
"2021/10/13 2:20:27 PM AST","Male","2 races","2024","100 people","None","Mandatory Covid-19 testing","I am not at all worried about getting seriously sick from Covid-19","Moderate","About the same","Unsure/no opinion","Somewhat happy","Brown meme pages","Neutral"
"2021/10/13 2:22:52 PM AST","Female","","2024","50 people","Required masking in class","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Very liberal","About the same","Somewhat approve","Very happy","The Brown Daily Herald website;Official Brown website and social media pages;Dear Blueno;Brown meme pages;Class Facebook page","Very unsatisfied"
"2021/10/13 2:23:55 PM AST","Male","White","2023","No maximum","None","Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Unsure/prefer not to answer","Unsure/prefer not to answer","Strongly disapprove","Somewhat unhappy","Brown meme pages","Very unsatisfied"
"2021/10/13 2:26:28 PM AST","Male","Asian","2024","10 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Very liberal","About the same","Somewhat approve","Very happy","Brown meme pages","Satisfied"
"2021/10/13 2:27:02 PM AST","Female","White","2025","10 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Very liberal","More liberal","Somewhat disapprove","Very happy","Dear Blueno","Satisfied"
"2021/10/13 2:30:01 PM AST","Male","Biracial (White/Asian)","2024","15 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Very liberal","More liberal","Strongly disapprove","Somewhat happy","Dear Blueno","Very unsatisfied"
"2021/10/13 2:32:23 PM AST","Male","Asian","2025","50 people","Required masking in class;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Suspended indoor dining","I am extremely worried about getting seriously sick from Covid-19","Liberal","More liberal","Unsure/no opinion","Somewhat happy","","Neutral"
"2021/10/13 2:33:16 PM AST","Male","White","2023","No maximum","None","Mandatory Covid-19 testing;Gathering size limits","I am not at all worried about getting seriously sick from Covid-19","Conservative","More conservative","Unsure/no opinion","Very happy","Dear Blueno","Satisfied"
"2021/10/13 2:35:52 PM AST","Male","Asian","2022","25 people","Required masking in class;Mandatory Covid-19 testing","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am extremely worried about getting seriously sick from Covid-19","Moderate","About the same","Neither approve nor disapprove","Very happy","The Brown Daily Herald website","Very unsatisfied"
"2021/10/13 2:38:10 PM AST","Female","White","2022","No maximum","Required masking in class;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Liberal","More conservative","Somewhat approve","Very happy","Official Brown website and social media pages;Dear Blueno;Brown meme pages;Class Facebook page","I am not on meal plan"
