"Timestamp","What is your current graduation year?","How would you describe your gender identity? Check all that apply.","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area(s)?","To what extent do you agree or disagree with the following statement: I feel comfortable expressing my political opinions on Brown’s campus.","Have you attended a protest in your time at Brown?","To what extent do you agree with the following statement: It is possible for Israel and an independent Palestinian state to coexist peacefully.","Should the 20 members of BrownU Jews for Ceasefire Now who staged a sit-in at University Hall face disciplinary action from the University?","To what extent do you agree or disagree with recent calls for Brown University to divest its endowment from weapons manufacturers supplying the Israeli army?","Have you been to therapy (psychological or emotional counseling) before?","On average, how many class meetings (including lectures, seminars, labs, conference sections, etc.) do you skip per week?","Do you think your concentration/double-concentration is harder or easier than the majority of other concentrations at Brown?","Do you think humans are inherently monogamous (are inclined to commit to only one person at a time)?","When was the last time you masturbated?"
"2023/11/28 3:24:35 PM EST","2025","Woman","Middle Eastern or North African","Social Sciences (including economics, CLPS)","Somewhat agree","No","Somewhat disagree","No","Somewhat agree","I am currently going to therapy","1","My concentration is harder than the majority of other concentrations","No","Yesterday"
"2023/11/28 3:24:42 PM EST","2026","Man","White","Humanities/Arts","Somewhat agree","Yes","Strongly disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is easier than the majority of other concentrations","Yes","In the last week"
"2023/11/28 3:25:06 PM EST","2026","Man","Asian;White","Physical Sciences (including math, computer science)","Somewhat agree","No","Strongly agree","Yes","Strongly disagree","I have never been to therapy","0","My concentration is harder than the majority of other concentrations","Unsure","Unsure"
"2023/11/28 3:26:01 PM EST","2027","Man","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Strongly agree","Yes","Unsure","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","Unsure","Unsure","In the last week"
"2023/11/28 3:27:44 PM EST","2027","Man","Black;Hispanic or Latino","Physical Sciences (including math, computer science)","Somewhat agree","No","Unsure","No","Somewhat agree","I am currently going to therapy","2","My concentration is harder than the majority of other concentrations","Yes","In the last month"
"2023/11/28 3:29:18 PM EST","2026","Woman","Asian","Physical Sciences (including math, computer science)","Somewhat agree","No","Somewhat agree","Unsure","Unsure","I have never been to therapy","2","My concentration is harder than the majority of other concentrations","Yes","Prefer not to answer"
"2023/11/28 3:31:04 PM EST","2025","Man","White","Physical Sciences (including math, computer science)","Somewhat disagree","No","Strongly agree","Unsure","Strongly disagree","I have been to therapy in the past but do not currently go to therapy","5+","My concentration is harder than the majority of other concentrations","Yes","In the last week"
"2023/11/28 3:31:49 PM EST","2027","Man","Asian","Physical Sciences (including math, computer science)","Somewhat agree","No","Strongly agree","No","Somewhat agree","I have never been to therapy","3","My concentration is harder than the majority of other concentrations","Yes","Unsure"
"2023/11/28 3:31:57 PM EST","2027","Man","Asian","Life Sciences;Social Sciences (including economics, CLPS)","Somewhat agree","No","Unsure","No","Somewhat agree","I have never been to therapy","1","My concentration is harder than the majority of other concentrations","Yes","In the last month"
"2023/11/28 3:32:58 PM EST","2026","Man","Asian","Physical Sciences (including math, computer science)","Somewhat disagree","No","Somewhat disagree","No","Somewhat disagree","I have never been to therapy","3","My concentration is easier than the majority of other concentrations","No","Prefer not to answer"
"2023/11/28 3:33:05 PM EST","2026","Non-binary","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat agree","Yes","Somewhat disagree","No","Strongly agree","I have never been to therapy","0","Unsure","Yes","In the last month"
"2023/11/28 3:33:36 PM EST","2026","Woman","Asian;Black","Life Sciences;Social Sciences (including economics, CLPS)","Somewhat agree","No","Somewhat agree","No","Somewhat agree","I have never been to therapy","0","Unsure","No","In the last month"
"2023/11/28 3:34:19 PM EST","2025","Man","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Strongly disagree","No","Somewhat agree","No","Somewhat disagree","I have never been to therapy","3","My concentration is harder than the majority of other concentrations","Unsure","Today"
"2023/11/28 3:34:27 PM EST","2025","Woman","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","No","Unsure","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","5+","My concentration is easier than the majority of other concentrations","No","Prefer not to answer"
"2023/11/28 3:35:34 PM EST","2025","Man","White","Humanities/Arts","Somewhat disagree","Yes","Strongly agree","No","Unsure","I have never been to therapy","1","Unsure","No","In the last week"
"2023/11/28 3:36:03 PM EST","2024","Man","Hispanic or Latino","Life Sciences","Somewhat agree","Yes","Strongly disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","3","My concentration is harder than the majority of other concentrations","Yes","Prefer not to answer"
"2023/11/28 3:37:03 PM EST","2024","Woman","Black","Life Sciences;Social Sciences (including economics, CLPS)","Somewhat agree","Yes","Strongly disagree","No","Strongly agree","I am currently going to therapy","Prefer not to answer","Unsure","Unsure","Today"
"2023/11/28 3:37:12 PM EST","2027","Man","White","Humanities/Arts;Life Sciences","Somewhat agree","No","Somewhat agree","Yes","Unsure","I have never been to therapy","1","My concentration is harder than the majority of other concentrations","Yes","Today"
"2023/11/28 3:37:55 PM EST","2024","Man","Asian","Physical Sciences (including math, computer science)","Somewhat agree","No","Strongly agree","No","Somewhat disagree","I have never been to therapy","4","Unsure","No","In the last year"
"2023/11/28 3:38:27 PM EST","2024.5","Woman","Asian;Black","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Strongly agree","Yes","Strongly disagree","No","Strongly agree","I am currently going to therapy","3","My concentration is easier than the majority of other concentrations","Unsure","Today"
"2023/11/28 3:40:08 PM EST","2026","Woman","White","Life Sciences;Social Sciences (including economics, CLPS)","Somewhat agree","Yes","Unsure","No","Somewhat agree","I am currently going to therapy","2","Unsure","Unsure","In the last year"
"2023/11/28 3:40:39 PM EST","2024","Man","Hispanic or Latino","Physical Sciences (including math, computer science)","Strongly agree","No","Somewhat disagree","No","Strongly agree","I have never been to therapy","3","My concentration is harder than the majority of other concentrations","Yes","Yesterday"
"2023/11/28 3:40:57 PM EST","2024","Woman","Black","Humanities/Arts","Somewhat agree","Yes","Strongly agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is easier than the majority of other concentrations","Unsure","In the last month"
"2023/11/28 3:41:19 PM EST","2027","Man","Asian","Life Sciences;Physical Sciences (including math, computer science)","Somewhat agree","No","Somewhat agree","Unsure","Unsure","I have never been to therapy","0","My concentration is harder than the majority of other concentrations","Unsure","In the last week"
"2023/11/28 3:42:34 PM EST","2026","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat disagree","No","Somewhat agree","Unsure","Somewhat disagree","I have never been to therapy","3","My concentration is harder than the majority of other concentrations","Unsure","In the last week"
"2023/11/28 3:43:19 PM EST","2026","Man","Hispanic or Latino","Physical Sciences (including math, computer science)","Somewhat agree","Yes","Somewhat disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","2","My concentration is harder than the majority of other concentrations","Unsure","Today"
"2023/11/28 3:44:21 PM EST","2026","Woman","White","Social Sciences (including economics, CLPS)","Strongly agree","Yes","Somewhat disagree","No","Strongly agree","I am currently going to therapy","1","My concentration is easier than the majority of other concentrations","Yes","In the last week"
"2023/11/28 3:45:52 PM EST","2025","Woman","Asian","Social Sciences (including economics, CLPS)","Strongly agree","No","Somewhat agree","No","Somewhat agree","I am currently going to therapy","1","My concentration is easier than the majority of other concentrations","Yes","Yesterday"
"2023/11/28 3:45:57 PM EST","2025","Man","Asian;White","Humanities/Arts;Physical Sciences (including math, computer science)","Strongly agree","Yes","Somewhat agree","No","Strongly agree","I am currently going to therapy","1","My concentration is easier than the majority of other concentrations","No","Yesterday"
"2023/11/28 3:47:18 PM EST","2026","Man","White","Social Sciences (including economics, CLPS)","Somewhat disagree","No","Somewhat agree","Prefer not to answer","Somewhat disagree","I have never been to therapy","3","My concentration is harder than the majority of other concentrations","Unsure","Yesterday"
"2023/11/28 3:48:48 PM EST","2027","Man","White","Social Sciences (including economics, CLPS)","Somewhat agree","Yes","Strongly agree","Yes","Somewhat disagree","I have been to therapy in the past but do not currently go to therapy","3","Unsure","Unsure","Unsure"
"2023/11/28 3:49:49 PM EST","2027","Man","Black","Life Sciences","Somewhat agree","Yes","Somewhat agree","No","Somewhat agree","I have never been to therapy","3","My concentration is harder than the majority of other concentrations","Unsure","In the last week"
"2023/11/28 3:51:18 PM EST","2026","Man","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat agree","No","Prefer not to answer","Prefer not to answer","Prefer not to answer","I have never been to therapy","2","Prefer not to answer","Yes","Prefer not to answer"
"2023/11/28 3:51:31 PM EST","2025","Man","Prefer not to answer","Life Sciences;Physical Sciences (including math, computer science)","Strongly agree","No","Unsure","No","Strongly agree","I am currently going to therapy","1","My concentration is harder than the majority of other concentrations","Yes","Prefer not to answer"
"2023/11/28 3:52:31 PM EST","2026","Woman","White","Life Sciences","Somewhat agree","Yes","Strongly agree","No","Strongly agree","I am currently going to therapy","1","My concentration is easier than the majority of other concentrations","Yes","In the last week"
"2023/11/28 3:52:39 PM EST","2027","Man","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Strongly disagree","No","Somewhat agree","No","Somewhat disagree","I have never been to therapy","5+","My concentration is easier than the majority of other concentrations","Yes","Yesterday"
"2023/11/28 3:54:23 PM EST","2027","Woman","Asian;White","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat agree","No","Somewhat disagree","No","Somewhat agree","I have been to therapy in the past but do not currently go to therapy","0","Unsure","No","Prefer not to answer"
"2023/11/28 3:54:26 PM EST","2024","Man","White","Physical Sciences (including math, computer science)","Unsure","No","Somewhat agree","No","Unsure","I have been to therapy in the past but do not currently go to therapy","0","My concentration is harder than the majority of other concentrations","Unsure","Yesterday"
"2023/11/28 3:55:09 PM EST","2025","Man","White","Life Sciences","Strongly agree","Yes","Strongly agree","No","Strongly agree","I am currently going to therapy","0","Unsure","No","In the last week"
"2023/11/28 3:55:59 PM EST","2026","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat disagree","Unsure","Somewhat agree","Unsure","Strongly disagree","I have never been to therapy","0","Unsure","Yes","In the last week"
"2023/11/28 3:56:41 PM EST","2025","Man","White","Physical Sciences (including math, computer science)","Somewhat disagree","No","Unsure","No","Unsure","I have never been to therapy","3","My concentration is harder than the majority of other concentrations","Yes","In the last month"
"2023/11/28 3:57:18 PM EST","2027","Woman","White","Humanities/Arts","Somewhat agree","Unsure","Unsure","No","Somewhat agree","I am currently going to therapy","0","My concentration is easier than the majority of other concentrations","Yes","Yesterday"
"2023/11/28 3:58:32 PM EST","2026","Woman","White","Physical Sciences (including math, computer science)","Strongly agree","No","Unsure","No","Strongly agree","Unsure","0","My concentration is harder than the majority of other concentrations","No","I have never masturbated"
"2023/11/28 3:58:38 PM EST","2026","Man","Black","Social Sciences (including economics, CLPS)","Strongly agree","Yes","Strongly disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","Unsure","Yes","In the last week"
"2023/11/28 3:59:39 PM EST","2026","Man","Asian;White","Social Sciences (including economics, CLPS)","Somewhat agree","Yes","Somewhat agree","No","Strongly agree","I am currently going to therapy","2","My concentration is easier than the majority of other concentrations","Yes","In the last week"
"2023/11/28 3:59:57 PM EST","2025","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","Yes","Unsure","No","Somewhat agree","I have been to therapy in the past but do not currently go to therapy","3","My concentration is harder than the majority of other concentrations","Unsure","Prefer not to answer"
"2023/11/28 4:00:29 PM EST","2024","Woman","Black","Humanities/Arts","Strongly agree","Yes","Strongly agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","2","My concentration is harder than the majority of other concentrations","No","Unsure"
"2023/11/28 4:02:03 PM EST","2024","Woman","Hispanic or Latino;White","Humanities/Arts","Somewhat agree","Yes","Somewhat disagree","No","Strongly agree","I have never been to therapy","0","My concentration is easier than the majority of other concentrations","Unsure","In the last month"
"2023/11/29 10:07:17 AM EST","2024","Man","White","Social Sciences (including economics, CLPS)","Somewhat agree","No","Somewhat agree","No","Strongly disagree","I have never been to therapy","0","My concentration is harder than the majority of other concentrations","Yes","Yesterday"
"2023/11/29 10:13:06 AM EST","2025","Woman","Asian","Life Sciences;Social Sciences (including economics, CLPS)","Somewhat agree","Yes","Strongly disagree","No","Somewhat agree","I am currently going to therapy","2","My concentration is easier than the majority of other concentrations","Yes","In the last week"
"2023/11/29 10:16:44 AM EST","2025","Woman","White","Social Sciences (including economics, CLPS)","Somewhat disagree","Yes","Somewhat agree","Yes","Strongly disagree","I have been to therapy in the past but do not currently go to therapy","2","My concentration is easier than the majority of other concentrations","Unsure","Prefer not to answer"
"2023/11/29 10:17:35 AM EST","2025","Woman","Black;Middle Eastern or North African","Life Sciences","Somewhat agree","Yes","Strongly disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is harder than the majority of other concentrations","Unsure","In the last month"
"2023/11/29 10:19:08 AM EST","2025","Woman","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat agree","Yes","Somewhat agree","No","Strongly agree","I have never been to therapy","2","My concentration is harder than the majority of other concentrations","Unsure","Yesterday"
"2023/11/29 10:20:14 AM EST","2024","Man","Black;Hispanic or Latino","Social Sciences (including economics, CLPS)","Somewhat agree","Unsure","Somewhat agree","No","Strongly agree","I am currently going to therapy","1","My concentration is easier than the majority of other concentrations","Unsure","In the last week"
"2023/11/29 10:20:42 AM EST","2025","Man","Asian","Life Sciences","Somewhat agree","No","Somewhat disagree","No","Somewhat agree","I have never been to therapy","3","My concentration is harder than the majority of other concentrations","No","Yesterday"
"2023/11/29 10:22:15 AM EST","2024","Woman","Asian;White","Social Sciences (including economics, CLPS)","Somewhat agree","Unsure","Somewhat agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","1","My concentration is easier than the majority of other concentrations","No","Unsure"
"2023/11/29 10:30:33 AM EST","2025","Woman","Asian","Social Sciences (including economics, CLPS)","Strongly agree","Unsure","Unsure","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","1","My concentration is easier than the majority of other concentrations","Yes","In the last week"
"2023/11/29 10:32:27 AM EST","2026","Woman","Asian;Hispanic or Latino;Native Hawaiian or Pacific Islander;White","Social Sciences (including economics, CLPS)","Somewhat disagree","No","Somewhat agree","No","Somewhat agree","I have been to therapy in the past but do not currently go to therapy","2","Unsure","Yes","Yesterday"
"2023/11/29 10:32:58 AM EST","2027","Man","Hispanic or Latino","Humanities/Arts","Somewhat agree","Yes","Somewhat disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","2","Unsure","Unsure","Yesterday"
"2023/11/29 10:34:24 AM EST","2024","Woman","White","Life Sciences;Social Sciences (including economics, CLPS)","Strongly agree","Yes","Somewhat agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is harder than the majority of other concentrations","Yes","Yesterday"
"2023/11/29 10:36:19 AM EST","2025","Woman","White","Humanities/Arts","Somewhat agree","Yes","Unsure","No","Strongly agree","I am currently going to therapy","0","My concentration is easier than the majority of other concentrations","No","Yesterday"
"2023/11/29 10:38:51 AM EST","2025.5","Woman","Asian","Life Sciences;Social Sciences (including economics, CLPS)","Somewhat agree","Yes","Somewhat disagree","No","Strongly agree","I am currently going to therapy","0","Unsure","Unsure","Unsure"
"2023/11/29 10:41:39 AM EST","2025","Man","White","Social Sciences (including economics, CLPS)","Prefer not to answer","No","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not answer","Prefer not to answer"
"2023/11/29 10:43:50 AM EST","2026","Woman","Hispanic or Latino","Humanities/Arts","Strongly disagree","Yes","Strongly agree","No","Somewhat disagree","I am currently going to therapy","5+","My concentration is easier than the majority of other concentrations","Yes","Unsure"
"2023/11/29 10:46:17 AM EST","2027","Woman","Black;White","Humanities/Arts","Strongly agree","Yes","Strongly disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","Unsure","Unsure","In the last week"
"2023/11/29 10:47:13 AM EST","2025","Man","White","Social Sciences (including economics, CLPS)","Somewhat disagree","No","Somewhat agree","No","Somewhat agree","I have never been to therapy","3","My concentration is easier than the majority of other concentrations","Yes","Yesterday"
"2023/11/29 10:50:15 AM EST","2027","Woman","White","Physical Sciences (including math, computer science)","Somewhat disagree","No","Strongly agree","Unsure","Strongly disagree","I have been to therapy in the past but do not currently go to therapy","1","Unsure","No","In the last week"
"2023/11/29 10:52:54 AM EST","2027","Woman","Asian","Life Sciences;Social Sciences (including economics, CLPS)","Somewhat agree","Yes","Somewhat disagree","No","Strongly agree","I have never been to therapy","0","My concentration is harder than the majority of other concentrations","Unsure","Prefer not to answer"
"2023/11/29 10:53:00 AM EST","2026","Woman","Black","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","No","Somewhat agree","No","Strongly agree","I have never been to therapy","3","Unsure","Unsure","Unsure"
"2023/11/29 10:54:09 AM EST","2027","Woman","Black","Social Sciences (including economics, CLPS)","Somewhat agree","Unsure","Unsure","No","Somewhat agree","I have never been to therapy","1","My concentration is easier than the majority of other concentrations","Unsure","I have never masturbated"
"2023/11/29 10:55:23 AM EST","2026","Woman","White","Social Sciences (including economics, CLPS)","Somewhat disagree","Yes","Somewhat agree","No","Strongly disagree","I have been to therapy in the past but do not currently go to therapy","5+","Unsure","Unsure","In the last week"
"2023/11/29 10:55:40 AM EST","2027","Woman","Middle Eastern or North African;White","Life Sciences;Social Sciences (including economics, CLPS)","Somewhat disagree","No","Somewhat agree","No","Somewhat agree","I am currently going to therapy","3","My concentration is easier than the majority of other concentrations","No","I have never masturbated"
"2023/11/29 10:56:53 AM EST","2025","Woman","Asian","Life Sciences","Somewhat agree","Yes","Somewhat agree","No","Strongly agree","I have never been to therapy","2","Unsure","Yes","Yesterday"
"2023/11/29 10:58:24 AM EST","2026","Woman","Asian","Social Sciences (including economics, CLPS)","Somewhat disagree","Yes","Somewhat disagree","No","Somewhat agree","I have never been to therapy","2","My concentration is easier than the majority of other concentrations","Unsure","Prefer not to answer"
"2023/11/29 10:58:32 AM EST","2026","Man","White","Social Sciences (including economics, CLPS)","Somewhat agree","No","Somewhat disagree","No","Somewhat agree","I have never been to therapy","4","My concentration is easier than the majority of other concentrations","Unsure","In the last week"
"2023/11/29 11:00:38 AM EST","2024.5","Man","White","Life Sciences","Strongly agree","Yes","Somewhat agree","No","Strongly agree","I am currently going to therapy","2","My concentration is harder than the majority of other concentrations","No","Yesterday"
"2023/11/29 11:01:03 AM EST","2026","Man","White","Life Sciences","Somewhat disagree","No","Strongly agree","No","Somewhat agree","I am currently going to therapy","0","My concentration is harder than the majority of other concentrations","Yes","In the last week"
"2023/11/29 11:02:36 AM EST","2027","Man","Asian","Humanities/Arts;Life Sciences","Somewhat disagree","Yes","Unsure","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","2","My concentration is harder than the majority of other concentrations","Yes","In the last year"
"2023/11/29 11:02:51 AM EST","2026","Woman","White","Physical Sciences (including math, computer science)","Somewhat agree","Yes","Unsure","No","Strongly agree","I am currently going to therapy","5+","My concentration is harder than the majority of other concentrations","No","In the last week"
"2023/11/29 11:09:49 AM EST","2024","Man","White","Humanities/Arts","Somewhat disagree","Unsure","Somewhat agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is easier than the majority of other concentrations","Unsure","In the last week"
"2023/11/29 11:12:22 AM EST","2024","Man","White","Social Sciences (including economics, CLPS)","Strongly agree","Yes","Somewhat agree","No","Strongly agree","I have never been to therapy","0","My concentration is easier than the majority of other concentrations","Unsure","In the last week"
"2023/11/29 11:13:36 AM EST","2026","Man","Black","Physical Sciences (including math, computer science)","Somewhat agree","No","Somewhat agree","Unsure","Unsure","I have never been to therapy","3","My concentration is harder than the majority of other concentrations","Yes","Yesterday"
"2023/11/29 11:14:45 AM EST","2025","Man","Asian;White","Humanities/Arts;Life Sciences","Somewhat agree","Yes","Prefer not to answer","Prefer not to answer","Prefer not to answer","I have never been to therapy","3","My concentration is harder than the majority of other concentrations","No","Yesterday"
"2023/11/29 11:15:42 AM EST","2025","Woman","Asian;Native American or Alaska Native;White","Life Sciences","Somewhat disagree","No","Unsure","Prefer not to answer","Somewhat disagree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is harder than the majority of other concentrations","Yes","In the last week"
"2023/11/29 11:15:47 AM EST","2025","Woman","Asian","Humanities/Arts;Life Sciences","Somewhat agree","No","Unsure","No","Strongly agree","I have never been to therapy","3","My concentration is harder than the majority of other concentrations","Yes","Unsure"
"2023/11/29 11:16:19 AM EST","2023.5","Woman","Asian;White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat disagree","Yes","Somewhat disagree","No","Strongly agree","I have never been to therapy","3","My concentration is harder than the majority of other concentrations","No","I have never masturbated"
"2023/11/29 11:17:04 AM EST","2024","Man","Middle Eastern or North African;White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat disagree","Unsure","Somewhat agree","Yes","Strongly disagree","I have never been to therapy","1","Unsure","Yes","In the last week"
"2023/11/29 11:19:23 AM EST","2025","Man","Asian","Life Sciences","Somewhat agree","Yes","Somewhat disagree","No","Strongly agree","I have never been to therapy","2","My concentration is easier than the majority of other concentrations","No","Yesterday"
"2023/11/29 11:20:02 AM EST","2025","Woman;Non-binary","White","Social Sciences (including economics, CLPS)","Strongly agree","Yes","Somewhat agree","No","Strongly agree","I am currently going to therapy","5+","My concentration is easier than the majority of other concentrations","Yes","In the last month"
"2023/11/29 11:22:08 AM EST","2024","Non-binary","Middle Eastern or North African;White","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat agree","Yes","Strongly disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","Unsure","No","Yesterday"
"2023/11/29 11:22:51 AM EST","2024","Woman","Prefer not to answer","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat agree","No","Somewhat agree","Yes","Strongly disagree","I have never been to therapy","4","My concentration is easier than the majority of other concentrations","Yes","In the last year"
"2023/11/29 11:23:53 AM EST","2025","Woman","Middle Eastern or North African;White","Social Sciences (including economics, CLPS)","Strongly disagree","Yes","Strongly disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","1","My concentration is easier than the majority of other concentrations","Yes","In the last week"
"2023/11/29 11:25:29 AM EST","2026","Woman","Asian","Physical Sciences (including math, computer science)","Somewhat disagree","No","Somewhat agree","No","Strongly agree","I have never been to therapy","3","My concentration is harder than the majority of other concentrations","Yes","I have never masturbated"
"2023/11/29 11:26:14 AM EST","2024","Woman","White","Social Sciences (including economics, CLPS)","Somewhat agree","Yes","Somewhat disagree","No","Somewhat agree","I am currently going to therapy","0","My concentration is easier than the majority of other concentrations","No","In the last week"
"2023/11/29 11:26:30 AM EST","2024","Woman","White","Physical Sciences (including math, computer science)","Somewhat disagree","No","Somewhat agree","No","Somewhat disagree","I have never been to therapy","1","My concentration is easier than the majority of other concentrations","Yes","In the last week"
"2023/11/29 11:27:17 AM EST","2024","Man","Asian;Hispanic or Latino","Humanities/Arts","Somewhat agree","Yes","Somewhat agree","No","Somewhat agree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is easier than the majority of other concentrations","Yes","Yesterday"
"2023/11/29 11:28:22 AM EST","2024","Non-binary","White","Humanities/Arts","Somewhat agree","No","Somewhat agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","Unsure","No","Yesterday"
"2023/11/29 11:30:19 AM EST","2027","Woman","Asian","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat agree","No","Somewhat disagree","No","Strongly agree","I have never been to therapy","2","Unsure","Yes","In the last month"
"2023/11/29 11:31:12 AM EST","2027","Man","Hispanic or Latino;White","Life Sciences","Somewhat disagree","Yes","Somewhat agree","No","Strongly agree","I have never been to therapy","2","My concentration is harder than the majority of other concentrations","No","Prefer not to answer"
"2023/11/29 11:35:59 AM EST","2024","Prefer not to answer","Prefer not to answer","Physical Sciences (including math, computer science)","Somewhat agree","No","Strongly agree","No","Strongly agree","Unsure","0","Unsure","No","Prefer not to answer"
"2023/11/29 11:36:30 AM EST","2025","Non-binary","Middle Eastern or North African","Social Sciences (including economics, CLPS)","Somewhat agree","Yes","Strongly agree","Yes","Strongly disagree","I have been to therapy in the past but do not currently go to therapy","1","My concentration is easier than the majority of other concentrations","No","In the last week"
"2023/11/29 11:36:43 AM EST","2026","Man","White","Life Sciences","Strongly disagree","No","Somewhat agree","Yes","Strongly disagree","Prefer not to answer","0","My concentration is harder than the majority of other concentrations","Unsure","Prefer not to answer"
"2023/11/29 11:37:05 AM EST","2026","Man","Asian","Physical Sciences (including math, computer science)","Somewhat agree","No","Prefer not to answer","No","Prefer not to answer","I have never been to therapy","2","My concentration is harder than the majority of other concentrations","Yes","In the last week"
"2023/11/29 11:38:14 AM EST","2024","Man","White","Physical Sciences (including math, computer science)","Somewhat disagree","No","Somewhat disagree","No","Somewhat disagree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is harder than the majority of other concentrations","Unsure","Yesterday"
"2023/11/29 11:40:02 AM EST","2024.5","Woman","White","Humanities/Arts","Strongly agree","Yes","Strongly agree","No","Strongly agree","I am currently going to therapy","3","My concentration is easier than the majority of other concentrations","Unsure","In the last year"
"2023/11/29 11:40:04 AM EST","2025.5","Man","White","Social Sciences (including economics, CLPS)","Strongly agree","Yes","Somewhat agree","No","Somewhat agree","I have been to therapy in the past but do not currently go to therapy","0","Unsure","No","Today"
"2023/11/29 11:44:42 AM EST","2026","Man","Asian","Physical Sciences (including math, computer science)","Somewhat disagree","No","Unsure","Unsure","Unsure","I have never been to therapy","5+","My concentration is easier than the majority of other concentrations","Yes","In the last month"
"2023/11/29 11:45:49 AM EST","2027","Man","White","Social Sciences (including economics, CLPS)","Somewhat agree","No","Somewhat disagree","No","Strongly agree","I am currently going to therapy","0","Unsure","Yes","In the last week"
"2023/11/29 11:46:01 AM EST","2027","Woman","White","Life Sciences","Somewhat agree","No","Somewhat agree","Unsure","Prefer not to answer","Prefer not to answer","0","My concentration is harder than the majority of other concentrations","Yes","Prefer not to answer"
"2023/11/29 11:46:14 AM EST","2027","Man","Asian","Life Sciences","Somewhat agree","No","Strongly agree","No","Somewhat disagree","I have never been to therapy","0","Unsure","Yes","In the last month"
"2023/11/29 11:47:46 AM EST","2026","Man","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat agree","No","Strongly disagree","No","Strongly agree","I am currently going to therapy","1","Unsure","No","Yesterday"
"2023/11/29 11:47:49 AM EST","2026","Woman","Asian","Physical Sciences (including math, computer science)","Somewhat agree","Yes","Somewhat agree","No","Strongly agree","I am currently going to therapy","1","Unsure","No","Unsure"
"2023/11/29 11:48:50 AM EST","2027","Man","White","Physical Sciences (including math, computer science)","Somewhat agree","No","Unsure","No","Strongly agree","I have never been to therapy","5+","My concentration is harder than the majority of other concentrations","Yes","In the last month"
"2023/11/29 11:48:57 AM EST","2024","Man","Asian","Physical Sciences (including math, computer science)","Strongly agree","No","Unsure","Yes","Strongly agree","I have never been to therapy","3","My concentration is harder than the majority of other concentrations","Unsure","In the last week"
"2023/11/29 11:49:16 AM EST","2024","Man","White","Physical Sciences (including math, computer science)","Somewhat agree","No","Somewhat agree","No","Strongly disagree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is harder than the majority of other concentrations","Yes","Prefer not to answer"
"2023/11/29 11:50:15 AM EST","2027","Man","Native American or Alaska Native;White","Physical Sciences (including math, computer science)","Somewhat agree","No","Unsure","No","Somewhat agree","I have been to therapy in the past but do not currently go to therapy","2","My concentration is harder than the majority of other concentrations","Yes","In the last year"
