"Timestamp","What is your current graduation year?","How would you describe your gender identity? Check all that apply.","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area(s)?","To what extent do you agree with the following statement: Joe Biden is too old to be an effective president.","To what extent do you agree with the following statement: Donald Trump is too old to be an effective president.","Should Brown have institutional neutrality? [""Institutional neutrality is the idea that colleges and universities should not, as institutions, take positions on social and political issues""]

(Definition from the Foundation for Individual Rights and Expression)","Do you identify more closely with capitalist or communist values?","How would you rate the effectiveness of using social media for political activism?","Do you think you are more lonely than the average Brown student?","Would you rather receive a final grade of a B or an S in a course?","Have you ever shoplifted before?","What is your love language?"
"2024/03/05 2:34:13 PM EST","2026","Man","Asian;White","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat disagree","Somewhat disagree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Very effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Acts of service"
"2024/03/05 2:35:42 PM EST","2026","Woman","Asian","Physical Sciences (including math, computer science)","Unsure","Unsure","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of a B","Yes","Acts of service"
"2024/03/05 2:39:54 PM EST","2027","Questioning","Middle Eastern or North African","Humanities/Arts;Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","Prefer not to answer","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 2:42:15 PM EST","2024","Man","White","Physical Sciences (including math, computer science)","Somewhat agree","Strongly agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","Yes, significantly more lonely","I would rather receive a final grade of an S","No","Unsure"
"2024/03/05 2:50:54 PM EST","2026","Man","White","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very ineffective","Yes, slightly more lonely","I would rather receive a final grade of a B","No","Physical touch"
"2024/03/05 2:51:48 PM EST","2024","Woman","White","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/05 2:51:53 PM EST","2026","Woman","White","Humanities/Arts","Somewhat agree","Strongly agree","Unsure","I identify more closely with capitalist values","Somewhat ineffective","Unsure","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 2:56:16 PM EST","2027","Man","White","Prefer not to answer","Somewhat disagree","Unsure","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very ineffective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/05 2:58:23 PM EST","2027","Man","Asian","Life Sciences","Somewhat agree","Prefer not to answer","Unsure","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Words of affirmation"
"2024/03/05 3:00:20 PM EST","2027","Man","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Unsure","I identify more closely with capitalist values","Very effective","Unsure","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 3:01:09 PM EST","2026","Woman","White","Social Sciences (including economics, CLPS)","Somewhat disagree","Somewhat disagree","No, Brown should not have institutional neutrality","Unsure","Somewhat ineffective","No, significantly less lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/05 3:05:30 PM EST","2026","Man","Asian;Black","Physical Sciences (including math, computer science)","Somewhat disagree","Unsure","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","Unsure","I would rather receive a final grade of an S","No","Words of affirmation"
"2024/03/05 3:08:12 PM EST","2026","Non-binary","Hispanic or Latino","Life Sciences","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","Unsure","I would rather receive a final grade of a B","No","Quality time"
"2024/03/05 3:08:43 PM EST","2026","Woman","Asian;Hispanic or Latino","Humanities/Arts","Somewhat agree","Strongly agree","Unsure","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/05 3:10:08 PM EST","2024","Man","White","Humanities/Arts","Somewhat agree","Unsure","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very ineffective","No, significantly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 3:10:09 PM EST","2027","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Acts of service"
"2024/03/05 3:11:36 PM EST","2026","Woman","Asian","Life Sciences","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","Unsure","I would rather receive a final grade of an S","Yes","Acts of service"
"2024/03/05 3:11:49 PM EST","2025","Woman","White","Humanities/Arts","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/05 3:11:54 PM EST","2025","Woman","White","Humanities/Arts;Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Acts of service"
"2024/03/05 3:12:50 PM EST","2024","Man","Asian","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Unsure","I identify more closely with capitalist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/05 3:13:42 PM EST","2026","Woman","Asian;White","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","Prefer not to answer","Unsure","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Words of affirmation"
"2024/03/05 3:13:49 PM EST","2027","Woman","White","Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Unsure"
"2024/03/05 3:14:14 PM EST","2027","Woman","Asian","Humanities/Arts;Life Sciences","Somewhat disagree","Somewhat disagree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Very ineffective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 3:15:12 PM EST","2026","Man","Asian","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Prefer not to answer"
"2024/03/05 3:15:16 PM EST","2025","Man","Asian;Native Hawaiian or Pacific Islander;White","Humanities/Arts;Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Words of affirmation"
"2024/03/05 3:16:08 PM EST","2027","Man","White","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with communist values","Somewhat effective","Unsure","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/05 3:16:58 PM EST","2026","Woman","Black;Hispanic or Latino;White","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Very effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 3:17:18 PM EST","2025","Woman","Native American or Alaska Native","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat agree","Strongly agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","Prefer not to answer","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 3:18:37 PM EST","2027","Woman","Asian","Humanities/Arts;Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 3:19:55 PM EST","2025","Man","Hispanic or Latino","Life Sciences","Somewhat agree","Strongly agree","No, Brown should not have institutional neutrality","Prefer not to answer","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of a B","Yes","Gift giving"
"2024/03/05 3:24:01 PM EST","2026","Woman","Asian","Physical Sciences (including math, computer science)","Somewhat disagree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Words of affirmation"
"2024/03/05 3:24:19 PM EST","2025","Woman","White","Social Sciences (including economics, CLPS)","Somewhat agree","Strongly agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/05 3:24:21 PM EST","2026","Man","Asian;Black","Life Sciences","Somewhat agree","Unsure","Unsure","I identify more closely with capitalist values","Unsure","Unsure","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 3:26:16 PM EST","2024","Woman;Non-binary","White","Humanities/Arts;Life Sciences","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of a B","No","Quality time"
"2024/03/05 3:26:30 PM EST","2026","Woman","Hispanic or Latino;White","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Very effective","No, slightly less lonely","I would rather receive a final grade of a B","No","Quality time"
"2024/03/05 3:26:32 PM EST","2026","Man","White","Humanities/Arts","Somewhat agree","Somewhat agree","Unsure","I identify more closely with capitalist values","Unsure","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/05 3:28:23 PM EST","2025","Woman","Asian","Life Sciences","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Gift giving"
"2024/03/05 3:31:48 PM EST","2026","Woman","Asian;Black","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat disagree","Yes, Brown should have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of a B","No","Acts of service"
"2024/03/05 3:32:47 PM EST","2026","Non-binary","White","Humanities/Arts","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/05 3:33:22 PM EST","2027","Man","White","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very ineffective","No, slightly less lonely","I would rather receive a final grade of a B","No","Unsure"
"2024/03/05 3:35:21 PM EST","2026","Woman","Black","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat disagree","Unsure","I identify more closely with capitalist values","Somewhat ineffective","Yes, slightly more lonely","I would rather receive a final grade of an S","Yes","Acts of service"
"2024/03/05 3:35:37 PM EST","2024","Man","White","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/05 3:38:12 PM EST","2027","Woman","Asian","Life Sciences","Somewhat agree","Somewhat agree","Unsure","Unsure","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 3:38:13 PM EST","2026","Woman","Hispanic or Latino;White","Physical Sciences (including math, computer science)","Somewhat disagree","Prefer not to answer","Yes, Brown should have institutional neutrality","Unsure","Very ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 3:40:19 PM EST","2027","Man","Asian;White","Physical Sciences (including math, computer science)","Unsure","Somewhat disagree","Unsure","I identify more closely with capitalist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/05 3:41:18 PM EST","2026","Woman","Asian","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Unsure","Unsure","Somewhat ineffective","No, significantly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 3:42:54 PM EST","2024","Woman","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Strongly agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Acts of service"
"2024/03/05 3:43:11 PM EST","2026","Woman;Non-binary","White","Humanities/Arts","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","Yes","I do not believe in love languages"
"2024/03/05 3:44:30 PM EST","2025","Woman","Hispanic or Latino;White","Life Sciences;Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Strongly agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 3:45:09 PM EST","2025","Man;Non-binary","White","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","Unsure","I would rather receive a final grade of an S","No","I do not believe in love languages"
"2024/03/05 3:45:47 PM EST","2024","Woman","White","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","I do not believe in love languages"
"2024/03/05 3:46:48 PM EST","2027","Man","Asian","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Words of affirmation"
"2024/03/05 3:47:12 PM EST","2027","Man;Non-binary","White","Humanities/Arts;Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat ineffective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/05 3:47:26 PM EST","2027","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer"
"2024/03/05 3:47:38 PM EST","2027","Man","Asian","Physical Sciences (including math, computer science)","Somewhat disagree","Somewhat disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very effective","No, slightly less lonely","I would rather receive a final grade of a B","No","Quality time"
"2024/03/05 3:48:43 PM EST","2025","Man","White","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/05 3:48:45 PM EST","2026","Man","Asian","Social Sciences (including economics, CLPS)","Unsure","Unsure","Unsure","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Acts of service"
"2024/03/05 3:51:59 PM EST","2027","Woman","White","Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","Unsure","Unsure","Somewhat ineffective","Unsure","I would rather receive a final grade of an S","No","Words of affirmation"
"2024/03/05 3:51:59 PM EST","2026","Woman","Middle Eastern or North African","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Very ineffective","Unsure","I would rather receive a final grade of a B","No","I do not believe in love languages"
"2024/03/05 3:53:17 PM EST","2025","Woman","Asian","Life Sciences;Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/05 3:53:20 PM EST","2026","Woman","Hispanic or Latino","Social Sciences (including economics, CLPS)","Somewhat disagree","Strongly agree","Unsure","I identify more closely with capitalist values","Very effective","No, slightly less lonely","I would rather receive a final grade of a B","No","Quality time"
"2024/03/05 3:53:35 PM EST","2026","Man","White","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat agree","Unsure","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Unsure","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/05 3:54:31 PM EST","2024","Man","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Unsure","I identify more closely with capitalist values","Unsure","No, significantly less lonely","I would rather receive a final grade of a B","Yes","Quality time"
"2024/03/05 3:55:39 PM EST","2024","Man","Asian","Social Sciences (including economics, CLPS)","Strongly agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Unsure"
"2024/03/05 3:55:55 PM EST","2025","Woman","White","Physical Sciences (including math, computer science)","Somewhat disagree","Somewhat disagree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Very ineffective","Yes, slightly more lonely","I would rather receive a final grade of a B","No","Quality time"
"2024/03/05 3:56:31 PM EST","2024","Man","Asian;White","Life Sciences","Somewhat agree","Unsure","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Words of affirmation"
"2024/03/05 3:56:47 PM EST","2024","Woman","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/05 3:57:25 PM EST","2027","Woman","White","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","Unsure","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/05 3:57:33 PM EST","2024","Woman","Prefer not to answer","Social Sciences (including economics, CLPS)","Strongly agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat ineffective","No, significantly less lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/05 3:57:49 PM EST","2027","Woman","White","Humanities/Arts;Life Sciences","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Somewhat ineffective","Yes, slightly more lonely","I would rather receive a final grade of a B","No","Quality time"
"2024/03/05 3:58:45 PM EST","2025","Man","White","Life Sciences;Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/05 3:59:27 PM EST","2024","Non-binary","Middle Eastern or North African;White","Humanities/Arts;Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","Unsure","I identify more closely with communist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","Unsure"
"2024/03/05 4:00:50 PM EST","2027","Man","White","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Very effective","No, slightly less lonely","I would rather receive a final grade of a B","No","Physical touch"
"2024/03/05 4:02:01 PM EST","2026","Woman","White","Life Sciences;Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","Unsure","Unsure","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of a B","Yes","Quality time"
"2024/03/05 4:02:50 PM EST","2027","Woman","Asian","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","Unsure","Somewhat effective","Yes, significantly more lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/05 4:04:22 PM EST","2027","Woman","Asian","Physical Sciences (including math, computer science)","Somewhat agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/05 4:07:33 PM EST","2027","Woman","Asian","Life Sciences;Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Prefer not to answer","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/05 7:50:44 PM EST","2027","Man","Asian","Life Sciences;Physical Sciences (including math, computer science)","Somewhat agree","Unsure","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","I do not believe in love languages"
"2024/03/06 9:49:35 AM EST","2027","Woman","Asian","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/06 10:01:33 AM EST","2027","Woman","Black","Physical Sciences (including math, computer science)","Somewhat disagree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Very effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/06 10:02:50 AM EST","2025","Non-binary","White","Humanities/Arts","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Gift giving"
"2024/03/06 10:10:14 AM EST","2027","Woman","Asian","Humanities/Arts","Strongly agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Very effective","Unsure","I would rather receive a final grade of an S","Yes","Gift giving"
"2024/03/06 10:26:06 AM EST","2027","Woman","Asian","Humanities/Arts;Life Sciences;Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","Yes","Acts of service"
"2024/03/06 10:27:57 AM EST","2026","Woman","Asian;White","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Very ineffective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","I do not believe in love languages"
"2024/03/06 10:31:41 AM EST","2026","Non-binary","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","Unsure","I identify more closely with communist values","Somewhat effective","Unsure","I would rather receive a final grade of an S","No","I do not believe in love languages"
"2024/03/06 10:40:21 AM EST","2026","Woman","Hispanic or Latino;White","Humanities/Arts","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Very effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/06 10:43:10 AM EST","2026.5","Woman","Asian;White","Life Sciences","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of a B","Yes","Quality time"
"2024/03/06 10:47:27 AM EST","2024","Woman","White","Life Sciences;Social Sciences (including economics, CLPS)","Somewhat agree","Strongly agree","Unsure","Unsure","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of a B","No","Quality time"
"2024/03/06 10:49:03 AM EST","2027","Woman","Asian;White","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 10:50:54 AM EST","2026","Woman","Asian","Humanities/Arts","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Very effective","Unsure","I would rather receive a final grade of an S","Yes","Acts of service"
"2024/03/06 10:58:23 AM EST","2024","Man","Asian;White","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Prefer not to answer","I identify more closely with capitalist values","Somewhat ineffective","No, significantly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 10:59:15 AM EST","2024","Woman","White","Humanities/Arts","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/06 10:59:51 AM EST","2024","Woman","Black","Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","Unsure","I would rather receive a final grade of a B","Unsure","Unsure"
"2024/03/06 11:03:05 AM EST","2025","Woman","Asian","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Unsure","I identify more closely with capitalist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","Words of affirmation"
"2024/03/06 11:05:58 AM EST","2025","Woman","Native American or Alaska Native;White","Humanities/Arts","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","Yes","Words of affirmation"
"2024/03/06 11:13:35 AM EST","2027","Man","White","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat disagree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/06 11:17:02 AM EST","2027","Woman","Black","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Words of affirmation"
"2024/03/06 11:21:08 AM EST","2025","Man","White","Physical Sciences (including math, computer science)","Somewhat disagree","Somewhat disagree","Unsure","I identify more closely with communist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of a B","Yes","Physical touch"
"2024/03/06 11:27:26 AM EST","2025","Man","White","Social Sciences (including economics, CLPS)","Somewhat agree","Strongly agree","No, Brown should not have institutional neutrality","Unsure","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 11:29:29 AM EST","2027","Man","Black","Humanities/Arts;Physical Sciences (including math, computer science)","Strongly agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/06 11:34:43 AM EST","2025.5","Woman","Black","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of a B","Yes","Gift giving"
"2024/03/06 11:47:30 AM EST","2025","Woman","White","Humanities/Arts","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/06 11:50:00 AM EST","2025","Woman","Hispanic or Latino","Life Sciences;Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Very effective","Unsure","I would rather receive a final grade of a B","No","Quality time"
"2024/03/06 11:53:18 AM EST","2026","Man","Black","Prefer not to answer","Strongly agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very ineffective","No, significantly less lonely","I would rather receive a final grade of a B","Yes","Acts of service"
"2024/03/06 11:54:31 AM EST","2026","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Strongly disagree","Somewhat disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","I do not believe in love languages"
"2024/03/06 11:57:10 AM EST","2025","Woman","Hispanic or Latino","Social Sciences (including economics, CLPS)","Somewhat agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat ineffective","No, significantly less lonely","I would rather receive a final grade of a B","No","Acts of service"
