"Timestamp","How would you describe your gender identity? Check all that apply.","How would you describe your race and ethnicity? Check all that apply.","How would you describe your sexual orientation? Check all that apply.","What is your current graduation year?","What is your (intended) concentration area(s)?","Do you have a parent, grandparent, or sibling who attended Brown? (Check all that apply)","How concerned are you about the spread of COVID-19 on campus?","Have you ever had a fake ID?","Do you approve or disapprove of the way President Christina Paxson is handling her job?","Are you generally happy?","Are you planning to vote in the November elections?","Agree or disagree: Brown should reduce grade inflation. ","Have you attended a protest in your time at Brown?","Which of the following best describes your current relationship status?","Have you ever cheated on/been cheated on by your significant other? (check all that apply)","Have you had an appointment at Counseling and Psychological Services (CAPS) this semester?","Have you benefited from a program or service provided by the Undergraduate Council of Students (UCS) in your time at Brown?"
"2022/10/11 3:05:07 PM AST","Female","White","Straight","2024","Social Sciences","Yes, parent","Not concerned","Yes","Strongly disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat agree","Yes, on campus and in Providence","Hooking up with multiple people","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/11 3:06:24 PM AST","Female","White","Bisexual","2026","Humanities/Arts;Physical Sciences (including math, computer science)","No","Not concerned","Yes","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat disagree","No","Single and looking for something casual","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/11 3:06:28 PM AST","Female","Middle Eastern or North African","Bisexual","2025","Social Sciences","No","Not concerned","Yes","Neither approve nor disapprove","No, somewhat unhappy","Yes, in a state other than Rhode Island","Strongly disagree","No","In a long-term relationship","I have cheated on my significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/11 3:08:10 PM AST","Male","White","Gay","2024","Humanities/Arts","No","Slightly concerned","Yes","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Strongly disagree","No","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","No"
"2022/10/11 3:08:21 PM AST","Female","Hispanic","Bisexual","2024","Humanities/Arts","No","Slightly concerned","Yes","Neither approve nor disapprove","No, somewhat unhappy","No","Strongly disagree","No","Single and looking for a relationship","I have never had a significant other","Yes, more than one week after requesting it","Unsure"
"2022/10/11 3:08:23 PM AST","Female","Black","Straight","2025","Physical Sciences (including math, computer science);Social Sciences","No","Slightly concerned","No","Neither approve nor disapprove","No, somewhat unhappy","No","Neutral","Yes, on campus","Single and not looking for anything","I have never had a significant other","No, I wanted to but was unable to make an appointment","Unsure"
"2022/10/11 3:10:33 PM AST","Female","Hispanic;White","Straight","2026","Humanities/Arts;Social Sciences","Yes, parent","Somewhat concerned","Yes","Prefer not to answer","Yes, very happy","Yes, in Rhode Island (which is not my home state)","Somewhat disagree","No","Single and looking for a relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 3:10:50 PM AST","Female","Black","Straight","2025","Humanities/Arts;Social Sciences","No","Not concerned","No","Neither approve nor disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Strongly disagree","No","Single and looking for a relationship","I have had a significant other and never cheated/been cheated on","No, I wanted to but was unable to make an appointment","No"
"2022/10/11 3:12:32 PM AST","Female","Asian","Straight","2025","Physical Sciences (including math, computer science)","No","Not concerned","Yes","Neither approve nor disapprove","Yes, somewhat happy","Yes, in Rhode Island (which is not my home state)","Neutral","No","Single and looking for something casual","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/11 3:12:53 PM AST","Nonbinary","White","Lesbian","2024","Physical Sciences (including math, computer science)","No","Somewhat concerned","Yes","Strongly disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Neutral","Yes, on campus","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/11 3:15:14 PM AST","Female","White","Questioning or unsure","2026","Humanities/Arts","Yes, sibling","Somewhat concerned","Yes","Neither approve nor disapprove","Yes, somewhat happy","I am not eligible to vote","Neutral","No","Single and not looking for anything","I have never had a significant other","Yes, more than one week after requesting it","Yes"
"2022/10/11 3:15:41 PM AST","Male","Asian","Straight","2026","Physical Sciences (including math, computer science)","No","Somewhat concerned","No","Neither approve nor disapprove","Yes, very happy","I am not eligible to vote","Unsure","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Yes"
"2022/10/11 3:15:46 PM AST","Male","Asian","Straight","2026","Physical Sciences (including math, computer science);Social Sciences","No","Not concerned","Yes","Neither approve nor disapprove","Yes, somewhat happy","No","Strongly disagree","No","Single and looking for something casual","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/11 3:16:59 PM AST","Female","Black","Straight","2026","Physical Sciences (including math, computer science)","No","Slightly concerned","No","Neither approve nor disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Strongly disagree","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 3:18:38 PM AST","Female","Asian","Questioning or unsure","2024.5","Physical Sciences (including math, computer science)","No","Somewhat concerned","No","Prefer not to answer","Yes, somewhat happy","Prefer not to answer","Somewhat disagree","No","Prefer not to answer","Unsure","No, and I did not try to make an appointment","Unsure"
"2022/10/11 3:23:39 PM AST","Male","White","Straight","2026","Social Sciences","Yes, parent;Yes, grandparent","Not concerned","Yes","Neither approve nor disapprove","Yes, somewhat happy","No","Somewhat disagree","No","In a long-term relationship","I have cheated on my significant other","No, and I did not try to make an appointment","No"
"2022/10/11 3:23:44 PM AST","Male","Hispanic","Straight","2026","Physical Sciences (including math, computer science)","No","Slightly concerned","No","Neither approve nor disapprove","Yes, somewhat happy","No","Neutral","No","Single and looking for something casual","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/11 3:23:50 PM AST","Female","Hispanic","Straight","2026","Computer Science","No","Extremely concerned","No","Somewhat approve","Yes, very happy","Yes, in Rhode Island (which is my home state)","Neutral","Yes, on campus","Single and looking for a relationship","I have had a significant other and never cheated/been cheated on","Yes, within one week of requesting it","Yes"
"2022/10/11 3:25:38 PM AST","Male","Black","Straight","2026","Physical Sciences (including math, computer science)","No","Somewhat concerned","No","Neither approve nor disapprove","Neither happy nor unhappy","No","Somewhat disagree","No","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","Yes"
"2022/10/11 3:26:02 PM AST","Male","Asian","Straight","2026","Physical Sciences (including math, computer science)","No","Slightly concerned","No","Neither approve nor disapprove","No, somewhat unhappy","Yes, in a state other than Rhode Island","Neutral","No","Single and looking for something casual","I have never had a significant other","No, and I did not try to make an appointment","No"
"2022/10/11 3:27:54 PM AST","Male","White","Straight","2026","Physical Sciences (including math, computer science)","Yes, sibling","Somewhat concerned","No","Neither approve nor disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Strongly disagree","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 3:28:14 PM AST","Male","White","Straight","2026","Social Sciences","No","Slightly concerned","No","Somewhat approve","Yes, somewhat happy","Yes, in a state other than Rhode Island","Neutral","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 3:28:34 PM AST","Male","Asian","Straight","2025","Humanities/Arts;Physical Sciences (including math, computer science)","No","Not concerned","No","Somewhat approve","Yes, somewhat happy","Yes, in a state other than Rhode Island","Unsure","No","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","No"
"2022/10/11 3:32:26 PM AST","Male","Asian","Bisexual","2024","Life Sciences;Physical Sciences (including math, computer science)","No","Slightly concerned","No","Prefer not to answer","No, somewhat unhappy","Yes, in a state other than Rhode Island","Strongly disagree","No","Hooking up with multiple people","Unsure","Yes, within one week of requesting it","Yes"
"2022/10/11 3:33:10 PM AST","Female","Asian;White","Straight","2026","Unsure","Yes, parent","Very concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in Rhode Island (which is not my home state)","Neutral","No","Prefer not to answer","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 3:34:36 PM AST","Female","Black","Straight","2025","Social Sciences","No","Not concerned","Yes","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Strongly disagree","No","In a long-term relationship","I have been cheated on by my significant other","No, and I did not try to make an appointment","No"
"2022/10/11 3:35:26 PM AST","Female","White","Lesbian","2023","Humanities/Arts","No","Extremely concerned","No","Somewhat disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Neutral","No","In a casual relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/11 3:35:29 PM AST","Female","Native American/Alaska Native","Straight","2026","Prefer not to Answer","No","Extremely concerned","No","Prefer not to answer","Neither happy nor unhappy","I am not eligible to vote","Unsure","Prefer not to answer","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/11 3:35:52 PM AST","Female","Asian;White","Straight","2026","Social Sciences","No","Somewhat concerned","No","Neither approve nor disapprove","No, somewhat unhappy","Yes, in a state other than Rhode Island","Somewhat disagree","No","Prefer not to answer","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/11 3:36:54 PM AST","Male","Asian","Straight","2023","Humanities/Arts;Physical Sciences (including math, computer science)","No","Not concerned","No","Neither approve nor disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Strongly agree","Yes, on campus and in Providence","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Yes"
"2022/10/11 3:37:21 PM AST","Female","White","Bisexual","2026","Humanities/Arts;Physical Sciences (including math, computer science)","Yes, parent","Slightly concerned","No","Somewhat approve","Yes, very happy","Yes, in a state other than Rhode Island","Somewhat disagree","No","Single and looking for something casual","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 3:37:31 PM AST","Female","Asian","Straight","2026","Physical Sciences (including math, computer science)","No","Slightly concerned","No","Neither approve nor disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Strongly disagree","No","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/11 3:40:04 PM AST","Male","White","Straight","2026","Unsure","Yes, sibling","Not concerned","Yes","Somewhat disapprove","No, somewhat unhappy","Yes, in a state other than Rhode Island","Somewhat disagree","No","Hooking up with multiple people","I have cheated on my significant other;I have been cheated on by my significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/11 3:40:25 PM AST","Male","Hispanic;White","Straight","2024","Social Sciences","No","Not concerned","No","Somewhat approve","Yes, somewhat happy","I am not eligible to vote","Strongly agree","Yes, in Providence","Single and looking for a relationship","I have had a significant other and never cheated/been cheated on","Yes, within one week of requesting it","Yes"
"2022/10/11 3:43:49 PM AST","Male","Asian;White","Straight","2025","Life Sciences;Social Sciences","No","Somewhat concerned","No","Somewhat approve","Yes, somewhat happy","Yes, in a state other than Rhode Island","Neutral","Yes, in Providence","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Yes"
"2022/10/11 3:43:50 PM AST","Male","Black","Straight","2026","Life Sciences;Physical Sciences (including math, computer science)","No","Very concerned","No","Neither approve nor disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Somewhat agree","No","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","No"
"2022/10/11 3:44:00 PM AST","Male","Asian","Straight","2026","Physical Sciences (including math, computer science)","No","Very concerned","No","Neither approve nor disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Strongly disagree","No","Single and looking for something casual","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/11 3:44:11 PM AST","Female","Asian;White","Bisexual","2025","Humanities/Arts;Social Sciences;Unsure","No","Somewhat concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat agree","No","In a long-term relationship","I have been cheated on by my significant other","Yes, within one week of requesting it","Yes"
"2022/10/11 3:45:59 PM AST","Male","White","Gay","2025","Life Sciences","No","Not concerned","No","Neither approve nor disapprove","Neither happy nor unhappy","No","Strongly disagree","No","Single and looking for a relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 3:46:01 PM AST","Male","White","Straight","2026","Humanities/Arts;Physical Sciences (including math, computer science)","No","Very concerned","No","Prefer not to answer","Yes, very happy","Yes, in Rhode Island (which is not my home state)","Unsure","No","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","No"
"2022/10/11 3:46:05 PM AST","Female","White","Straight","2023","Social Sciences","No","Not concerned","No","Somewhat approve","Yes, very happy","Yes, in a state other than Rhode Island","Somewhat disagree","No","Single and looking for a relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Yes"
"2022/10/11 3:48:14 PM AST","Female","White","Bisexual;Lesbian;Queer","2024","Humanities/Arts","Yes, sibling","Slightly concerned","Yes","Neither approve nor disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Strongly disagree","Yes, on campus","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","Yes"
"2022/10/11 3:49:16 PM AST","Male","Asian","Straight","2025","CS","No","Not concerned","No","Prefer not to answer","Yes, very happy","No","Neutral","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on;I have never had a significant other","No, I wanted to but was unable to make an appointment","No"
"2022/10/11 3:49:27 PM AST","Male","Asian;Black","Straight","2025","Econ","No","Somewhat concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in Rhode Island (which is not my home state)","Neutral","No","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/11 3:49:43 PM AST","Female","White","Straight","2023","Physical Sciences (including math, computer science)","Yes, sibling","Not concerned","No","Strongly disapprove","Neither happy nor unhappy","Yes, in a state other than Rhode Island","Strongly disagree","No","Single and looking for a relationship","I have never had a significant other","Prefer not to answer","Yes"
"2022/10/11 3:51:42 PM AST","Female","Black","Straight","2025","Social Sciences","No","Not concerned","Yes","Prefer not to answer","Yes, somewhat happy","I am not eligible to vote","Prefer not to answer","No","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","Prefer not to answer"
"2022/10/11 3:51:51 PM AST","Female","White","Bisexual","2024","Life Sciences;Physical Sciences (including math, computer science)","No","Not concerned","Yes","Somewhat approve","Yes, somewhat happy","No","Neutral","No","Single and looking for a relationship","I have had a significant other and never cheated/been cheated on","Yes, more than one week after requesting it","No"
"2022/10/11 3:51:55 PM AST","Female","White","Bisexual","2024","Humanities/Arts","Yes, parent","Somewhat concerned","No","Somewhat approve","Yes, somewhat happy","Yes, in a state other than Rhode Island","Unsure","Yes, on campus","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","Yes"
"2022/10/11 3:52:46 PM AST","Male","White","Straight","2026","Humanities/Arts;Social Sciences","Yes, parent","Slightly concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in Rhode Island (which is my home state)","Somewhat agree","Yes, on campus and in Providence","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","No"
"2022/10/11 3:52:47 PM AST","Female","Black","Straight","2023.5","Social Sciences","No","Not concerned","No","Neither approve nor disapprove","Neither happy nor unhappy","No","Strongly disagree","No","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/11 3:53:57 PM AST","Female","Asian;White","Questioning or unsure","2024","Humanities/Arts","No","Somewhat concerned","Yes","Somewhat disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat disagree","Yes, on campus","Prefer not to answer","I have been cheated on by my significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/11 3:54:13 PM AST","Male","White","Straight","2023","Physical Sciences (including math, computer science)","No","Somewhat concerned","Yes","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat disagree","Yes, in Providence","In a long-term relationship","I have had a significant other and never cheated/been cheated on","Yes, more than one week after requesting it","Yes"
"2022/10/11 3:54:35 PM AST","Male","Asian","Straight","2026","Physical Sciences (including math, computer science)","No","Very concerned","No","Neither approve nor disapprove","Yes, somewhat happy","I am not eligible to vote","Somewhat disagree","No","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/11 3:54:42 PM AST","Female","Asian","Bisexual","2025","Humanities/Arts;Social Sciences","No","Slightly concerned","Yes","Somewhat disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Strongly disagree","No","Single and looking for something casual","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/11 3:55:31 PM AST","Female","Asian","Bisexual","2024","Humanities/Arts;Social Sciences","No","Slightly concerned","No","Somewhat approve","Yes, somewhat happy","No","Neutral","Yes, in Providence","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/11 3:56:12 PM AST","Female","White","Straight","2023","Life Sciences","No","Slightly concerned","Yes","Somewhat disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat disagree","No","Single and looking for a relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/11 3:56:21 PM AST","Female","White","Straight","2025","Social Sciences","No","Not concerned","No","Somewhat disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Strongly agree","No","Single and looking for a relationship","I have never had a significant other","Yes, more than one week after requesting it","Yes"
"2022/10/11 3:56:26 PM AST","Female","Hispanic;White","Lesbian","2025","Humanities/Arts","No","Slightly concerned","Yes","Somewhat disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Strongly disagree","No","In a casual relationship","I have had a significant other and never cheated/been cheated on","No, I wanted to but was unable to make an appointment","Unsure"
"2022/10/11 3:57:01 PM AST","Male;Nonbinary;Questioning or unsure","White","Gay;Queer","2024","Humanities/Arts;Unsure","No","Slightly concerned","No","Somewhat disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat disagree","Yes, on campus and in Providence","Single and looking for a relationship","I have never had a significant other","Yes, within one week of requesting it","Unsure"
"2022/10/11 3:57:02 PM AST","Male","White","Straight","2024","Social Sciences","No","Not concerned","No","Neither approve nor disapprove","No, somewhat unhappy","Yes, in a state other than Rhode Island","Strongly agree","No","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","Yes"
"2022/10/11 3:57:22 PM AST","Female","Black;White","Straight","2025","Social Sciences","No","Not concerned","Yes","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Strongly disagree","No","Single and not looking for anything","Unsure","No, and I did not try to make an appointment","Unsure"
"2022/10/11 3:59:19 PM AST","Female","Asian","Straight","2026","Life Sciences;Social Sciences","No","Slightly concerned","No","Neither approve nor disapprove","Yes, somewhat happy","I am not eligible to vote","Somewhat disagree","No","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","No"
"2022/10/11 3:59:26 PM AST","Male","White","Bisexual","2024","Physical Sciences (including math, computer science)","No","Not concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in Rhode Island (which is my home state)","Strongly disagree","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","Yes, more than one week after requesting it","Yes"
"2022/10/11 3:59:37 PM AST","Female","White","Bisexual","2025","Life Sciences","No","Slightly concerned","No","Somewhat approve","Yes, somewhat happy","Yes, in a state other than Rhode Island","Neutral","No","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","Prefer not to answer"
"2022/10/11 4:01:24 PM AST","Male","White","Straight","2025","Humanities/Arts;Physical Sciences (including math, computer science)","No","Slightly concerned","Yes","Neither approve nor disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Somewhat agree","Yes, on campus","Single and looking for a relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 4:01:59 PM AST","Female","White","Bisexual","2025","Humanities/Arts","No","Slightly concerned","No","Neither approve nor disapprove","Neither happy nor unhappy","Yes, in a state other than Rhode Island","Somewhat agree","Yes, on campus and in Providence","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/11 4:02:21 PM AST","Male","White","Straight","2024","Life Sciences","No","Not concerned","Yes","Strongly approve","No, somewhat unhappy","No","Strongly disagree","Yes, in Providence","Single and looking for something casual","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Yes"
"2022/10/11 4:05:33 PM AST","Male","White","Straight","2026","Physical Sciences (including math, computer science)","Yes, sibling","Not concerned","No","Neither approve nor disapprove","Yes, somewhat happy","No","Neutral","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 4:06:19 PM AST","Male","White","Straight","2024","Physical Sciences (including math, computer science)","No","Not concerned","Yes","Somewhat approve","Yes, somewhat happy","Yes, in Rhode Island (which is not my home state)","Somewhat agree","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 4:06:41 PM AST","Male","White","Straight","2024","Physical Sciences (including math, computer science)","No","Not concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat agree","No","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","Yes"
"2022/10/11 4:07:06 PM AST","Female","White","Straight","2024","Life Sciences;Physical Sciences (including math, computer science)","No","Slightly concerned","Yes","Neither approve nor disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Somewhat disagree","Yes, on campus and in Providence","Single and looking for a relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/11 4:08:02 PM AST","Female","White","Straight","2023","Life Sciences;Physical Sciences (including math, computer science)","Yes, parent","Slightly concerned","No","Somewhat disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat disagree","No","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/11 4:08:14 PM AST","Male","Asian","Gay","2023","Physical Sciences (including math, computer science)","No","Not concerned","No","Neither approve nor disapprove","Yes, very happy","I am not eligible to vote","Strongly disagree","Yes, on campus and in Providence","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","Yes"
"2022/10/11 4:11:19 PM AST","Male","White","Bisexual","2026","Life Sciences;Social Sciences","No","Slightly concerned","Yes","Somewhat approve","Yes, very happy","Yes, in a state other than Rhode Island","Somewhat disagree","Yes, on campus","Hooking up with multiple people","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Yes"
"2022/10/11 4:11:23 PM AST","Female","Hispanic","Bisexual","2025.5","Humanities/Arts","No","Extremely concerned","No","Strongly disapprove","Neither happy nor unhappy","No","Strongly agree","Yes, on campus","In a long-term relationship","I have cheated on my significant other","No, I wanted to but was unable to make an appointment","No"
"2022/10/11 4:13:33 PM AST","Male","Asian;White","Straight","2023","Social Sciences","No","Somewhat concerned","No","Somewhat approve","No, somewhat unhappy","Yes, in a state other than Rhode Island","Somewhat agree","Yes, on campus and in Providence","Single and not looking for anything","I have had a significant other and never cheated/been cheated on","Yes, within one week of requesting it","No"
"2022/10/11 4:14:04 PM AST","Male","White","Straight","2022.5","human anatomy ","No","Not concerned","No","Strongly disapprove","Yes, very happy","Yes, in Rhode Island (which is not my home state)","Strongly agree","Yes, on campus","Hooking up with multiple people","I have cheated on my significant other;I have been cheated on by my significant other","Prefer not to answer","No"
"2022/10/11 4:17:09 PM AST","Female;Male","Black;White","Bisexual;Gay;Straight;Questioning or unsure","2026","Humanities/Arts;Physical Sciences (including math, computer science);Social Sciences","No","Somewhat concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Strongly disagree","No","Prefer not to answer","I have cheated on my significant other;I have been cheated on by my significant other;I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 4:19:00 PM AST","Male","Middle Eastern or North African;White","Straight","2026","Physical Sciences (including math, computer science)","No","Not concerned","No","Prefer not to answer","Yes, somewhat happy","I am not eligible to vote","Strongly disagree","No","Single and looking for a relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 4:19:36 PM AST","Female","Asian","Bisexual;Pansexual","2026","Physical Sciences (including math, computer science)","No","Somewhat concerned","No","Neither approve nor disapprove","Neither happy nor unhappy","No","Neutral","No","Single and looking for a relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Yes"
"2022/10/11 4:19:58 PM AST","Male","White","Straight","2025","Humanities/Arts","No","Not concerned","Yes","Prefer not to answer","Yes, very happy","Yes, in a state other than Rhode Island","Unsure","No","Single and looking for a relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 4:20:47 PM AST","Male","Asian","Straight","2026","Physical Sciences (including math, computer science)","No","Slightly concerned","No","Neither approve nor disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Strongly disagree","No","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/11 4:21:38 PM AST","Male","White","Straight","2023","Physical Sciences (including math, computer science)","No","Not concerned","No","Strongly approve","Yes, very happy","Yes, in a state other than Rhode Island","Somewhat agree","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/11 4:21:43 PM AST","Nonbinary","Asian","Queer","2025","Humanities/Arts","No","Very concerned","No","Strongly disapprove","No, somewhat unhappy","Yes, in a state other than Rhode Island","Strongly disagree","Yes, on campus and in Providence","Single and looking for something casual","I have been cheated on by my significant other","No, and I did not try to make an appointment","No"
"2022/10/11 4:23:44 PM AST","Female","Black","Questioning or unsure","2026","Physical Sciences (including math, computer science)","No","Somewhat concerned","No","Neither approve nor disapprove","Yes, somewhat happy","No","Strongly disagree","No","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/11 4:24:40 PM AST","Male","Black;Hispanic","Gay","2026","Humanities/Arts;Physical Sciences (including math, computer science)","No","Not concerned","No","Somewhat disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Neutral","No","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/11 4:25:09 PM AST","Female","Asian","Questioning or unsure","2024","Physical Sciences (including math, computer science)","No","Somewhat concerned","No","Prefer not to answer","No, somewhat unhappy","I am not eligible to vote","Somewhat disagree","No","Single and not looking for anything","I have had a significant other and never cheated/been cheated on","Yes, more than one week after requesting it","Unsure"
"2022/10/11 4:25:23 PM AST","Male","White","Straight","2022.5","Physical Sciences (including math, computer science)","No","Somewhat concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat agree","Prefer not to answer","Single and looking for a relationship","I have had a significant other and never cheated/been cheated on","Yes, within one week of requesting it","Unsure"
"2022/10/11 4:28:49 PM AST","Female","Asian","Straight","2024","Humanities/Arts","No","Not concerned","No","Strongly disapprove","Neither happy nor unhappy","Yes, in a state other than Rhode Island","Strongly disagree","Yes, on campus and in Providence","Single and looking for a relationship","I have never had a significant other","Yes, within one week of requesting it","Unsure"
"2022/10/11 4:28:55 PM AST","Female","Asian","Straight","2024","Life Sciences;Physical Sciences (including math, computer science)","No","Slightly concerned","No","Somewhat approve","Yes, somewhat happy","Yes, in a state other than Rhode Island","Strongly disagree","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
