Timestamp,What gender do you identify with?,What race do you identify with?,Did you apply to Brown a domestic or international applicant?,What graduation class are you?,What type of financial aid do you receive from Brown?,What is your intended concentration? ,"If you've declared a second concentration, what is it?",Should Brown require applicants to submit a standardized test score (ACT/SAT)?,Do you believe that Brown should maintain preferential admissions for children of alumni?,Have you ever checked out a physical book from a Brown library?,What do you call the dorms located on Vartan Gregorian Quad?,Which Covid-19 restrictions do you think should be in place right now?, [CW: The following question refers to sexual activity] When was the last time you had sex?,[CW: The following question refers to drug use] Which of the following drugs have you used recreationally in the past six months?,"If economic sanctions do not stop Russian military actions in Ukraine, would you favor or oppose the US taking military action to stop them?"
2022/03/02 3:14:36 PM AST,Female,White,Domestic,2024,None,chemistry,,Unsure,No,No,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing;Unsure",Less than six months ago,Alcohol;Marijuana,Unsure
2022/03/02 3:15:31 PM AST,Female,Prefer not to answer,International,2024,Grants covering some costs,Mathematical Physics,,No,No,Yes,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Less than one month ago,None of the above,Oppose
2022/03/02 3:19:20 PM AST,Male,White,Domestic,2023,Grants covering some costs,"Politics, Econ, IAPA",Above (I'm doing 3),Yes,No,No,New Dorm,Mandatory Covid-19 testing,Less than one week ago,Alcohol,Unsure
2022/03/02 3:20:47 PM AST,Male,Black,International,2025,Grants covering some costs,Applied Mathematics,Computer Science,No,No,No,Unsure,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Less than six months ago,Alcohol;Marijuana,Prefer not to answer
2022/03/02 3:21:42 PM AST,Male,Asian,Domestic,2025,None,CS,,Yes,No,No,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Less than one week ago,Alcohol,Unsure
2022/03/02 3:23:40 PM AST,Female,White,Domestic,2023,None,IAPA,Comparative Literature,Yes,No,Yes,New Dorm,Required masking in class;Mandatory Covid-19 testing,More than six months ago,Alcohol;Nicotine,Favor
2022/03/02 3:23:52 PM AST,Female,White,International,2024,None,Biochemistry,,No,No,No,Greg,Required masking in class,Less than one week ago,Alcohol;Marijuana;Nicotine,Oppose
2022/03/02 3:26:14 PM AST,Male,Asian,Domestic,2024,None,Computer-Science Economics,,Unsure,No,No,Greg,None of the above,Less than one week ago,Alcohol;Marijuana,Oppose
2022/03/02 3:26:35 PM AST,Male,Asian,International,2025,None,Biochemistry and Molecular Biology,,Unsure,Unsure,Yes,Vartan Gregorian Quad (A/B),Required masking in class;Mandatory Covid-19 testing;Unsure,I’ve never had sex,Alcohol,Unsure
2022/03/02 3:28:03 PM AST,Female,Black,Domestic,2024,Grants covering some costs,Neuroscience,,No,No,No,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",I’ve never had sex,None of the above,Unsure
2022/03/02 3:28:47 PM AST,Male,White,Domestic,2024,None,APMA-Bio,,No,No,Yes,Greg,Required masking in class,Less than one month ago,Alcohol,Unsure
2022/03/02 3:29:45 PM AST,Male,Black,Domestic,2024,None,Biochem,,No,No,No,Greg,Unsure,Less than one week ago,Alcohol;Marijuana,Unsure
2022/03/02 3:30:36 PM AST,Female,White,Domestic,2024,Unsure,English nonfiction,,No,No,Yes,Greg,Required masking in class,Less than six months ago,Alcohol;Marijuana,Unsure
2022/03/02 3:36:54 PM AST,Male,"Non-white Hispanic;Also Native, but no tribal connections",Domestic,2024,Grants covering all costs,Biology AB,,No,No,Yes,Vartan Gregorian Quad (A/B),Required masking in class,Less than one week ago,Alcohol;Inhalants (Poppers/Whip-its);Marijuana;MDMA (Ecstasy/Molly);Nicotine;DMT and ketamine,Unsure
2022/03/03 11:01:51 AM AST,Female,Asian,International,2025,None,history,psychology,Yes,Unsure,Yes,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",I’ve never had sex,Alcohol,Oppose
2022/03/03 11:02:31 AM AST,Female,Black,Domestic,2022,Grants covering some costs,Economics,N/A,No,No,No,New Dorm,Mandatory Covid-19 testing,Less than six months ago,Alcohol,Unsure
2022/03/03 11:12:32 AM AST,Male,Asian;White,Domestic,2024,Grants covering some costs,ENVS and East Asian Studies,,No,No,No,Greg,Required masking in class,Less than one week ago,Alcohol;Marijuana,Oppose
2022/03/03 11:12:40 AM AST,Female,Black,International,2025,Grants covering some costs,economics and applied maths,,Unsure,No,No,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",I’ve never had sex,Alcohol;Nicotine,Oppose
2022/03/03 11:13:52 AM AST,Male,White,Domestic,2025,Grants covering some costs,Applied Mathematics- Economics,,No,No,No,Greg,Required masking in class,Less than one week ago,Alcohol;Marijuana;Nicotine,Favor
2022/03/03 11:16:31 AM AST,Male,White,Domestic,2025,None,Econ/History,,Unsure,Yes,No,Unsure,Required masking in class,Less than one week ago,Alcohol,Unsure
2022/03/03 11:16:46 AM AST,Female,Black;White,Domestic,2024,None,Public Health,Education Studies,No,No,No,Greg,Required masking in class,Less than one month ago,Alcohol;Marijuana,Oppose
2022/03/03 11:22:16 AM AST,Male,Non-white Hispanic,International,2023,Grants covering some costs,Econ,Poli Sci,Unsure,No,Yes,New Dorm,Required masking in class;Mandatory Covid-19 testing,Less than one month ago,Alcohol;Marijuana;Nicotine,Oppose
2022/03/03 11:23:45 AM AST,Female,White,Domestic,2024,None,public health ,econ,Yes,Unsure,No,Greg,None of the above,Less than one week ago,Alcohol,Favor
2022/03/03 11:24:05 AM AST,Male,White,Domestic,2023,None,Linguistics ,Comparative Literature,No,No,Yes,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",Less than one week ago,Alcohol;Cocaine;Inhalants (Poppers/Whip-its);LSD (Acid);Marijuana;MDMA (Ecstasy/Molly);Nicotine;Ketamine,Oppose
2022/03/03 11:27:12 AM AST,Female,Asian,Domestic,2022,Grants covering some costs,Public Health and Education Studies,,No,No,Yes,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Prefer not to answer,Prefer not to answer,Favor
2022/03/03 11:33:28 AM AST,Female,White,Domestic,2024,None,cognitive neuroscience,n/a,Unsure,No,Yes,Greg,Required masking in class;Mandatory Covid-19 testing,Less than six months ago,None of the above,Oppose
2022/03/03 11:33:32 AM AST,Female,White,Domestic,2024,None,Health and Human Bio,English,No,No,Yes,Greg,Required masking in class,Less than one month ago,Alcohol;Marijuana,Unsure
2022/03/03 11:34:57 AM AST,Female,Asian,Domestic,2023,None,ENVS,,No,No,Yes,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",I’ve never had sex,None of the above,Oppose
2022/03/03 11:35:06 AM AST,Female,Asian,Domestic,2024,Grants covering some costs,Health and Human Biology,Music,No,No,Yes,Greg,Required masking in class;Mandatory Covid-19 testing,I’ve never had sex,Alcohol,Unsure
2022/03/03 11:38:12 AM AST,Male,White;Tajik,International,2025,Grants covering some costs,Computer Science,,Unsure,No,No,Greg,Mandatory Covid-19 testing,Less than one month ago,Alcohol,Oppose
2022/03/03 11:40:39 AM AST,Female,Asian,Domestic,2023,None,biophysics,,Yes,No,Yes,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",I’ve never had sex,None of the above,Oppose
2022/03/03 11:42:28 AM AST,Male,Asian,Domestic,2023,None,Applied Math-Econ,English,No,No,Yes,New Dorm,Required masking in class;Mandatory Covid-19 testing,Less than one week ago,Alcohol;Marijuana;Psilocybin (Psychedelic mushrooms),Unsure
2022/03/03 11:46:27 AM AST,Male,White,Domestic,2023,None,ENGINEERING,,Yes,No,No,Unsure,None of the above,Less than one month ago,Alcohol;Cocaine;Marijuana;MDMA (Ecstasy/Molly);Nicotine;Psilocybin (Psychedelic mushrooms),Favor
2022/03/03 11:51:20 AM AST,Female,White,Domestic,2025,None,IAPA,,Unsure,Unsure,No,Unsure,Mandatory Covid-19 testing,Less than one month ago,Alcohol;Marijuana;Nicotine,Favor
2022/03/03 11:53:54 AM AST,Female,White,Domestic,2025,Grants covering some costs,psychology,,Unsure,Unsure,Yes,New Dorm,Mandatory Covid-19 testing,Less than six months ago,Alcohol,Unsure
2022/03/03 11:56:02 AM AST,Male,White,Domestic,2024,Grants covering some costs,Business Economics,,No,No,No,Greg,Required masking in class,Less than one month ago,Alcohol,Unsure
2022/03/03 11:58:25 AM AST,Female,Asian;White,Domestic,2024,None,English,American studies,No,No,No,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",Less than one month ago,Alcohol;Marijuana,Unsure
2022/03/03 12:16:07 PM AST,Female,Black,Domestic,2025,Unsure,Environmental Engineering,,No,No,No,Greg,Required masking in class;Mandatory Covid-19 testing,I’ve never had sex,Alcohol;Marijuana,Unsure
2022/03/03 12:16:16 PM AST,Female,Asian,Domestic,2025,Grants covering some costs,sociology,,No,No,No,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Prefer not to answer,Prefer not to answer,Oppose
2022/03/03 12:18:42 PM AST,Male,Asian;Non-white Hispanic,Domestic,2024,Grants covering some costs,Urban Studies,N/A,No,No,Yes,Greg,None of the above,Less than one week ago,Alcohol,Oppose
2022/03/03 12:20:33 PM AST,Male,White,Domestic,2025,Grants covering some costs,Computer Science,,No,No,No,Greg,Mandatory Covid-19 testing,Less than six months ago,Alcohol;Marijuana;Nicotine;Psilocybin (Psychedelic mushrooms),Favor
2022/03/03 12:25:01 PM AST,Female,Black,Prefer not to answer,2025,Grants covering all costs,Econ,,No,No,No,Greg,Required masking in class;Mandatory Covid-19 testing,Prefer not to answer,Alcohol;Marijuana,Unsure
2022/03/03 12:27:58 PM AST,Non-binary,White,Domestic,2023,None,BA in nunya business,,No,No,Yes,New Dorm,Unsure,Less than one week ago,Alcohol;Marijuana,Unsure
2022/03/03 12:30:13 PM AST,Female,Black;White,Domestic,2022,Grants covering some costs,Education ,IAPA,No,No,Yes,Unsure,Required masking in class;Mandatory Covid-19 testing,Less than one week ago,Alcohol;Marijuana,Oppose
2022/03/03 12:32:38 PM AST,Female,Asian,Domestic,2024,Grants covering some costs,public health/ethnic studies,,No,No,No,Greg,Required masking in class;Mandatory Covid-19 testing,Less than one week ago,Alcohol,Unsure
2022/03/03 12:36:06 PM AST,Female,American Indian/Alaska Native;White,Unsure,2024,Grants covering all costs,chemistry ,gender and sexuality studies,No,No,Yes,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Prefer not to answer,Alcohol;Marijuana,Favor
2022/03/03 12:38:22 PM AST,Female,White,International,2025,None,BDS,,Yes,No,No,Unsure,"Required masking in student spaces (Faunce, libraries, dining halls, etc.)",Less than one month ago,Alcohol;Marijuana;Nicotine,Oppose
2022/03/03 12:40:32 PM AST,Female,Asian,Domestic,2025,Grants covering some costs,Economics,Behavioral Decision Sciences,No,No,Yes,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",I’ve never had sex,Alcohol;Marijuana,Favor
2022/03/03 12:40:59 PM AST,Male,Asian,Domestic,2025,None,econ,poli sci,Yes,Yes,No,Unsure,Unsure,Prefer not to answer,Alcohol,Favor
2022/03/03 12:42:23 PM AST,Female,White,Domestic,2025,None,BDS or Economics,,Yes,No,No,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Less than one week ago,Alcohol;Marijuana;Nicotine,Favor
2022/03/03 12:42:27 PM AST,Female,White,Domestic,2025,None,envi sci,,No,No,No,Unsure,Required masking in class;Mandatory Covid-19 testing,Unsure,Alcohol;Marijuana,Unsure
2022/03/03 12:44:50 PM AST,Female,Black,Domestic,2024,Grants covering some costs,Cognitive Neuroscience,,No,No,No,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Less than six months ago,Alcohol;Marijuana,Oppose
2022/03/03 12:46:05 PM AST,Non-binary,Asian,International,2025,None,Economics,,No,No,No,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Less than six months ago,Alcohol,Oppose
2022/03/03 12:47:19 PM AST,Male,White,Domestic,2025,Grants covering some costs,Neuroscience,N/A,No,No,No,Unsure,Required masking in class;Mandatory Covid-19 testing,Less than six months ago,Alcohol,Oppose
2022/03/03 12:48:19 PM AST,Female,Black,Domestic,2025,Grants covering some costs,COGNITIVE NEUROSCIENCE,,No,No,No,Unsure,Required masking in class;Mandatory Covid-19 testing,I’ve never had sex,Alcohol;Marijuana,Unsure
2022/03/03 12:50:04 PM AST,Male,White,Domestic,2023.5,None,Mechanical Engineering,,No,No,No,New Dorm,Required masking in class,Less than one month ago,Alcohol;Marijuana,Unsure
2022/03/03 12:50:49 PM AST,Female,White,Domestic,2024,None,ENIRONMENTAL ENGINEERING,,Unsure,No,No,jos diorms,Required masking in class,Less than one month ago,Alcohol,Unsure
2022/03/03 12:52:08 PM AST,Female,Asian,Domestic,2024,Grants covering some costs,Computer Science ScB,,Unsure,No,No,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",More than six months ago,Marijuana,Oppose
2022/03/03 12:54:10 PM AST,Male,Black,Domestic,2024,Grants covering some costs,Political Science,Socioogy,No,No,Yes,Greg,Required masking in class;Mandatory Covid-19 testing,I’ve never had sex,Alcohol,Oppose
2022/03/03 12:56:13 PM AST,Female,Black;White,Domestic,2024,None,Behavioral Decision Sciences,Statistics,No,No,No,Greg,Required masking in class,More than six months ago,Alcohol;Marijuana,Unsure
2022/03/03 12:57:54 PM AST,Male,Asian,Domestic,2022.5,None,CS,,Unsure,Unsure,No,New Dorm,Required masking in class,Less than one week ago,Marijuana,Favor
2022/03/03 1:01:02 PM AST,Male,White,Domestic,2024,None,BDS,,Yes,Yes,No,New Dorm,None of the above,Less than six months ago,Alcohol,Unsure
2022/03/03 1:04:49 PM AST,Female,Asian,Domestic,2022,None,psychology and cs,,Unsure,Unsure,No,New Dorm,Unsure,Less than one month ago,Alcohol;Marijuana,Unsure
2022/03/03 1:08:16 PM AST,Female,Black,Domestic,2024,None,International and Public Affairs,,No,No,No,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",I’ve never had sex,None of the above,Unsure
2022/03/03 1:10:13 PM AST,Female,Hispanic/Latino,Domestic,2024,Grants covering some costs,Biology,,No,No,No,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Less than one week ago,Alcohol;Marijuana,Oppose
2022/03/03 1:13:52 PM AST,Male,White;Iranian,Domestic,2023,None,Biotech,n/a,No,Unsure,No,Unsure,Mandatory Covid-19 testing;Unsure,Prefer not to answer,None of the above,Unsure
2022/03/03 1:16:39 PM AST,Male,White,Domestic,2022,Grants covering all costs,Political Science,,Unsure,No,Yes,New Dorm,None of the above,Less than six months ago,Alcohol;Marijuana,Unsure
2022/03/03 1:26:30 PM AST,Male,White,Domestic,2025,Grants covering some costs,CS-Econ,,No,No,Yes,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",I’ve never had sex,Alcohol;Marijuana;Nicotine,Oppose
2022/03/03 1:29:13 PM AST,Female,White,Domestic,2022.5,None,English ,Econ,Yes,No,Yes,New Dorm,None of the above,I’ve never had sex,None of the above,Unsure
2022/03/03 1:32:12 PM AST,Female,White,Domestic,2024,None,Psychology,Gender and Sexuality Studies,No,No,No,Greg,Required masking in class,Less than six months ago,Alcohol;Marijuana;Nicotine,Unsure
2022/03/03 1:33:14 PM AST,Female,Asian;White,Domestic,2024,Grants covering some costs,Ethnic Studies,,No,No,No,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Less than one week ago,Alcohol;Marijuana,Unsure
2022/03/03 1:35:49 PM AST,Male,White,Domestic,2024,None,cognitive neuroscience,modern culture and media,No,No,Yes,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",I’ve never had sex,Alcohol;Marijuana,Unsure
2022/03/03 1:38:41 PM AST,Female,White,Domestic,2025,None,Art history/architecture,economics,Yes,Yes,No,Unsure,None of the above,Less than one month ago,Alcohol;Marijuana;Nicotine,Unsure
2022/03/03 1:40:54 PM AST,Male,Asian,Domestic,2022,None,CS,,Yes,Unsure,No,New Dorm,None of the above,Less than one week ago,Alcohol;Marijuana,Oppose
2022/03/03 1:43:17 PM AST,Male,Asian,Domestic,2024,Grants covering some costs,Computer Science,,No,No,No,Greg,None of the above,I’ve never had sex,Alcohol,Oppose
2022/03/03 1:46:03 PM AST,Male,Non-white Hispanic;White,Domestic,2023,None,Chemical Engineering,N/A,Unsure,Unsure,No,Vartan Gregorian Quad (A/B),None of the above,Less than one week ago,Alcohol;Marijuana,Unsure
2022/03/03 1:53:33 PM AST,Female,Asian,International,2025,None,"English (nonfiction), Comp lit",,Yes,No,Yes,Unsure,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",I’ve never had sex,Alcohol,Oppose
2022/03/03 1:58:08 PM AST,Male,White,Domestic,2024,None,Neuroscience,,Yes,Yes,Yes,Greg,None of the above,Less than one week ago,Alcohol;Marijuana;Nicotine,Favor
2022/03/03 2:01:40 PM AST,Female,White,Domestic,2024,Grants covering some costs,Psychology,,Unsure,No,Yes,Greg,Mandatory Covid-19 testing,Less than six months ago,Alcohol;Marijuana;Nicotine,Unsure
2022/03/03 3:07:20 PM AST,Male,White,International,2024,None,physics,,Yes,No,No,Vartan Gregorian Quad (A/B),None of the above,Less than six months ago,Alcohol,Oppose
2022/03/03 3:14:42 PM AST,Male,Asian,Domestic,2023,Grants covering some costs,CS,,Unsure,Unsure,No,New Dorm,Mandatory Covid-19 testing,Less than one week ago,Alcohol,Unsure
2022/03/03 3:16:32 PM AST,Male,Asian,Domestic,2024,None,Public Health,Biology,Unsure,Unsure,Yes,Greg,Unsure,I’ve never had sex,None of the above,Unsure
2022/03/03 3:16:50 PM AST,Non-binary,Asian,Domestic,2024,Grants covering some costs,GNSS ,PHP,Unsure,No,No,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",Less than six months ago,None of the above,Unsure
2022/03/03 3:17:37 PM AST,Female,White,Domestic,2024,None,neuroscience,,No,No,No,Greg,Unsure,I’ve never had sex,Alcohol;Marijuana,Favor
2022/03/03 3:20:39 PM AST,Male,Asian,Domestic,2024,None,APMA-Bio,,Unsure,No,No,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",Less than one week ago,Alcohol,Unsure
2022/03/03 3:23:17 PM AST,Male,Asian,Domestic,2022,Grants covering some costs,APMA Econ,,Unsure,Unsure,Yes,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",Less than one week ago,Alcohol;Marijuana,Favor
2022/03/03 3:24:56 PM AST,Female,White,Domestic,2022,None,German Studies,,No,No,Yes,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Less than one week ago,Alcohol;Marijuana,Unsure
2022/03/03 3:25:12 PM AST,Male,Asian,Domestic,2025,Grants covering some costs,Computer Science - Economics Joint Concentration,,Yes,No,No,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Prefer not to answer,Alcohol;Marijuana,Favor
2022/03/03 3:29:38 PM AST,Male,Black;Non-white Hispanic;White,Domestic,2023,None,International and Public Affairs,,No,No,Yes,New Dorm,Mandatory Covid-19 testing;None of the above,I’ve never had sex,None of the above,Oppose
2022/03/03 3:29:44 PM AST,Female,White,Domestic,2024,Grants covering some costs,MCM,History,Yes,No,No,Greg,Mandatory Covid-19 testing,Less than one month ago,Alcohol;Cocaine;Inhalants (Poppers/Whip-its);LSD (Acid);Marijuana;Nicotine;Psilocybin (Psychedelic mushrooms),Unsure
2022/03/03 3:36:07 PM AST,Male,White,Domestic,2024,None,Computer Science,,Unsure,No,No,Greg,Required masking in class;Mandatory Covid-19 testing,Less than one week ago,Alcohol;Marijuana,Oppose
2022/03/03 3:37:47 PM AST,Female,White,Domestic,2025,Grants covering some costs,political science,,Yes,No,No,Greg,Required masking in class,Less than one week ago,Prefer not to answer,Oppose
2022/03/03 3:39:25 PM AST,Female,Non-white Hispanic,Domestic,2025,Grants covering some costs,International and Public Affairs,,No,No,Yes,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Less than one week ago,Alcohol,Favor
2022/03/03 3:42:02 PM AST,Male,Asian,International,2024,Grants covering some costs,computer science,,No,No,Yes,Greg,Mandatory Covid-19 testing,I’ve never had sex,None of the above,Oppose
2022/03/03 3:42:09 PM AST,Male,Asian,Domestic,2024,Prefer not to answer,cs ,chem,Yes,No,Yes,Greg,Prefer not to answer,Prefer not to answer,None of the above,Prefer not to answer
2022/03/03 3:46:48 PM AST,Female,Non-white Hispanic,Domestic,2024,Grants covering all costs,IAPA,LACA,No,No,No,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Less than six months ago,Alcohol;Marijuana,Oppose
2022/03/03 3:47:10 PM AST,Female,Non-white Hispanic,Domestic,2024,Grants covering some costs,Bio,,No,No,No,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",I’ve never had sex,Alcohol;Marijuana,Unsure
2022/03/03 3:54:27 PM AST,Male,White,Domestic,2022,None,Comparative Literature,French,No,No,Yes,New Dorm,Mandatory Covid-19 testing,Prefer not to answer,None of the above,Favor
2022/03/03 3:54:29 PM AST,Female,White,Domestic,2025,Grants covering some costs,Environmental Studies ,,Unsure,Yes,No,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Less than six months ago,Alcohol,Unsure
2022/03/03 4:05:41 PM AST,Female,Asian,International,2024,None,Education,East Asian Studies,Unsure,No,No,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",I’ve never had sex,None of the above,Oppose
2022/03/03 4:06:05 PM AST,Male,White,Domestic,2024,Grants covering some costs,IAPA,,No,Unsure,No,Greg,Required masking in class,Less than one week ago,Alcohol;Marijuana,Oppose
2022/03/03 4:07:50 PM AST,Male,White,Domestic,2024,None,bme,no,Yes,Unsure,No,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Less than one week ago,Alcohol,Unsure
2022/03/03 4:10:34 PM AST,Female,White,Domestic,2023,Grants covering some costs,Comparative Literature,IAPA,No,No,Yes,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",Less than one week ago,None of the above,Oppose
2022/03/03 4:13:32 PM AST,Male,Asian;White,Domestic,2025,None,Chemistry,Applied Math,Yes,Yes,No,Unsure,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",More than six months ago,Alcohol;Marijuana;Nicotine,Favor
2022/03/03 4:15:26 PM AST,Male,White,Domestic,2024,None,Contemplative Studies ,Apma  Econ,Unsure,Yes,No,"Greg, anything else is wrong",Required masking in class,Less than one month ago,Alcohol;Cocaine;Marijuana;Nicotine,Unsure
2022/03/03 4:19:44 PM AST,Male,Asian,Domestic,2023,None,CS,,Yes,No,Yes,Greg,Mandatory Covid-19 testing,More than six months ago,Alcohol;Marijuana;Nicotine,Oppose
2022/03/03 4:25:54 PM AST,Female,White,Domestic,2025,Grants covering some costs,English,,No,No,Yes,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Prefer not to answer,Alcohol,Favor
2022/03/03 4:26:50 PM AST,Male,White,Domestic,2025,None,APMA,,Yes,Yes,No,New Dorm,Required masking in class,Less than six months ago,Alcohol,Favor
2022/03/03 4:29:56 PM AST,Female,Asian,International,2023,None,MCM,Comparative Literature,No,No,Yes,New Dorm,Unsure,Less than one week ago,Alcohol;Cocaine;Inhalants (Poppers/Whip-its);Marijuana;MDMA (Ecstasy/Molly);Nicotine;Psilocybin (Psychedelic mushrooms),Unsure
2022/03/03 4:31:37 PM AST,Male,Prefer not to answer,Domestic,2024,None,Economics,,Yes,Yes,No,Greg,None of the above,More than six months ago,Alcohol;Marijuana;Nicotine,Oppose
2022/03/03 4:32:59 PM AST,Female,Latina,Domestic,2022,Grants covering all costs,Economics ,,No,Yes,No,New Dorm,None of the above,I’ve never had sex,None of the above,Favor
2022/03/03 4:38:20 PM AST,Female,White,Domestic,2023,Grants covering some costs,English,,No,No,Yes,New Dorm,Mandatory Covid-19 testing,Less than one week ago,Alcohol;Marijuana,Unsure
2022/03/03 4:39:56 PM AST,Male,Asian,International,2023,None,bds,,No,No,Yes,New Dorm,None of the above,Less than one week ago,Alcohol;Marijuana,Oppose
2022/03/03 4:40:45 PM AST,Female,White,International,2023,Grants covering some costs,IAPA,,No,No,Yes,New Dorm,Required masking in class;Mandatory Covid-19 testing,Less than six months ago,None of the above,Unsure
2022/03/03 4:46:15 PM AST,Female,White,International,2022.5,None,History,Economics,Yes,No,Yes,New Dorm,None of the above,Less than one month ago,Alcohol,Unsure
2022/03/03 4:57:49 PM AST,Male,White,Domestic,2022,Grants covering some costs,Biology,,No,No,No,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.)",Less than one week ago,Alcohol;Marijuana;Nicotine,Favor
2022/03/03 4:59:11 PM AST,Male,White,Domestic,2022.5,None,Computer Science,Environmental Studies,No,No,Yes,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Less than one month ago,Alcohol,Oppose
2022/03/03 5:00:48 PM AST,Female,White,Domestic,2022,Grants covering some costs,Urban Studies,n/a,No,No,Yes,New Dorm,Required masking in class;Mandatory Covid-19 testing,Less than one month ago,Alcohol;Marijuana,Oppose
2022/03/03 5:02:56 PM AST,Male,Asian,Domestic,2024,None,IAPA,,Unsure,No,Yes,Greg,Unsure,Less than one week ago,Alcohol;Cocaine;LSD (Acid);Marijuana;Nicotine;Psilocybin (Psychedelic mushrooms),Unsure
2022/03/03 5:05:57 PM AST,Female,Asian,Domestic,2022,Grants covering all costs,English,,Yes,Unsure,Yes,New Dorm,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",I’ve never had sex,Alcohol,Unsure
2022/03/03 5:07:07 PM AST,Female,White,Domestic,2024,Grants covering all costs,Biology ,Education,No,No,No,Greg,None of the above,Less than one week ago,Alcohol;Marijuana;Nicotine,Favor
2022/03/03 5:08:14 PM AST,Male,Black,Domestic,2024,Grants covering all costs,IAPA,,Unsure,Unsure,No,Greg,"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Less than six months ago,Alcohol;Marijuana,Unsure
2022/03/03 5:08:24 PM AST,Female,White,Domestic,2025,None,History,,No,No,No,Vartan Gregorian Quad (A/B),"Required masking in class;Required masking in student spaces (Faunce, libraries, dining halls, etc.);Mandatory Covid-19 testing",Less than one week ago,Alcohol,Unsure
