"Timestamp","What is your current graduation year?","How would you describe your gender identity?","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area(s)?","Did you vote in the November general election?","Do you think you’re more attractive than the average Brown University student?","If you could go to any undergraduate institution of your choosing (excluding Brown) which would it be?","Would you consider yourself more of a cat person or a dog person?","Do you believe President Joe Biden should run for a second term in 2024?","Do you believe colleges should consider race/ethnicity when making decisions about student admissions?","What is your height in feet/inches?","Opinion: Professors, administrators, and community leaders at Brown should regularly make land acknowledgments."
"2022/11/28 3:00:21 PM AST","2026","Non-binary","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, slightly less attractive","MIT","Dog person","No","Yes","5'10","Somewhat agree"
"2022/11/28 3:00:38 PM AST","2023","Female","Asian","Life Sciences","I am not eligible to vote","Yes, slightly more attractive","Brown","Dog person","No","Yes","5'1","Somewhat agree"
"2022/11/28 3:03:16 PM AST","2025","Female","Black","Humanities/Arts;Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, slightly less attractive","Butler University","Dog person","Yes","Yes","5'9","Strongly agree"
"2022/11/28 3:04:55 PM AST","2025","Non-binary","Asian","Humanities/Arts;Social Sciences (including economics, CLPS)","I am not eligible to vote","No, slightly less attractive","Yale","Dog person","Yes","Yes","5'7","Strongly agree"
"2022/11/28 3:06:12 PM AST","2025","Non-binary","Black","Humanities/Arts;Life Sciences","Yes, in a state other than Rhode Island","Prefer not to answer","Tulane","Dog person","Yes","No","5'9","Somewhat agree"
"2022/11/28 3:09:52 PM AST","2024","Male","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","I am not eligible to vote","Yes, slightly more attractive","Harvard","Cat person","No","No","5'11","Somewhat disagree"
"2022/11/28 3:10:54 PM AST","2026","Female","Black","Humanities/Arts;Life Sciences","Yes, in a state other than Rhode Island","No, significantly less attractive","stanford","Cat person","No","Yes","5'8","Strongly agree"
"2022/11/28 3:12:54 PM AST","2025","Male","White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","No, slightly less attractive","yale","Dog person","No","Yes","5'10","Strongly agree"
"2022/11/28 3:15:51 PM AST","2026","Male","Black","Physical Sciences (including math, computer science)","I am not eligible to vote","No, slightly less attractive","yale","Cat person","No","Yes","6'3","Somewhat agree"
"2022/11/28 3:17:39 PM AST","2025","Female","Black","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Yale","Cat person","No","Yes","5'7","Strongly agree"
"2022/11/28 3:20:19 PM AST","2025","Female","Asian","Life Sciences;Physical Sciences (including math, computer science)","No","No, slightly less attractive","Yale","Dog person","No","Yes","5'2","Somewhat agree"
"2022/11/28 3:21:41 PM AST","2025","Female","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, slightly less attractive","duke","Dog person","Prefer not to answer","Yes","5'1","Unsure"
"2022/11/28 3:21:47 PM AST","2026","Male","White","Humanities/Arts","No","Yes, slightly more attractive","Stanford","Cat person","No","Yes","6'4","Unsure"
"2022/11/28 3:22:53 PM AST","2026","Male","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","No","Yes, slightly more attractive","Dartmouth","Dog person","No","Yes","5'11","Unsure"
"2022/11/28 3:24:56 PM AST","2025","Male","White","Prefer not to answer","Yes, in a state other than Rhode Island","No, slightly less attractive","University of Washington","Prefer not to answer","No","No","5'9","Strongly agree"
"2022/11/28 3:25:44 PM AST","2022.5","Female","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Yes, in Rhode Island, which is not my home state","Yes, significantly more attractive","Yale","Dog person","No","No","6'0","Unsure"
"2022/11/28 3:27:10 PM AST","2022.5","Female","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, significantly more attractive","Stanford","Cat person","No","Yes","5'6","Somewhat disagree"
"2022/11/28 3:27:40 PM AST","2026","Male","Black","Humanities/Arts;Life Sciences;Social Sciences (including economics, CLPS)","No","Prefer not to answer","Yale","Dog person","Yes","Yes","6'0","Somewhat agree"
"2022/11/28 3:30:08 PM AST","2024.5","Female","White","Social Sciences (including economics, CLPS)","No","Yes, significantly more attractive","Columbia","Cat person","No","Yes","5'6","Somewhat agree"
"2022/11/28 3:32:17 PM AST","2026","Female","Black","Humanities/Arts;Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Prefer not to answer","UNC Chapel Hill","Dog person","No","Yes","5'1","Somewhat agree"
"2022/11/28 3:35:02 PM AST","2025","Male","Asian","Life Sciences","Yes, in a state other than Rhode Island","No, slightly less attractive","Georgetown","Dog person","No","No","5'5","Somewhat agree"
"2022/11/28 3:35:29 PM AST","2026","Male","White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Georgia Tech","Dog person","No","No","5'11","Somewhat disagree"
"2022/11/28 3:37:51 PM AST","2025","Female","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Prefer not to answer","Harvard","Cat person","Prefer not to answer","Yes","5'4","Somewhat agree"
"2022/11/28 3:39:35 PM AST","2024","Male","Asian","Physical Sciences (including math, computer science)","No","No, slightly less attractive","Brown","Dog person","No","Yes","6'2","Somewhat agree"
"2022/11/28 3:42:16 PM AST","2026","Female","Black","Life Sciences","I am not eligible to vote","No, slightly less attractive","Harvard","Dog person","No","Yes","5'10","Somewhat agree"
"2022/11/28 3:43:06 PM AST","2025","Female","White","Life Sciences","No","No, slightly less attractive","Columbia","Dog person","No","Yes","5'5","Somewhat disagree"
"2022/11/28 3:44:58 PM AST","2025","Female","Hispanic;White","Physical Sciences (including math, computer science)","No","Yes, slightly more attractive","Tufts","Dog person","Yes","Yes","5'4","Somewhat agree"
"2022/11/28 3:46:04 PM AST","2025","Female","Black","Humanities/Arts;Life Sciences","Prefer not to answer","Yes, slightly more attractive","Georgia Tech","Dog person","No","Yes","5'6","Unsure"
"2022/11/28 3:47:27 PM AST","2025","Non-binary","White","Humanities/Arts","No","Yes, significantly more attractive","Grinnell","Cat person","Yes","Yes","6'1","Strongly agree"
"2022/11/28 3:48:49 PM AST","2025","Male","White","Life Sciences","I am not eligible to vote","Yes, significantly more attractive","Yale","Dog person","No","No","6'2","Somewhat disagree"
"2022/11/28 3:49:29 PM AST","2024","Female","White","Humanities/Arts","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Either Colorado College or Wellesley","Cat person","Yes","Yes","5'10","Strongly agree"
"2022/11/28 3:51:43 PM AST","2025","Female","Black","Physical Sciences (including math, computer science)","No","Prefer not to answer","Harvard","Cat person","Prefer not to answer","Prefer not to answer","5'7","Strongly agree"
"2022/11/28 3:53:41 PM AST","2025","Female","White","Humanities/Arts","Yes, in a state other than Rhode Island","Yes, significantly more attractive","NYU","Cat person","No","Yes","5'6","Strongly agree"
"2022/11/28 3:55:33 PM AST","2022.5","Male","White","Humanities/Arts","Yes, in Rhode Island, which is my home state","Yes, slightly more attractive","n/a","Cat person","No","Yes","6'0","Strongly agree"
"2022/11/28 3:55:36 PM AST","2025","Male","White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","UPenn","Dog person","No","Yes","5'8","Somewhat disagree"
"2022/11/28 3:58:03 PM AST","2024","Female","Asian","Humanities/Arts;Life Sciences","No","Yes, slightly more attractive","University of Washington","Dog person","Prefer not to answer","No","5'5","Somewhat agree"
"2022/11/28 4:00:38 PM AST","2026","Female","Hispanic;White","Life Sciences;Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","No, slightly less attractive","University of Utah","Dog person","No","Yes","5'8","Strongly agree"
"2022/11/28 4:01:10 PM AST","2026","Male","White","Social Sciences (including economics, CLPS)","No","Prefer not to answer","Not sure","Dog person","Yes","No","6'0","Strongly agree"
"2022/11/28 4:01:55 PM AST","2025","Female","Asian","Humanities/Arts;Life Sciences","Prefer not to answer","Prefer not to answer","Rice","Dog person","Prefer not to answer","Yes","5'6","Strongly agree"
"2022/11/28 4:03:29 PM AST","2024","Female","White","Humanities/Arts;Life Sciences","Yes, in a state other than Rhode Island","Yes, slightly more attractive","pomona college","Cat person","Yes","Yes","5'5","Somewhat disagree"
"2022/11/28 4:03:57 PM AST","2023.5","Female","White","Humanities/Arts","Yes, in a state other than Rhode Island","No, significantly less attractive","Yale??? or vassar??!","Dog person","Yes","Yes","5'3","Strongly agree"
"2022/11/28 4:07:06 PM AST","2026","Male","Asian;White","Life Sciences","Yes, in a state other than Rhode Island","No, significantly less attractive","MIT","Cat person","No","Yes","6'0","Somewhat disagree"
"2022/11/28 4:08:04 PM AST","2026","Non-binary","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, slightly less attractive","Amherst","Dog person","No","Prefer not to answer","5'2","Somewhat agree"
"2022/11/28 4:12:23 PM AST","2023","Male","Asian","Humanities/Arts","No","No, slightly less attractive","Amherst","Dog person","No","Yes","5'7","Somewhat agree"
"2022/11/28 4:12:51 PM AST","2022.5","Female","White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Berkeley","Dog person","No","Yes","5'7","Somewhat agree"
"2022/11/28 4:14:28 PM AST","2023","Male","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Harvard","Dog person","Yes","Yes","6'2","Somewhat agree"
"2022/11/28 4:15:54 PM AST","2024","Male","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, significantly more attractive","Yale","Dog person","No","No","6'2","Strongly disagree"
"2022/11/28 4:16:37 PM AST","2026","Male","Hispanic;Middle Eastern or North African","Life Sciences","I am not eligible to vote","No, slightly less attractive","Stanford","Dog person","Yes","Yes","6'0","Somewhat agree"
"2022/11/28 4:20:04 PM AST","2025","Female","Middle Eastern or North African","Life Sciences","I am not eligible to vote","Yes, slightly more attractive","Yale","Cat person","No","Yes","5'6","Somewhat agree"
"2022/11/28 4:20:25 PM AST","2026","Male","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","I am not eligible to vote","No, slightly less attractive","MIT","Dog person","No","Yes","5'7","Somewhat agree"
"2022/11/28 4:20:49 PM AST","2023","Female","Asian;White","Humanities/Arts;Physical Sciences (including math, computer science)","No","Yes, slightly more attractive","University of Missouri","Cat person","No","No","5'4","Somewhat agree"
"2022/11/28 4:22:43 PM AST","2026","Male","Hispanic;White","Physical Sciences (including math, computer science)","No","Yes, significantly more attractive","Princeton","Dog person","Yes","Yes","6'3","Strongly agree"
"2022/11/28 4:23:17 PM AST","2026","Male","Middle Eastern or North African","Humanities/Arts;Social Sciences (including economics, CLPS)","I am not eligible to vote","No, slightly less attractive","Upenn","Dog person","Yes","Yes","5'9","Somewhat agree"
"2022/11/28 4:23:33 PM AST","2023","Male","White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Boston University","Cat person","No","Yes","5'8","Unsure"
"2022/11/28 4:26:33 PM AST","2024","Non-binary","Black","Humanities/Arts","No","Yes, slightly more attractive","USC","Dog person","No","Yes","5'5","Strongly agree"
"2022/11/28 4:27:03 PM AST","2024","Non-binary","Asian;White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, slightly less attractive","Cornell (for ornithology program :) )","Cat person","No","Yes","6'1","Strongly agree"
"2022/11/28 4:27:13 PM AST","2026","Male","White","Humanities/Arts","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Amherst","Dog person","Yes","Yes","6'2","Strongly agree"
"2022/11/28 4:27:15 PM AST","2024","Female","Black;White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Yale","Cat person","Yes","No","5'10","Strongly agree"
"2022/11/28 4:28:44 PM AST","2026","Male","Black;White","Life Sciences","Yes, in a state other than Rhode Island","No, slightly less attractive","Yale","Dog person","No","Yes","5'10","Strongly agree"
"2022/11/28 4:36:12 PM AST","2023","Female","Asian","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Prefer not to answer","Harvard","Dog person","Yes","Yes","5'3","Somewhat agree"
"2022/11/28 4:43:52 PM AST","2025","Male","White","Humanities/Arts;Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Yale","Dog person","Yes","No","5'9","Somewhat disagree"
"2022/11/28 4:43:55 PM AST","2025","Female","White","Humanities/Arts","Yes, in a state other than Rhode Island","Yes, slightly more attractive","John Hopkins ","Cat person","Prefer not to answer","Yes","5'3","Somewhat agree"
"2022/11/28 4:45:47 PM AST","2024","Male","Asian","Life Sciences","No","Yes, slightly more attractive","a school in Boston","Dog person","No","Yes","5'9","Somewhat agree"
"2022/11/28 4:48:24 PM AST","2025","Male","Middle Eastern or North African;White","Physical Sciences (including math, computer science)","Prefer not to answer","Yes, slightly more attractive","West Virginia University","Cat person","No","Yes","5'9","Somewhat disagree"
"2022/11/28 4:50:02 PM AST","2025","Female","White","Social Sciences (including economics, CLPS)","No","Yes, slightly more attractive","Harvard","Dog person","Yes","Yes","5'2","Somewhat agree"
"2022/11/28 4:54:38 PM AST","2025","Female","Black","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Prefer not to answer","Yale","Dog person","No","Yes","5'5","Somewhat agree"
"2022/11/28 4:55:30 PM AST","2025","Female","White","Life Sciences","No","Yes, significantly more attractive","Columbia","Cat person","No","Yes","5'6","Strongly agree"
"2022/11/28 4:56:41 PM AST","2025","Male","White","Physical Sciences (including math, computer science)","Yes, in Rhode Island, which is my home state","Yes, slightly more attractive","Harvard","Dog person","Yes","No","6'2","Unsure"
"2022/11/28 4:57:14 PM AST","2026","Male","Asian;White","Life Sciences;Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Unsure","Dog person","No","Yes","5'7","Unsure"
"2022/11/28 4:57:48 PM AST","2024","Female","White","Life Sciences;Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Harvard","Dog person","No","No","5'0","Somewhat disagree"
"2022/11/28 5:02:13 PM AST","2025","Female","White","Humanities/Arts;Social Sciences (including economics, CLPS)","No","No, slightly less attractive","Yale","Dog person","No","Yes","5'7","Strongly agree"
"2022/11/29 11:11:03 AM AST","2025","Female","Black","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","n/a","Dog person","Prefer not to answer","Yes","5'6","Strongly agree"
"2022/11/29 11:17:43 AM AST","2023","Male","Black","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","No, slightly less attractive","MIT","Dog person","No","Yes","5'7","Strongly agree"
"2022/11/29 11:20:28 AM AST","2026","Male","White","Physical Sciences (including math, computer science)","No","Yes, slightly more attractive","Yale","Dog person","No","Yes","6'5","Somewhat agree"
"2022/11/29 11:24:27 AM AST","2023","Male","Middle Eastern or North African;White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Prefer not to answer","MIT","Dog person","No","No","5'11","Somewhat disagree"
"2022/11/29 11:26:27 AM AST","2024","Female","White","Humanities/Arts","Yes, in a state other than Rhode Island","No, slightly less attractive","colorado college","Dog person","No","Yes","5'7","Strongly agree"
"2022/11/29 11:27:25 AM AST","2024.5","Female","Asian;White","Life Sciences","No","Yes, slightly more attractive","UC Boulder","Cat person","Yes","Yes","5'8","Somewhat agree"
"2022/11/29 11:28:15 AM AST","2023","Male","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Prefer not to answer","Yale","Dog person","Yes","Yes","6'0","Somewhat agree"
"2022/11/29 11:31:17 AM AST","2025","Female","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Yes, in Rhode Island, which is my home state","Prefer not to answer","Yale","Dog person","No","No","5'5","Strongly agree"
"2022/11/29 11:51:52 AM AST","2025","Female","Asian","Physical Sciences (including math, computer science)","Prefer not to answer","No, significantly less attractive","Duke","Dog person","Prefer not to answer","Yes","5'2","Strongly agree"
"2022/11/29 11:53:23 AM AST","2023","Female","Middle Eastern or North African","Life Sciences;Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, significantly more attractive","Harvard","Dog person","No","Yes","5'8","Somewhat agree"
"2022/11/29 12:07:06 PM AST","2023","Male","Black","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","No","Prefer not to answer","MIT","Cat person","No","Yes","6'5","Unsure"
"2022/11/29 12:08:43 PM AST","2023","Female","Asian","Humanities/Arts","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Oberlin College, Tufts University, or Yale","Cat person","Yes","Yes","5'4","Somewhat agree"
"2022/11/29 12:10:04 PM AST","2025","Female","Black;Hispanic","Life Sciences","No","Prefer not to answer","stanford","Dog person","No","Yes","5'5","Somewhat agree"
"2022/11/29 12:11:11 PM AST","2026","Male","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","No, slightly less attractive","Yale","Cat person","Yes","Yes","5'8","Strongly agree"
"2022/11/29 12:12:37 PM AST","2025","Female","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, slightly less attractive","Georgetown","Dog person","Yes","Yes","5'10","Unsure"
"2022/11/29 12:18:36 PM AST","2024","Female","White","Humanities/Arts","Yes, in a state other than Rhode Island","No, slightly less attractive","University of Vermont","Dog person","No","Yes","5'4","Unsure"
"2022/11/29 12:26:48 PM AST","2026","Non-binary","White","Humanities/Arts","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Carnegie Mellon","Dog person","No","Yes","5'4","Strongly agree"
"2022/11/29 12:27:41 PM AST","2023","Female","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, slightly less attractive","Yale","Cat person","No","No","5'6","Somewhat agree"
"2022/11/29 12:30:04 PM AST","2026","Non-binary","White","Humanities/Arts","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Oberlin","Cat person","No","Yes","5'10","Strongly agree"
"2022/11/29 12:34:58 PM AST","2026","Female","Asian;Black","Humanities/Arts;Social Sciences (including economics, CLPS)","No","No, slightly less attractive","stanford","Cat person","No","Yes","5'6","Unsure"
"2022/11/29 12:37:42 PM AST","2026","Female","White","Humanities/Arts","No","No, slightly less attractive","Wesleyan","Dog person","No","Yes","5'2","Strongly agree"
"2022/11/29 12:38:21 PM AST","2025","Female","White","Humanities/Arts","Yes, in a state other than Rhode Island","Yes, slightly more attractive","The new school","Dog person","Yes","Yes","5'3","Strongly agree"
"2022/11/29 12:40:39 PM AST","2023","Male","White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Yale","Cat person","No","Yes","6'0","Somewhat agree"
"2022/11/29 12:41:39 PM AST","2026","Female","White","Physical Sciences (including math, computer science)","I am not eligible to vote","Yes, slightly more attractive","Swarthmore","Dog person","Prefer not to answer","Prefer not to answer","5'3","Strongly agree"
"2022/11/29 12:42:25 PM AST","2023","Female","Hispanic","Humanities/Arts","Yes, in Rhode Island, which is my home state","Prefer not to answer","Harvard","Cat person","No","Yes","5'4","Somewhat agree"
"2022/11/29 12:46:09 PM AST","2023","Female","White","Life Sciences;Physical Sciences (including math, computer science)","No","Yes, slightly more attractive","West Point ","Cat person","No","Yes","5'4","Strongly agree"
"2022/11/29 12:46:54 PM AST","2026","Male","White","Physical Sciences (including math, computer science)","No","No, slightly less attractive","Harvard","Dog person","Prefer not to answer","No","5'9","Somewhat agree"
"2022/11/29 12:47:27 PM AST","2024","Male","White","Physical Sciences (including math, computer science)","No","No, significantly less attractive","Harvard","Dog person","No","No","6'2","Somewhat disagree"
"2022/11/29 12:49:05 PM AST","2025","Female","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Prefer not to answer","idk","Dog person","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer"
"2022/11/29 12:49:18 PM AST","2025","Female","Hispanic","Humanities/Arts","Yes, in a state other than Rhode Island","No, slightly less attractive","UChicago","Dog person","No","Prefer not to answer","5'4","Strongly agree"
"2022/11/29 12:51:34 PM AST","2025","Male","Native American/Alaska Native;White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, significantly more attractive","Harvard","Dog person","No","Yes","5'11","Somewhat disagree"
"2022/11/29 12:54:25 PM AST","2026","Female","Hispanic","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Prefer not to answer","Columbia University","Cat person","Yes","Yes","5'4","Somewhat disagree"
"2022/11/29 12:54:47 PM AST","2026","Male","Asian;Black;Middle Eastern or North African;White","Humanities/Arts;Social Sciences (including economics, CLPS)","No","No, slightly less attractive","Bowdoin","Dog person","No","Yes","5'8","Somewhat agree"
"2022/11/29 12:56:30 PM AST","2023","Female","Hispanic;White","Social Sciences (including economics, CLPS)","No","Yes, slightly more attractive","Stanford","Dog person","No","No","5'6","Somewhat agree"
"2022/11/29 12:58:43 PM AST","2025","Non-binary","White","Humanities/Arts","Yes, in a state other than Rhode Island","No, slightly less attractive","vassar or yale","Cat person","No","No","5'4","Unsure"
"2022/11/29 12:59:32 PM AST","2025","Male","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, slightly less attractive","Yale","Dog person","Yes","Prefer not to answer","6'0","Unsure"
"2022/11/29 1:05:14 PM AST","2024","Male","White","Social Sciences (including economics, CLPS)","Yes, in Rhode Island, which is not my home state","No, slightly less attractive","Northwestern","Dog person","No","Yes","6'2","Somewhat agree"
"2022/11/29 1:08:55 PM AST","2023","Female","White","Life Sciences;Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","No, slightly less attractive","Stanford","Dog person","No","No","5'3","Unsure"
"2022/11/29 1:11:19 PM AST","2023","Non-binary","White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","MIT","Cat person","Yes","Yes","5'11","Somewhat agree"
"2022/11/29 1:11:30 PM AST","2025","Male","White","Humanities/Arts","Yes, in Rhode Island, which is my home state","Yes, slightly more attractive","Yale","Cat person","No","Yes","5'11","Strongly agree"
"2022/11/29 1:12:37 PM AST","2024","Female","Hispanic","Humanities/Arts","Yes, in a state other than Rhode Island","Prefer not to answer","n/a","Cat person","No","Yes","5'5","Somewhat agree"
"2022/11/29 1:12:41 PM AST","2024","Male","White","Life Sciences","Yes, in Rhode Island, which is my home state","No, slightly less attractive","Amherst College","Cat person","No","Yes","5'7","Strongly agree"
"2022/11/29 1:13:48 PM AST","2025","Female","Hispanic","Physical Sciences (including math, computer science)","I am not eligible to vote","Yes, slightly more attractive","Harvard","Dog person","Yes","Yes","5'6","Unsure"
"2022/11/29 1:16:20 PM AST","2025","Female","White","Humanities/Arts;Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","No, slightly less attractive","Maybe Columbia?","Cat person","No","No","5'4","Somewhat agree"
"2022/11/29 1:16:38 PM AST","2024","Female","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Yes, in Rhode Island, which is my home state","No, significantly less attractive","Yale","Dog person","No","Yes","5'4","Somewhat agree"
"2022/11/29 1:19:33 PM AST","2026","Male","White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Unsure","Dog person","No","Yes","6'1","Unsure"
"2022/11/29 1:23:19 PM AST","2025","Male","White","Physical Sciences (including math, computer science)","No","Yes, slightly more attractive","Harvard","Dog person","No","No","5'10","Unsure"
"2022/11/29 1:23:53 PM AST","2025","Male","Asian","Life Sciences","Yes, in Rhode Island, which is not my home state","No, slightly less attractive","Yale","Dog person","Yes","Yes","5'8","Somewhat agree"
"2022/11/29 1:24:22 PM AST","2025","Female","Black","Life Sciences","No","No, slightly less attractive","Princeton","Dog person","No","Prefer not to answer","5'2","Somewhat agree"
"2022/11/29 1:25:18 PM AST","2025","Male","White","Humanities/Arts","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Stanford","Dog person","Yes","Yes","6'0","Somewhat agree"
"2022/11/29 1:25:45 PM AST","2025","Female","Asian;Middle Eastern or North African;Native Hawaiian/Pacific Islander;White;mixed","Humanities/Arts;Social Sciences (including economics, CLPS)","No","Yes, slightly more attractive","Stanford","Cat person","No","Yes","5'5","Somewhat agree"
"2022/11/29 1:26:17 PM AST","2025","Male","Asian","Social Sciences (including economics, CLPS)","No","Yes, significantly more attractive","harvard","Dog person","No","Yes","6'4","Somewhat agree"
"2022/11/29 1:27:18 PM AST","2026","Male","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","No","Yes, slightly more attractive","harvard","Cat person","Prefer not to answer","Yes","6'1","Strongly agree"
"2022/11/29 1:28:57 PM AST","2026","Female","Middle Eastern or North African;White","Humanities/Arts;Social Sciences (including economics, CLPS)","I am not eligible to vote","Yes, slightly more attractive","no idea","Cat person","Prefer not to answer","No","5'9","Unsure"
"2022/11/29 1:34:02 PM AST","2024","Female","White","Life Sciences","Yes, in a state other than Rhode Island","Yes, slightly more attractive","johns hopkins","Dog person","No","Yes","5'2","Somewhat agree"
"2022/11/29 1:34:32 PM AST","2024","Female","Asian","Social Sciences (including economics, CLPS)","Yes, in Rhode Island, which is not my home state","Yes, slightly more attractive","UCLA","Dog person","Yes","Yes","5'6","Strongly agree"
"2022/11/29 1:38:32 PM AST","2023","Female","Black","Life Sciences","I am not eligible to vote","No, slightly less attractive","Providence College","Dog person","Prefer not to answer","Prefer not to answer","5'4","Unsure"
"2022/11/29 1:38:34 PM AST","2026","Female","White","Humanities/Arts;Life Sciences","No","Prefer not to answer","Unsure ","Cat person","Prefer not to answer","Prefer not to answer","5'2","Unsure"
"2022/11/29 1:39:14 PM AST","2025","Male","Black","Physical Sciences (including math, computer science)","No","Yes, slightly more attractive","yale","Dog person","No","Yes","6'5","Somewhat agree"
"2022/11/29 1:41:23 PM AST","2026","Male","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","No","No, slightly less attractive","Columbia University","Dog person","No","Yes","5'7","Somewhat agree"
"2022/11/29 1:41:28 PM AST","2026","Male","White","Prefer not to answer","Yes, in a state other than Rhode Island","Prefer not to answer","Princeton University","Prefer not to answer","Prefer not to answer","Yes","5'7","Somewhat agree"
"2022/11/29 1:43:22 PM AST","2026","Female","Black;Hispanic","Humanities/Arts;Life Sciences","No","No, slightly less attractive","Johns Hopkins","Dog person","No","Yes","5'2","Strongly disagree"
"2022/11/29 1:44:28 PM AST","2026","Trans female","White","Humanities/Arts;Physical Sciences (including math, computer science)","No","Yes, significantly more attractive","MIT if it wasn't so hard and I could just like build rockets effortlessly and stuff. Maybe Harvard for kicks. Or VCU.","Cat person","No","Yes","5'8","Strongly agree"
"2022/11/29 1:44:43 PM AST","2023","Male","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","I am not eligible to vote","Yes, slightly more attractive","Harvard","Dog person","Yes","Yes","5'10","Strongly disagree"
"2022/11/29 1:45:23 PM AST","2025","Female","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, slightly less attractive","Harvard lol","Dog person","No","Yes","5'5","Strongly agree"
"2022/11/29 1:45:57 PM AST","2023","Female","White","Humanities/Arts","Yes, in a state other than Rhode Island","Yes, slightly more attractive","UC Berkeley","Cat person","No","Yes","5'6","Somewhat agree"
"2022/11/29 1:46:16 PM AST","2026","Male","White","Humanities/Arts;Life Sciences;Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","University of Michigan","Dog person","No","Yes","6'0","Strongly agree"
