"Timestamp","What is your current graduation year?","How would you describe your gender identity? Check all that apply.","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area(s)?","How old are you?","How has your political ideology changed since coming to Brown?","What do you think is the median household income in the U.S.?","To what extent do you agree with the following statement: 
Shared religious beliefs are important for a successful romantic relationship.","Do you want to get married?","Do you want to be a stay-at-home parent?","How many siblings do you have?","Check all that apply:","What is the maximum age of a person you would be in a romantic relationship with?","Have you ever been physically intimate with someone in a non-dorm Brown building?","Consider the following hypothetical scenario:
A runaway trolley is headed down a railway track. On its current path, it will run over and kill 5 people. If you pull a lever, you can divert its path to run over and kill 1 person instead.
What do you do?"
"2024/04/09 1:53:53 PM AST","2025","Man","White","Physical Sciences (including math, computer science)","21","Unsure","70000","Somewhat disagree","Yes","No","0","I have no siblings","23","No","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 1:57:44 PM AST","2027","Woman","White","Life Sciences","19","Unsure","50000","Somewhat agree","Yes","No","3","I have (an) older sibling(s);I have (a) younger sibling(s)","21","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 1:58:12 PM AST","2025","Woman","Asian","Life Sciences;Physical Sciences (including math, computer science)","20","I have become more liberal","50000","Somewhat agree","Unsure","I don't plan to be a parent","3","I have (an) older sibling(s);I have (a) younger sibling(s)","24","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 2:02:10 PM AST","2024","Woman","Asian;Native Hawaiian or Pacific Islander;White","Life Sciences","18","My political ideology has not changed","90000","Somewhat agree","Yes","No","3","I have (a) younger sibling(s)","27","No","Unsure"
"2024/04/09 2:05:25 PM AST","2025","Woman","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","19","I have become more liberal","60000","Somewhat disagree","Unsure","No","1","I have (a) younger sibling(s)","22","No","Unsure"
"2024/04/09 2:13:21 PM AST","2027","Man","Black","Physical Sciences (including math, computer science)","19","Prefer not to answer","35000","Somewhat agree","Yes","No","0","I have no siblings","23","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 2:14:47 PM AST","2026","Man","White","Physical Sciences (including math, computer science)","20","My political ideology has not changed","60000","Unsure","Yes","Unsure","2","I have (an) older sibling(s);I have (a) younger sibling(s)","22","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 2:16:41 PM AST","2026","Man","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","20","My political ideology has not changed","65000","Somewhat agree","Unsure","Unsure","1","I have (an) older sibling(s)","26","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 2:18:25 PM AST","2026","Man","White","Physical Sciences (including math, computer science)","20","I have become more liberal","48000","Somewhat disagree","Yes","Unsure","2","I have (an) older sibling(s)","22","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 2:19:23 PM AST","2025","Man","Asian","Physical Sciences (including math, computer science)","21","My political ideology has not changed","64000","Somewhat agree","Yes","No","1","I have (a) younger sibling(s)","21","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 2:19:50 PM AST","2025.5","Man","Asian","Physical Sciences (including math, computer science)","22","My political ideology has not changed","","Somewhat agree","No","No","0","I have no siblings","","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 2:21:12 PM AST","2025","Woman","White","Humanities/Arts","21","My political ideology has not changed","65000","Somewhat agree","Yes","No","2","I have (an) older sibling(s);I have (a) younger sibling(s)","28","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 2:22:17 PM AST","2024","Man","White","Social Sciences (including economics, CLPS)","22","I have become more conservative","57000","Somewhat disagree","Yes","No","2","I have (an) older sibling(s);I have (a) younger sibling(s)","25","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 2:24:22 PM AST","2024","Man","Asian","Humanities/Arts","22","My political ideology has not changed","35000","Somewhat agree","Yes","No","0","I have no siblings","27","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 2:25:53 PM AST","2025","Woman","White","Physical Sciences (including math, computer science)","21","My political ideology has not changed","60000","Somewhat agree","Yes","No","2","I have (an) older sibling(s);I have (a) younger sibling(s)","24","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 2:26:25 PM AST","2024","Man","White","Humanities/Arts","23","I have become more conservative","55000","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","","Prefer not to answer","Prefer not to answer"
"2024/04/09 2:28:15 PM AST","2026","Woman","Hispanic or Latino","Life Sciences","20","My political ideology has not changed","","Somewhat agree","Yes","No","1","I have (a) younger sibling(s)","","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 2:28:40 PM AST","2025","Woman","White","Humanities/Arts;Physical Sciences (including math, computer science)","20","My political ideology has not changed","300000","Somewhat disagree","Yes","Unsure","1","I have (an) older sibling(s)","23","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 2:31:15 PM AST","2027","Man","White","Physical Sciences (including math, computer science)","19","My political ideology has not changed","90000","Somewhat disagree","Yes","No","1","I have (a) younger sibling(s)","21","No","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 2:34:34 PM AST","2026","Man","White","Humanities/Arts;Social Sciences (including economics, CLPS)","20","My political ideology has not changed","30000","Somewhat agree","Unsure","No","2","I have (a) younger sibling(s)","20","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 2:35:28 PM AST","2025","Non-binary","White","Life Sciences","21","I have become more liberal","70000","Somewhat disagree","Unsure","No","2","I have (a) younger sibling(s)","22","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 2:37:26 PM AST","2024","Man","Asian;White","Life Sciences","21","I have become more liberal","75000","Somewhat disagree","Yes","No","1","I have (a) younger sibling(s)","24","Yes","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 2:39:42 PM AST","2025","Woman","Black","Humanities/Arts;Social Sciences (including economics, CLPS)","20","Unsure","57000","Somewhat agree","Yes","No","5+","I have (an) older sibling(s)","24","No","Unsure"
"2024/04/09 2:41:32 PM AST","2025","Man","Hispanic or Latino","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","21","I have become more liberal","","Strongly agree","Yes","Unsure","3","I have (an) older sibling(s)","24","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 2:43:13 PM AST","2024","Woman","White","Social Sciences (including economics, CLPS)","22","I have become more liberal","","Somewhat agree","Yes","No","3","I have (an) older sibling(s);I have (a) younger sibling(s)","","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 2:44:56 PM AST","2026","Woman","Asian;Hispanic or Latino;White","Physical Sciences (including math, computer science)","19","My political ideology has not changed","40000","Somewhat disagree","Yes","No","1","I have (a) younger sibling(s)","22","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 2:48:08 PM AST","2026","Man","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","20","I have become more liberal","70000","Somewhat agree","Yes","No","1","I have (an) older sibling(s)","23","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 2:50:51 PM AST","2024","Woman","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","21","I have become more liberal","200000","Strongly disagree","Yes","Unsure","3","I have (an) older sibling(s);I have (a) younger sibling(s)","24","Prefer not to answer","I would pull the lever, diverting the trolley’s path"
"2024/04/09 2:53:49 PM AST","2025","Woman","Hispanic or Latino","Social Sciences (including economics, CLPS)","20","I have become more liberal","40000","Somewhat agree","Unsure","No","1","I have (a) younger sibling(s)","27","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 2:55:44 PM AST","2026","Man","White","Life Sciences","20","My political ideology has not changed","70000","Somewhat agree","Yes","No","1","I have (an) older sibling(s)","22","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 2:57:28 PM AST","2024","Woman","White","Life Sciences","22","I have become more liberal","80000","Strongly agree","Yes","No","0","I have no siblings","25","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:00:58 PM AST","2025","Man","Middle Eastern or North African","Physical Sciences (including math, computer science)","20","My political ideology has not changed","35000","Strongly agree","Yes","No","1","I have (an) older sibling(s)","23","No","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 3:04:55 PM AST","2026","Man","White","Humanities/Arts","19","My political ideology has not changed","35000","Somewhat agree","Yes","I don't plan to be a parent","2","I have (a) younger sibling(s)","21","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:04:59 PM AST","2025","Woman","Asian;Native Hawaiian or Pacific Islander;White","Physical Sciences (including math, computer science)","21","My political ideology has not changed","70000","Somewhat agree","Yes","No","1","I have (an) older sibling(s)","24","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:09:10 PM AST","2024","Woman","Asian","Life Sciences","23","My political ideology has not changed","60000","Somewhat agree","Unsure","No","1","I have (an) older sibling(s)","35","Yes","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 3:09:11 PM AST","2026","Man","White","Physical Sciences (including math, computer science)","20","My political ideology has not changed","60000","Somewhat disagree","Yes","Yes","2","I have (an) older sibling(s)","25","Yes","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 3:10:58 PM AST","2024","Woman","White","Social Sciences (including economics, CLPS)","22","I have become more conservative","40000","Somewhat agree","Yes","No","1","I have (a) younger sibling(s)","27","No","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 3:10:58 PM AST","2026","Man","White","Physical Sciences (including math, computer science)","19","I have become more conservative","60000","Somewhat agree","Yes","No","1","I have (a) younger sibling(s)","23","Yes","Prefer not to answer"
"2024/04/09 3:10:58 PM AST","2025","Woman","Hispanic or Latino","Physical Sciences (including math, computer science)","","My political ideology has not changed","","Strongly agree","Yes","Unsure","1","I have (an) older sibling(s)","","No","Unsure"
"2024/04/09 3:13:51 PM AST","2025","Man","Black","Social Sciences (including economics, CLPS)","21","I have become more liberal","65000","Somewhat agree","Yes","Unsure","3","I have (an) older sibling(s);I have (a) younger sibling(s)","30","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:13:59 PM AST","2026","Woman","Black","Physical Sciences (including math, computer science)","20","I have become more conservative","60000","Strongly agree","Yes","No","3","I have (an) older sibling(s)","22","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:14:18 PM AST","2025","Man","Black","Social Sciences (including economics, CLPS)","20","My political ideology has not changed","50000","Somewhat agree","Yes","No","1","I am a twin or triplet","25","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:15:27 PM AST","2024","Man","White","Physical Sciences (including math, computer science)","21","I have become more liberal","82000","Somewhat agree","Unsure","Unsure","2","I have (a) younger sibling(s)","24","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:15:54 PM AST","2024","Man","Asian","Physical Sciences (including math, computer science)","21","My political ideology has not changed","45000","Strongly agree","Yes","Unsure","1","I have (an) older sibling(s)","25","No","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 3:17:17 PM AST","2025","Man","Hispanic or Latino;White","Physical Sciences (including math, computer science)","21","My political ideology has not changed","","Somewhat agree","Yes","No","0","I have no siblings","","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:18:32 PM AST","2027","Woman","Asian","Physical Sciences (including math, computer science)","18","My political ideology has not changed","88000","Somewhat agree","Yes","No","1","I have (an) older sibling(s)","20","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:18:34 PM AST","2027","Woman","Asian","Life Sciences","","Unsure","","Somewhat agree","Unsure","I don't plan to be a parent","1","I have (a) younger sibling(s)","","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:18:45 PM AST","2024","Woman","White","Humanities/Arts;Physical Sciences (including math, computer science)","22","I have become more conservative","100","Strongly agree","I am already married","Unsure","2","I have (an) older sibling(s)","27","No","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 3:21:20 PM AST","2025","Man;Questioning","Asian;White","Humanities/Arts;Physical Sciences (including math, computer science)","21","I have become more conservative","55000","Somewhat agree","Yes","Yes","2","I have (a) younger sibling(s)","26","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:21:27 PM AST","2025","Woman","Black","Physical Sciences (including math, computer science)","21","My political ideology has not changed","10000","Unsure","Unsure","No","5+","I am a twin or triplet;I have (an) older sibling(s);I have (a) younger sibling(s)","35","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:21:55 PM AST","2025","Man","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","20","Unsure","30000","Strongly disagree","Unsure","No","1","I have (an) older sibling(s)","22","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:22:23 PM AST","2027","Woman","White","Physical Sciences (including math, computer science)","19","My political ideology has not changed","65000","Somewhat agree","Yes","No","2","I have (an) older sibling(s);I have (a) younger sibling(s)","21","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:23:20 PM AST","2024","Man","White","Social Sciences (including economics, CLPS)","21","I have become more liberal","50000","Somewhat agree","Yes","No","1","I have (an) older sibling(s)","26","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:23:58 PM AST","2024","Man","Asian;White","Physical Sciences (including math, computer science)","21","I have become more liberal","42000","Somewhat disagree","Yes","No","1","I have (a) younger sibling(s)","24","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:26:52 PM AST","2024","Man","Asian","Life Sciences;Social Sciences (including economics, CLPS)","22","My political ideology has not changed","55000","Somewhat agree","Yes","No","0","I have no siblings","28","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:28:28 PM AST","2024","Woman","Hispanic or Latino;Middle Eastern or North African","Humanities/Arts;Life Sciences","21","I have become more liberal","65000","Somewhat agree","Unsure","No","0","I have no siblings","27","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:30:02 PM AST","2026","Woman","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","","Unsure","70000","Unsure","Unsure","I don't plan to be a parent","1","I have (a) younger sibling(s)","","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:30:26 PM AST","2024","Woman","Black","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","21","I have become more conservative","60000","Somewhat disagree","Yes","No","2","I have (an) older sibling(s)","26","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:30:33 PM AST","2026","Man","White","Life Sciences;Social Sciences (including economics, CLPS)","20","My political ideology has not changed","70000","Somewhat disagree","Unsure","No","1","I have (a) younger sibling(s)","26","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:30:45 PM AST","2026","Man","Black","Physical Sciences (including math, computer science)","19","Unsure","74000","Somewhat agree","Yes","Unsure","5+","I have (an) older sibling(s);I have (a) younger sibling(s)","21","No","Unsure"
"2024/04/09 3:31:58 PM AST","2027","Man","Asian","Physical Sciences (including math, computer science)","18","Unsure","70000","Somewhat agree","Yes","I don't plan to be a parent","Prefer not to answer","I have (an) older sibling(s)","22","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:33:28 PM AST","2027","Man;Non-binary","White","Humanities/Arts;Life Sciences;Physical Sciences (including math, computer science)","18","I have become more conservative","57000","Somewhat agree","Unsure","No","0","I have no siblings","30","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:33:44 PM AST","2026","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","20","My political ideology has not changed","60000","Somewhat agree","Yes","Unsure","3","I have (an) older sibling(s)","22","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:35:23 PM AST","2026","Man","Middle Eastern or North African","Humanities/Arts;Social Sciences (including economics, CLPS)","20","I have become more liberal","60000","Strongly agree","Yes","No","2","I have (an) older sibling(s);I have (a) younger sibling(s)","25","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:36:13 PM AST","2026","Woman","White","Social Sciences (including economics, CLPS)","20","I have become more liberal","50000","Somewhat agree","Yes","No","0","I have no siblings","22","No","Unsure"
"2024/04/09 3:36:49 PM AST","2024.5","Man","Asian","Life Sciences;Physical Sciences (including math, computer science)","22","I have become more conservative","50000","Somewhat agree","Yes","No","0","I have no siblings","25","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:37:00 PM AST","2026","Man","White","Social Sciences (including economics, CLPS)","21","I have become more conservative","50000","Somewhat agree","Yes","No","2","I have (an) older sibling(s)","25","Prefer not to answer","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:38:07 PM AST","2025","Non-binary","Asian","Physical Sciences (including math, computer science)","20","Unsure","60000","Somewhat disagree","Unsure","No","2","I have (an) older sibling(s);I have (a) younger sibling(s)","22","No","Unsure"
"2024/04/09 3:38:17 PM AST","2024","Man","Hispanic or Latino","Social Sciences (including economics, CLPS)","21","I have become more liberal","20000","Somewhat disagree","Yes","No","1","I have (a) younger sibling(s)","25","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:39:54 PM AST","2027","Woman","Asian","Humanities/Arts;Life Sciences","19","My political ideology has not changed","70000","Somewhat agree","Unsure","No","1","I have (an) older sibling(s)","22","No","Prefer not to answer"
"2024/04/09 3:42:25 PM AST","2025","Woman","Black","Social Sciences (including economics, CLPS)","21","I have become more liberal","75000","Somewhat disagree","Yes","No","1","I have (a) younger sibling(s)","23","No","Unsure"
"2024/04/09 3:43:06 PM AST","2024","Man;Non-binary","White","Physical Sciences (including math, computer science)","22","I have become more conservative","63000","Unsure","Unsure","No","1","I have (a) younger sibling(s)","35","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:43:11 PM AST","2026","Woman","Hispanic or Latino","Humanities/Arts;Social Sciences (including economics, CLPS)","20","I have become more liberal","100","Unsure","Yes","No","1","I have (an) older sibling(s)","25","No","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 3:45:19 PM AST","2026","Woman","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","20","My political ideology has not changed","40000","Somewhat agree","Yes","No","0","I have no siblings","27","Prefer not to answer","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:46:35 PM AST","2026","Man","White","Physical Sciences (including math, computer science)","21","My political ideology has not changed","60000","Somewhat agree","Yes","Unsure","3","I have (an) older sibling(s);I have (a) younger sibling(s)","30","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:47:50 PM AST","2025","Man","White","Social Sciences (including economics, CLPS)","21","I have become more liberal","69000","Unsure","Yes","No","1","I have (an) older sibling(s)","24","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:49:39 PM AST","2027","Man;Non-binary","Middle Eastern or North African;White","Humanities/Arts;Physical Sciences (including math, computer science)","19","My political ideology has not changed","65000","Somewhat agree","Yes","No","3","I have (an) older sibling(s);I have (a) younger sibling(s)","24","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:51:38 PM AST","2026","Woman","Asian;White","Physical Sciences (including math, computer science)","19","My political ideology has not changed","250000","Somewhat agree","Yes","No","5+","I have (an) older sibling(s)","23","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:51:38 PM AST","2024","Woman","Asian","Social Sciences (including economics, CLPS)","","My political ideology has not changed","","Somewhat disagree","Yes","No","2","I have (a) younger sibling(s)","","Yes","I would not pull the lever, leaving the trolley on its current path"
"2024/04/09 3:52:00 PM AST","2024","Man","White","Physical Sciences (including math, computer science)","21","My political ideology has not changed","70000","Somewhat disagree","Unsure","Unsure","1","I have (an) older sibling(s)","35","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:52:12 PM AST","2025","Man","Middle Eastern or North African","Physical Sciences (including math, computer science)","20","I have become more conservative","40000","Strongly agree","Yes","No","3","I have (an) older sibling(s);I have (a) younger sibling(s)","22","No","Unsure"
"2024/04/09 3:54:04 PM AST","2025","Woman","White","Physical Sciences (including math, computer science)","21","I have become more liberal","70000","Somewhat agree","Yes","No","2","I have (an) older sibling(s);I have (a) younger sibling(s)","23","No","Prefer not to answer"
"2024/04/09 3:54:10 PM AST","2027","Woman","White","Humanities/Arts","19","I have become more conservative","","Strongly agree","Unsure","I don't plan to be a parent","1","I have (an) older sibling(s)","","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:54:33 PM AST","2024","Woman","White","Life Sciences;Physical Sciences (including math, computer science)","22","My political ideology has not changed","45000","Somewhat disagree","Yes","No","2","I have (a) younger sibling(s)","25","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:55:26 PM AST","2027","Man","White","Humanities/Arts;Life Sciences","19","My political ideology has not changed","95000","Strongly agree","Yes","Unsure","2","I have (a) younger sibling(s)","21","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:55:46 PM AST","2025","Man","Asian","Humanities/Arts;Life Sciences","","My political ideology has not changed","40000","Unsure","Prefer not to answer","Unsure","2","I have (a) younger sibling(s)","","Prefer not to answer","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:56:18 PM AST","2024","Woman","Prefer not to answer","Social Sciences (including economics, CLPS)","21","I have become more conservative","60000","Strongly agree","Yes","Yes","5+","I have (an) older sibling(s);I have (a) younger sibling(s)","25","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:56:19 PM AST","2027","Non-binary","White","Life Sciences;Physical Sciences (including math, computer science)","19","I have become more liberal","40000","Strongly agree","No","No","3","I have (an) older sibling(s)","23","Prefer not to answer","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:57:55 PM AST","2025","Man","White","Humanities/Arts","21","My political ideology has not changed","65000","Somewhat disagree","Yes","No","1","I have (an) older sibling(s)","24","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 3:58:17 PM AST","2025.5","Non-binary;Questioning","White","Physical Sciences (including math, computer science)","23","I have become more liberal","70000","Somewhat disagree","Unsure","Unsure","2","I have (an) older sibling(s)","60","Yes","Unsure"
"2024/04/09 3:59:31 PM AST","2025","Woman","White","Physical Sciences (including math, computer science)","20","My political ideology has not changed","25000","Somewhat agree","Yes","No","1","I have (an) older sibling(s)","24","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 4:00:27 PM AST","2024","Man","White","Humanities/Arts","22","I have become more conservative","60000","Somewhat disagree","Yes","No","2","I have (an) older sibling(s);I have (a) younger sibling(s)","25","Prefer not to answer","I would pull the lever, diverting the trolley’s path"
"2024/04/09 4:02:52 PM AST","2027","Woman","White","Humanities/Arts;Life Sciences","19","My political ideology has not changed","60000","Somewhat disagree","Yes","No","1","I have (a) younger sibling(s)","26","No","Unsure"
"2024/04/09 4:03:16 PM AST","2024","Man","Asian","Social Sciences (including economics, CLPS)","22","My political ideology has not changed","45","Unsure","Yes","Unsure","1","I have (a) younger sibling(s)","25","No","I would pull the lever, diverting the trolley’s path"
"2024/04/09 4:06:22 PM AST","2025","Man","White","Physical Sciences (including math, computer science)","21","I have become more conservative","40000","Somewhat agree","Yes","No","0","I have no siblings","26","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/09 10:02:34 PM AST","2026","Woman","White","Life Sciences;Social Sciences (including economics, CLPS)","19","My political ideology has not changed","65000","Somewhat agree","No","No","2","I have (a) younger sibling(s)","23","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/10 11:07:23 AM AST","2025","Woman","Asian;White","Humanities/Arts;Social Sciences (including economics, CLPS)","21","My political ideology has not changed","50000","Somewhat disagree","Yes","No","1","I have (a) younger sibling(s)","24","No","I would pull the lever, diverting the trolley’s path"
"2024/04/10 11:09:25 AM AST","2025","Woman","Asian","Humanities/Arts;Life Sciences","21","I have become more conservative","","Somewhat disagree","Yes","No","1","I have (a) younger sibling(s)","27","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/10 11:10:03 AM AST","2025","Man","Black","Physical Sciences (including math, computer science)","21","I have become more liberal","50000","Somewhat agree","Yes","No","3","I have (a) younger sibling(s)","24","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/10 11:11:31 AM AST","2025","Man","White","Humanities/Arts;Life Sciences","21","I have become more conservative","40000","Somewhat disagree","Yes","No","2","I have (a) younger sibling(s)","23","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/10 11:11:34 AM AST","2025","Woman","Asian","Social Sciences (including economics, CLPS)","20","I have become more liberal","80000","Strongly agree","Yes","Yes","1","I have (an) older sibling(s)","27","Yes","I would not pull the lever, leaving the trolley on its current path"
"2024/04/10 11:14:17 AM AST","2024.5","Woman","White","Social Sciences (including economics, CLPS)","21","I have become more conservative","70","Somewhat agree","Yes","Unsure","2","I have (an) older sibling(s)","28","No","I would pull the lever, diverting the trolley’s path"
"2024/04/10 11:14:31 AM AST","2026","Woman","Asian","Life Sciences;Physical Sciences (including math, computer science)","20","Unsure","55000","Somewhat agree","Yes","Unsure","1","I have (an) older sibling(s)","22","No","I would pull the lever, diverting the trolley’s path"
"2024/04/10 11:16:55 AM AST","2024","Man","White","Humanities/Arts;Social Sciences (including economics, CLPS)","22","My political ideology has not changed","60000","Somewhat disagree","Yes","No","4","I have (an) older sibling(s);I have (a) younger sibling(s)","25","No","I would pull the lever, diverting the trolley’s path"
"2024/04/10 11:16:56 AM AST","2026","Man","Asian;White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","19","My political ideology has not changed","67000","Unsure","Unsure","No","1","I have (an) older sibling(s)","23","No","I would pull the lever, diverting the trolley’s path"
"2024/04/10 11:20:33 AM AST","2025","Man","Asian","Physical Sciences (including math, computer science)","22","My political ideology has not changed","30000","Somewhat disagree","Yes","Unsure","1","I have (an) older sibling(s)","25","No","I would pull the lever, diverting the trolley’s path"
"2024/04/10 11:21:58 AM AST","2026","Woman","Asian","Social Sciences (including economics, CLPS)","19","My political ideology has not changed","60000","Somewhat disagree","Yes","Yes","1","I have (an) older sibling(s)","22","No","Unsure"
"2024/04/10 11:22:33 AM AST","2024","Woman","White","Social Sciences (including economics, CLPS)","22","I have become more liberal","70000","Strongly disagree","Yes","No","1","I have (a) younger sibling(s)","26","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/10 11:30:41 AM AST","2026","Woman","Asian;White","Life Sciences;Physical Sciences (including math, computer science)","19","My political ideology has not changed","55000","Somewhat agree","Yes","No","0","I have no siblings","22","No","I would not pull the lever, leaving the trolley on its current path"
"2024/04/10 11:31:22 AM AST","2026","Man;Questioning;Unsure","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","19","My political ideology has not changed","57000","Somewhat agree","Yes","No","1","I have (an) older sibling(s)","23","No","I would pull the lever, diverting the trolley’s path"
"2024/04/10 11:36:08 AM AST","2025","Man","White","Physical Sciences (including math, computer science)","20","My political ideology has not changed","60000","Strongly agree","Yes","No","1","I have (an) older sibling(s)","50","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/10 11:44:33 AM AST","2024","Man","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","22","I have become more liberal","45000","Somewhat disagree","Yes","No","1","I have (an) older sibling(s)","24","Yes","I would not pull the lever, leaving the trolley on its current path"
"2024/04/10 11:46:09 AM AST","2026","Woman","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","19","My political ideology has not changed","60000","Strongly agree","Unsure","No","1","I have (an) older sibling(s)","22","No","I would not pull the lever, leaving the trolley on its current path"
"2024/04/10 11:46:37 AM AST","2024","Non-binary","White","Humanities/Arts","21","I have become more liberal","75000","Somewhat disagree","Yes","No","1","I have (a) younger sibling(s)","25","Yes","I would pull the lever, diverting the trolley’s path"
"2024/04/10 11:53:19 AM AST","2026.5","Man","White","Physical Sciences (including math, computer science)","20","My political ideology has not changed","50000","Somewhat agree","Yes","No","2","I have (an) older sibling(s)","22","No","I would not pull the lever, leaving the trolley on its current path"
