"Timestamp","What is your current graduation year?","What is your (intended) concentration area(s)?","How would you describe your gender identity? Check all that apply.","Which of the following do you consider yourself to be?","How would you describe your race and ethnicity? Check all that apply.","Do you participate in athletics at Brown? Select all that apply.","How would you describe your political views?","Would you drop out of Brown for a million dollars? (You cannot enroll elsewhere)","To what extent do you agree with the following statement: Our country needs to reduce political correctness and cancel culture.","Which would you rather have guaranteed upon graduation?","Have you ever ended a friendship over a difference in political opinion?","Do you consider yourself neurodivergent?","How serious a problem do you think illegal immigration is for the United States right now?","To what extent do you agree with the following statement: I feel satisfied with my social experience at Brown.","Would you rather die now or live forever?"
"2024/11/19 1:13:11 PM EST","2027","Physical Sciences (including math, computer science)","Man","Straight","Middle Eastern or North African","No, I do not participate in varsity or club athletics","Prefer not to answer","Yes","Somewhat agree","Dream job","No","No","Not at all serious","Strongly disagree","Live forever"
"2024/11/19 1:13:59 PM EST","2028","Humanities/Arts","Woman","Queer","White","Yes, club athletics","Liberal","No","Somewhat disagree","Dream job","Yes","Unsure","Somewhat serious","Strongly agree","Die now"
"2024/11/19 1:23:47 PM EST","2025","Humanities/Arts;Physical Sciences (including math, computer science)","Man","Straight","Asian","No, I do not participate in varsity or club athletics","Moderate","No","Somewhat agree","Dream job","No","Unsure","Not too serious","Strongly agree","Live forever"
"2024/11/19 1:30:23 PM EST","2027","Humanities/Arts","Unsure","Queer","Asian;White","No, I do not participate in varsity or club athletics","Very liberal","Yes","Somewhat agree","Dream job","Yes","Yes","Somewhat serious","Strongly agree","Die now"
"2024/11/19 1:31:46 PM EST","2028","Humanities/Arts;Physical Sciences (including math, computer science)","Man","Bisexual","Black;White","No, I do not participate in varsity or club athletics","Very liberal","Yes","Somewhat disagree","Ideal romantic partner","No","No","Not too serious","Somewhat agree","Die now"
"2024/11/19 1:32:01 PM EST","2027","Physical Sciences (including math, computer science)","Woman","Bisexual","Hispanic or Latino","No, I do not participate in varsity or club athletics","Liberal","Yes","Strongly agree","Dream job","No","Yes","Somewhat serious","Strongly agree","Die now"
"2024/11/19 1:46:31 PM EST","2026","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Man","Straight","White","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat agree","Dream job","Yes","No","Not at all serious","Strongly agree","Live forever"
"2024/11/19 1:54:50 PM EST","2028","Humanities/Arts","Man","Straight","White","No, I do not participate in varsity or club athletics","Liberal","No","Prefer not to answer","Prefer not to answer","No","Unsure","Not too serious","Strongly disagree","Live forever"
"2024/11/19 2:06:15 PM EST","2028","Physical Sciences (including math, computer science)","Man","Straight","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat disagree","Ideal romantic partner","No","No","Not too serious","Somewhat agree","Live forever"
"2024/11/19 2:06:51 PM EST","2028","Humanities/Arts","Non-binary","Queer","Middle Eastern or North African","No, I do not participate in varsity or club athletics","Unsure","Yes","Somewhat agree","Dream job","Yes","Yes","Not at all serious","Somewhat agree","Live forever"
"2024/11/19 2:13:02 PM EST","2028","Humanities/Arts","Woman","Straight","White","No, I do not participate in varsity or club athletics","Very conservative","No","Strongly agree","Ideal romantic partner","No","Unsure","Very serious","Strongly agree","Die now"
"2024/11/19 2:13:25 PM EST","2028","Physical Sciences (including math, computer science)","Man","Bisexual","White","No, I do not participate in varsity or club athletics","Moderate","No","Somewhat agree","Ideal romantic partner","No","Unsure","Somewhat serious","Strongly agree","Die now"
"2024/11/19 2:14:22 PM EST","2025","Humanities/Arts;Life Sciences","Woman","Lesbian;Asexual","Asian","Yes, club athletics","Liberal","No","Prefer not to answer","Ideal romantic partner","Unsure","No","Prefer not to answer","Strongly agree","Die now"
"2024/11/19 2:15:13 PM EST","2028","Humanities/Arts;Physical Sciences (including math, computer science)","Woman","Straight","Asian","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat disagree","Dream job","Unsure","Yes","Not at all serious","Somewhat agree","Live forever"
"2024/11/19 2:15:33 PM EST","2028","Humanities/Arts;Physical Sciences (including math, computer science)","Woman","Bisexual","Middle Eastern or North African","Yes, club athletics","Very liberal","No","Somewhat disagree","Dream job","No","Unsure","Not at all serious","Somewhat disagree","Live forever"
"2024/11/19 2:16:04 PM EST","2028","Physical Sciences (including math, computer science)","Woman","Prefer not to answer","Black","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat disagree","Dream job","Yes","No","Unsure","Somewhat agree","Live forever"
"2024/11/19 2:16:51 PM EST","2027","Social Sciences (including economics, CLPS)","Woman","Straight","Asian","No, I do not participate in varsity or club athletics","Prefer not to answer","No","Somewhat disagree","Dream job","No","No","Not too serious","Somewhat agree","Live forever"
"2024/11/19 2:16:56 PM EST","2027","Social Sciences (including economics, CLPS)","Woman","Straight","Black","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","No","No","Not too serious","Somewhat agree","Prefer not to answer"
"2024/11/19 2:21:18 PM EST","2027","Social Sciences (including economics, CLPS)","Woman","Lesbian","Hispanic or Latino","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat disagree","Ideal romantic partner","Unsure","No","Not too serious","Strongly agree","Die now"
"2024/11/19 2:21:35 PM EST","2028","Humanities/Arts","Man","Gay","Asian","No, I do not participate in varsity or club athletics","Liberal","Yes","Somewhat disagree","Dream job","No","No","Not at all serious","Somewhat agree","Live forever"
"2024/11/19 2:22:18 PM EST","2028","Humanities/Arts","Woman","Prefer not to answer","Asian;White","No, I do not participate in varsity or club athletics","Liberal","Yes","Somewhat agree","Dream job","No","No","Not at all serious","Somewhat agree","Live forever"
"2024/11/19 2:23:02 PM EST","2027","Social Sciences (including economics, CLPS)","Man","Straight","Black","No, I do not participate in varsity or club athletics","Moderate","Yes","Strongly agree","Ideal romantic partner","No","No","Somewhat serious","Somewhat disagree","Die now"
"2024/11/19 2:23:09 PM EST","2028","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Man","Straight","White","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat disagree","Prefer not to answer","No","Unsure","Not at all serious","Somewhat agree","Live forever"
"2024/11/19 2:23:57 PM EST","2027","Humanities/Arts;Social Sciences (including economics, CLPS)","Woman","Lesbian","White","Yes, club athletics","Liberal","No","Somewhat agree","Dream job","Yes","No","Not too serious","Somewhat agree","Die now"
"2024/11/19 2:25:09 PM EST","2025","Life Sciences","Man","Straight","Asian","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat agree","Dream job","No","Unsure","Not too serious","Somewhat disagree","Die now"
"2024/11/19 2:25:26 PM EST","2026","Social Sciences (including economics, CLPS)","Man","Straight","Asian","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat disagree","Ideal romantic partner","Yes","Unsure","Not too serious","Strongly agree","Die now"
"2024/11/19 2:25:39 PM EST","2025","Humanities/Arts","Woman","Bisexual","White","No, I do not participate in varsity or club athletics","Liberal","Yes","Somewhat agree","Dream job","Unsure","No","Not too serious","Somewhat agree","Live forever"
"2024/11/19 2:27:26 PM EST","2028","Social Sciences (including economics, CLPS)","Man","Straight","White","No, I do not participate in varsity or club athletics","Liberal","Yes","Strongly agree","Dream job","No","Yes","Very serious","Somewhat agree","Live forever"
"2024/11/19 2:27:35 PM EST","2026","Physical Sciences (including math, computer science)","Man","Straight","Asian;White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Ideal romantic partner","No","No","Unsure","Strongly agree","Live forever"
"2024/11/19 2:28:21 PM EST","2028","Life Sciences","Woman","Bisexual","Asian","Yes, club athletics","Liberal","No","Somewhat disagree","Dream job","No","No","Not too serious","Somewhat agree","Live forever"
"2024/11/19 2:29:44 PM EST","2025","Humanities/Arts;Physical Sciences (including math, computer science)","Man;Questioning","Bisexual","Asian;White","No, I do not participate in varsity or club athletics","Very liberal","Yes","Somewhat agree","Dream job","Yes","Yes","Not too serious","Somewhat agree","Live forever"
"2024/11/19 2:30:10 PM EST","2028","Physical Sciences (including math, computer science)","Man","Bisexual","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat disagree","Dream job","Unsure","No","Not too serious","Strongly agree","Live forever"
"2024/11/19 2:30:48 PM EST","2025","Humanities/Arts;Life Sciences","Woman","Straight","Black;White","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat agree","Dream job","No","Unsure","Not at all serious","Somewhat disagree","Die now"
"2024/11/19 2:31:20 PM EST","2025","Life Sciences","Woman","Questioning","White","No, I do not participate in varsity or club athletics","Unsure","No","Somewhat agree","Ideal romantic partner","No","No","Somewhat serious","Strongly agree","Live forever"
"2024/11/19 2:32:42 PM EST","2025","Physical Sciences (including math, computer science)","Man","Straight","White","No, I do not participate in varsity or club athletics","Liberal","Yes","Somewhat agree","Dream job","No","No","Unsure","Strongly agree","Live forever"
"2024/11/19 2:33:34 PM EST","2025","Physical Sciences (including math, computer science)","Woman","Bisexual","Black","No, I do not participate in varsity or club athletics","Very liberal","Yes","Somewhat disagree","Dream job","Yes","Unsure","Not too serious","Somewhat agree","Die now"
"2024/11/19 2:34:28 PM EST","2027","Life Sciences","Man","Straight","Black","No, I do not participate in varsity or club athletics","Unsure","No","Prefer not to answer","Dream job","No","No","Not too serious","Strongly agree","Prefer not to answer"
"2024/11/19 2:35:15 PM EST","2026","Life Sciences;Physical Sciences (including math, computer science)","Man","Straight","Asian","Yes, club athletics","Moderate","No","Somewhat agree","Dream job","No","No","Not too serious","Strongly agree","Live forever"
"2024/11/19 2:37:40 PM EST","2028","Physical Sciences (including math, computer science)","Man","Straight","Hispanic or Latino;White","No, I do not participate in varsity or club athletics","Very liberal","No","Strongly disagree","Dream job","No","No","Somewhat serious","Somewhat agree","Live forever"
"2024/11/19 2:39:06 PM EST","2027","Physical Sciences (including math, computer science)","Woman","Lesbian","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Ideal romantic partner","No","No","Somewhat serious","Strongly agree","Die now"
"2024/11/19 2:39:55 PM EST","2025","Humanities/Arts","Woman","Straight","Asian","No, I do not participate in varsity or club athletics","Liberal","Yes","Strongly agree","Dream job","No","No","Not at all serious","Somewhat agree","Live forever"
"2024/11/19 2:43:09 PM EST","2025","Life Sciences;Social Sciences (including economics, CLPS)","Woman","Bisexual","Asian","Yes, club athletics","Liberal","No","Somewhat disagree","Ideal romantic partner","Yes","Yes","Not too serious","Strongly agree","Live forever"
"2024/11/19 2:44:27 PM EST","2025","Humanities/Arts","Woman","Straight","White","No, I do not participate in varsity or club athletics","Liberal","No","Strongly agree","Dream job","Yes","No","Not at all serious","Strongly agree","Live forever"
"2024/11/19 2:44:51 PM EST","2025","Social Sciences (including economics, CLPS)","Woman","Straight","White","No, I do not participate in varsity or club athletics","Very liberal","Yes","Somewhat agree","Dream job","No","No","Not too serious","Somewhat agree","Live forever"
"2024/11/19 2:45:29 PM EST","2025","Humanities/Arts;Social Sciences (including economics, CLPS)","Man","Gay","White","No, I do not participate in varsity or club athletics","Liberal","Yes","Strongly disagree","Dream job","Yes","No","Not at all serious","Strongly disagree","Die now"
"2024/11/19 2:45:55 PM EST","2025","Humanities/Arts","Woman","Straight","Asian;Hispanic or Latino","No, I do not participate in varsity or club athletics","Prefer not to answer","No","Strongly agree","Dream job","No","No","Somewhat serious","Somewhat agree","Die now"
"2024/11/19 2:46:21 PM EST","2025","Physical Sciences (including math, computer science)","Woman","Straight","Hispanic or Latino","No, I do not participate in varsity or club athletics","Moderate","No","Somewhat agree","Ideal romantic partner","No","No","Not at all serious","Strongly agree","Live forever"
"2024/11/19 2:47:51 PM EST","2028","Physical Sciences (including math, computer science)","Man","Straight","White","No, I do not participate in varsity or club athletics","Unsure","Yes","Somewhat agree","Dream job","Unsure","No","Somewhat serious","Strongly agree","Die now"
"2024/11/19 2:50:43 PM EST","2027","Humanities/Arts;Physical Sciences (including math, computer science)","Man","Prefer not to answer","Asian","No, I do not participate in varsity or club athletics","Moderate","Yes","Somewhat agree","Ideal romantic partner","No","Unsure","Somewhat serious","Somewhat disagree","Live forever"
"2024/11/19 2:55:11 PM EST","2025","Physical Sciences (including math, computer science)","Man","Straight","White","No, I do not participate in varsity or club athletics","Conservative","No","Strongly agree","Ideal romantic partner","No","No","Very serious","Somewhat disagree","Die now"
"2024/11/19 2:57:08 PM EST","2025","Physical Sciences (including math, computer science)","Man","Straight","White","No, I do not participate in varsity or club athletics","Moderate","Yes","Somewhat agree","Dream job","No","No","Somewhat serious","Somewhat agree","Prefer not to answer"
"2024/11/19 3:00:06 PM EST","2027","Humanities/Arts","Man","Queer;Questioning","Black;White","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat disagree","Ideal romantic partner","Yes","No","Not at all serious","Somewhat agree","Die now"
"2024/11/19 3:01:16 PM EST","2026","Humanities/Arts;Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Man","Straight","Asian","Yes, club athletics","Moderate","No","Somewhat agree","Dream job","No","No","Somewhat serious","Somewhat agree","Live forever"
"2024/11/19 3:01:22 PM EST","2026","Life Sciences;Social Sciences (including economics, CLPS)","Man","Bisexual","White","No, I do not participate in varsity or club athletics","Liberal","Yes","Somewhat agree","Dream job","No","No","Somewhat serious","Strongly agree","Die now"
"2024/11/19 3:03:25 PM EST","2028","Humanities/Arts","Woman","Straight","White","No, I do not participate in varsity or club athletics","Very liberal","No","Strongly disagree","Dream job","No","No","Somewhat serious","Strongly agree","Live forever"
"2024/11/19 3:04:30 PM EST","2025","Humanities/Arts","Man","Straight","White","Yes, club athletics","Liberal","No","Somewhat disagree","Dream job","No","Unsure","Not at all serious","Strongly agree","Live forever"
"2024/11/19 3:04:32 PM EST","2025","Physical Sciences (including math, computer science)","Man","Straight","Hispanic or Latino","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Ideal romantic partner","No","No","Not too serious","Somewhat agree","Die now"
"2024/11/19 3:05:16 PM EST","2027","Humanities/Arts;Social Sciences (including economics, CLPS)","Woman","Lesbian","White","No, I do not participate in varsity or club athletics","Very liberal","Yes","Strongly disagree","Dream job","No","No","Not too serious","Strongly agree","Live forever"
"2024/11/19 3:06:50 PM EST","2028","Physical Sciences (including math, computer science)","Non-binary","Lesbian","Black;White","No, I do not participate in varsity or club athletics","Very liberal","Yes","Strongly disagree","Dream job","Yes","Unsure","Not too serious","Strongly agree","Live forever"
"2024/11/19 3:07:44 PM EST","2028","Physical Sciences (including math, computer science)","Woman","Questioning","Middle Eastern or North African","No, I do not participate in varsity or club athletics","Very liberal","Yes","Somewhat agree","Ideal romantic partner","No","Yes","Unsure","Somewhat agree","Live forever"
"2024/11/19 3:08:04 PM EST","2028","Life Sciences","Woman","Straight","Asian","No, I do not participate in varsity or club athletics","Moderate","No","Somewhat agree","Dream job","No","No","Somewhat serious","Somewhat agree","Live forever"
"2024/11/19 3:09:04 PM EST","2027","Life Sciences","Man","Straight","White","Yes, club athletics","Moderate","No","Somewhat agree","Ideal romantic partner","Yes","No","Somewhat serious","Somewhat agree","Live forever"
"2024/11/19 3:10:18 PM EST","2026","Physical Sciences (including math, computer science)","Woman","Bisexual","Asian;Black","Yes, varsity athletics","Very liberal","Yes","Somewhat agree","Ideal romantic partner","No","Prefer not to answer","Somewhat serious","Strongly agree","Die now"
"2024/11/19 3:10:52 PM EST","2026","Social Sciences (including economics, CLPS)","Woman","Straight","White","Yes, varsity athletics","Moderate","Yes","Somewhat disagree","Dream job","No","No","Somewhat serious","Strongly agree","Die now"
"2024/11/19 3:11:11 PM EST","2028","Life Sciences","Woman","Straight;Asexual","White","Yes, club athletics","Moderate","No","Somewhat disagree","Dream job","Yes","Yes","Very serious","Strongly agree","Die now"
"2024/11/19 3:12:00 PM EST","2025","Humanities/Arts;Social Sciences (including economics, CLPS)","Non-binary","Queer","Black","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat disagree","Dream job","Yes","Yes","Not at all serious","Somewhat agree","Prefer not to answer"
"2024/11/19 3:12:33 PM EST","2025","Life Sciences","Man","Straight","Black","No, I do not participate in varsity or club athletics","Very liberal","No","Strongly disagree","Ideal romantic partner","Yes","No","Not at all serious","Strongly agree","Die now"
"2024/11/19 3:14:18 PM EST","2026","Life Sciences;Social Sciences (including economics, CLPS)","Man","Gay","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat disagree","Dream job","Yes","No","Not too serious","Somewhat agree","Live forever"
"2024/11/19 3:14:44 PM EST","2027","Life Sciences;Physical Sciences (including math, computer science)","Woman","Straight","Asian;White","No, I do not participate in varsity or club athletics","Liberal","No","Strongly agree","Ideal romantic partner","No","Yes","Somewhat serious","Strongly agree","Die now"
"2024/11/19 3:14:51 PM EST","2028","Humanities/Arts","Man","Straight","White","No, I do not participate in varsity or club athletics","Liberal","Yes","Somewhat agree","Ideal romantic partner","Yes","Yes","Not too serious","Somewhat agree","Live forever"
"2024/11/19 3:15:54 PM EST","2027","Life Sciences","Woman","Straight","Black","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat disagree","Dream job","Unsure","No","Not too serious","Somewhat agree","Prefer not to answer"
"2024/11/19 3:16:37 PM EST","2027","Life Sciences","Woman","Straight","Black","No, I do not participate in varsity or club athletics","Unsure","No","Strongly agree","Dream job","No","No","Very serious","Unsure","Die now"
"2024/11/19 3:16:47 PM EST","2027","Life Sciences;Physical Sciences (including math, computer science)","Woman","Asexual","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","No","Unsure","Not too serious","Strongly agree","Die now"
"2024/11/19 3:16:49 PM EST","2025","Social Sciences (including economics, CLPS)","Woman","Straight","White","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat disagree","Ideal romantic partner","Unsure","No","Not at all serious","Strongly agree","Live forever"
"2024/11/19 3:17:01 PM EST","2026","Social Sciences (including economics, CLPS)","Man","Straight","White","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat disagree","Dream job","Unsure","No","Not at all serious","Strongly agree","Live forever"
"2024/11/19 3:17:33 PM EST","2025","Humanities/Arts","Man","Prefer not to answer","White","Prefer not to answer","Liberal","No","Prefer not to answer","Ideal romantic partner","Unsure","Unsure","Not too serious","Somewhat disagree","Live forever"
"2024/11/19 3:19:39 PM EST","2027","Life Sciences;Physical Sciences (including math, computer science)","Woman","Bisexual","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat disagree","Dream job","Yes","No","Somewhat serious","Somewhat disagree","Die now"
"2024/11/19 3:19:42 PM EST","2027","Physical Sciences (including math, computer science)","Woman","Straight","Hispanic or Latino","No, I do not participate in varsity or club athletics","Liberal","No","Prefer not to answer","Dream job","Yes","No","Not too serious","Strongly agree","Prefer not to answer"
"2024/11/19 3:20:32 PM EST","2027","Life Sciences;Social Sciences (including economics, CLPS)","Man","Gay","Black","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","No","Yes","Somewhat serious","Strongly agree","Live forever"
"2024/11/19 3:21:10 PM EST","2027","Humanities/Arts;Life Sciences;Physical Sciences (including math, computer science)","Man","Bisexual","White","Yes, club athletics","Liberal","No","Somewhat disagree","Dream job","No","No","Not at all serious","Somewhat agree","Die now"
"2024/11/19 3:21:48 PM EST","2025","Life Sciences;Social Sciences (including economics, CLPS)","Man","Gay","White","No, I do not participate in varsity or club athletics","Moderate","Yes","Prefer not to answer","Ideal romantic partner","Unsure","Yes","Somewhat serious","Somewhat disagree","Die now"
"2024/11/19 3:25:23 PM EST","2027","Physical Sciences (including math, computer science)","Woman","Lesbian","White","Yes, varsity athletics","Liberal","No","Strongly agree","Dream job","No","No","Somewhat serious","Strongly agree","Die now"
"2024/11/19 3:25:33 PM EST","2027","Humanities/Arts","Woman","Bisexual","White","Yes, varsity athletics","Liberal","No","Somewhat agree","Dream job","Unsure","No","Not too serious","Strongly agree","Die now"
"2024/11/19 3:26:16 PM EST","2025","Humanities/Arts;Social Sciences (including economics, CLPS)","Woman","Straight","Black","No, I do not participate in varsity or club athletics","Unsure","Yes","Somewhat agree","Dream job","No","No","Not too serious","Strongly agree","Prefer not to answer"
"2024/11/19 3:31:42 PM EST","2028","Life Sciences","Man","Straight","Asian;White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Ideal romantic partner","No","No","Not too serious","Somewhat agree","Live forever"
"2024/11/19 3:31:55 PM EST","2027","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Woman","Straight","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat disagree","Dream job","No","Unsure","Not too serious","Somewhat disagree","Die now"
"2024/11/19 3:33:50 PM EST","2027","Physical Sciences (including math, computer science)","Woman","Queer","Asian","No, I do not participate in varsity or club athletics","Moderate","No","Somewhat agree","Ideal romantic partner","Unsure","No","Not too serious","Strongly agree","Die now"
"2024/11/19 3:34:06 PM EST","2027","Life Sciences","Man","Straight","Asian","Yes, club athletics","Moderate","No","Somewhat agree","Dream job","No","No","Unsure","Somewhat agree","Prefer not to answer"
"2024/11/19 3:34:11 PM EST","2025","Physical Sciences (including math, computer science)","Man","Gay","Asian","Yes, club athletics","Liberal","No","Somewhat agree","Dream job","Unsure","No","Somewhat serious","Strongly agree","Live forever"
"2024/11/19 3:35:36 PM EST","2025","Social Sciences (including economics, CLPS)","Woman","Straight","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","No","No","Not at all serious","Somewhat agree","Live forever"
"2024/11/19 3:36:08 PM EST","2027","Humanities/Arts;Physical Sciences (including math, computer science)","Man","Straight","White","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat agree","Dream job","No","Yes","Not too serious","Strongly agree","Die now"
"2024/11/19 3:37:07 PM EST","2027","Social Sciences (including economics, CLPS)","Man","Straight","Asian;White","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat agree","Ideal romantic partner","No","No","Not too serious","Somewhat agree","Live forever"
"2024/11/19 3:39:22 PM EST","2025","Social Sciences (including economics, CLPS)","Woman","Straight","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat disagree","Dream job","Unsure","No","Not too serious","Somewhat agree","Die now"
"2024/11/19 3:39:35 PM EST","2028","Life Sciences","Woman","Straight","Asian","No, I do not participate in varsity or club athletics","Liberal","Yes","Strongly disagree","Dream job","No","No","Prefer not to answer","Somewhat disagree","Die now"
"2024/11/19 3:40:02 PM EST","2028","Humanities/Arts;Life Sciences","Woman","Other LGBTQ+","Asian","Yes, club athletics","Liberal","Yes","Somewhat agree","Dream job","No","No","Unsure","Somewhat agree","Live forever"
"2024/11/19 3:40:49 PM EST","2028","Social Sciences (including economics, CLPS)","Woman","Straight","Black","No, I do not participate in varsity or club athletics","Moderate","Yes","Strongly agree","Ideal romantic partner","No","No","Not too serious","Strongly agree","Die now"
"2024/11/19 3:41:05 PM EST","2027","Life Sciences","Woman","Asexual","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","No","No","Not too serious","Somewhat agree","Live forever"
"2024/11/19 3:41:37 PM EST","2025","Humanities/Arts;Physical Sciences (including math, computer science)","Man","Straight","White","No, I do not participate in varsity or club athletics","Liberal","Yes","Somewhat agree","Ideal romantic partner","No","No","Somewhat serious","Strongly agree","Live forever"
"2024/11/19 3:41:38 PM EST","2027","Physical Sciences (including math, computer science)","Man","Straight","White","Yes, varsity athletics;Yes, club athletics","Very liberal","Yes","Strongly agree","Ideal romantic partner","Yes","No","Very serious","Somewhat agree","Prefer not to answer"
"2024/11/19 3:41:45 PM EST","2027","Humanities/Arts;Physical Sciences (including math, computer science)","Woman","Asexual","Asian;White","No, I do not participate in varsity or club athletics","Liberal","Yes","Somewhat agree","Dream job","Unsure","No","Not at all serious","Somewhat agree","Die now"
"2024/11/19 3:42:58 PM EST","2027","Humanities/Arts;Social Sciences (including economics, CLPS)","Man","Straight","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat disagree","Dream job","No","No","Not too serious","Strongly agree","Live forever"
"2024/11/19 3:43:14 PM EST","2028","Social Sciences (including economics, CLPS)","Man","Bisexual","Black","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat disagree","Dream job","Unsure","No","Not at all serious","Strongly agree","Prefer not to answer"
"2024/11/19 3:44:10 PM EST","2026","Humanities/Arts","Woman","Bisexual;Straight;Questioning","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Ideal romantic partner","Yes","No","Not too serious","Strongly agree","Die now"
"2024/11/19 3:45:08 PM EST","2028","Life Sciences;Physical Sciences (including math, computer science)","Man","Bisexual","White","No, I do not participate in varsity or club athletics","Liberal","Yes","Strongly agree","Dream job","Unsure","No","Not too serious","Unsure","Live forever"
"2024/11/19 3:45:46 PM EST","2028","Physical Sciences (including math, computer science)","Man","Straight","Black;White","Yes, varsity athletics","Liberal","Yes","Somewhat disagree","Ideal romantic partner","No","No","Not too serious","Somewhat agree","Prefer not to answer"
"2024/11/19 3:46:57 PM EST","2027","Humanities/Arts","Woman","Bisexual","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","No","No","Not too serious","Somewhat disagree","Live forever"
"2024/11/19 3:48:27 PM EST","2028","Humanities/Arts","Man","Straight;Questioning","Asian","Yes, club athletics","Liberal","Prefer not to answer","Somewhat agree","Ideal romantic partner","No","No","Unsure","Somewhat disagree",""
"2024/11/19 3:48:30 PM EST","2027","Humanities/Arts;Physical Sciences (including math, computer science)","Man;Non-binary","Bisexual;Queer","Hispanic or Latino;White","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat disagree","Dream job","No","Unsure","Not at all serious","Somewhat agree","Live forever"
"2024/11/19 3:48:57 PM EST","2026","Humanities/Arts;Social Sciences (including economics, CLPS)","Man","Pansexual","Asian","Yes, club athletics","Very liberal","Yes","Strongly disagree","Dream job","Yes","Yes","Not at all serious","Somewhat agree","Live forever"
"2024/11/19 3:49:43 PM EST","2028","Physical Sciences (including math, computer science)","Man","Straight","White","No, I do not participate in varsity or club athletics","Moderate","Yes","Strongly agree","Ideal romantic partner","No","Unsure","Not too serious","Somewhat disagree","Live forever"
"2024/11/19 3:50:34 PM EST","2027","Life Sciences","Woman","Straight","Hispanic or Latino;White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","No","Yes","Unsure","Strongly agree","Prefer not to answer"
"2024/11/19 3:50:59 PM EST","2027","Life Sciences","Woman","Straight","Black","No, I do not participate in varsity or club athletics","Liberal","No","Strongly agree","Dream job","Yes","No","Not too serious","Strongly agree","Die now"
"2024/11/19 3:51:15 PM EST","2027","Life Sciences","Woman","Straight","White","Yes, club athletics","Moderate","No","Somewhat disagree","Dream job","No","Unsure","Somewhat serious","Somewhat agree","Live forever"
"2024/11/19 3:52:01 PM EST","2028","Physical Sciences (including math, computer science)","Woman","Straight","Hispanic or Latino","No, I do not participate in varsity or club athletics","Liberal","No","Strongly agree","Dream job","No","No","Very serious","Strongly agree","Live forever"
"2024/11/19 3:52:31 PM EST","2025","Humanities/Arts","Woman","Bisexual","White","No, I do not participate in varsity or club athletics","Very liberal","Prefer not to answer","Strongly disagree","Ideal romantic partner","Yes","Yes","Not at all serious","Strongly agree","Die now"
"2024/11/19 3:52:39 PM EST","2028","Physical Sciences (including math, computer science)","Woman","Straight","Asian","No, I do not participate in varsity or club athletics","Moderate","No","Somewhat agree","Dream job","No","No","Unsure","Strongly agree","Die now"
"2024/11/19 3:53:12 PM EST","2027","Life Sciences;Social Sciences (including economics, CLPS)","Woman","Straight","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","Yes","No","Not too serious","Somewhat agree","Live forever"
"2024/11/19 3:53:47 PM EST","2026","Social Sciences (including economics, CLPS)","Man","Straight","Black","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat disagree","Dream job","Unsure","No","Not at all serious","Strongly agree","Live forever"
