"Timestamp","What is your current graduation year?","How would you describe your gender identity?","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area(s)?","Do you participate in athletics at Brown? Select all that apply.","To what extent are you informed about the Israel-Hamas War?","To what extent do you think the average Brown student is informed about the Israel-Hamas War?","Which of the following statements do you most agree with?","Have you ever considered transferring from Brown to another undergraduate institution? ","Do you have access to a credit or debit card that is paid for by a parent/guardian?","To what extent do you agree or disagree with the following statement: I feel comfortable expressing my religion on Brown’s campus.","Which of the following statements comes closest to your view?","How likely are you to donate money to Brown University or an affiliated organization in the future?","Would you date a first-year student at Brown?"
"2023/10/17 2:13:15 PM AST","2027","Female","White","Life Sciences","Yes, club athletics","Somewhat informed","Somewhat informed","Unsure","No","Yes","Strongly agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Very likely","Yes"
"2023/10/17 2:14:40 PM AST","2026","Male","White","Life Sciences","Yes, varsity athletics","Somewhat uninformed","Somewhat informed","The United States of America is in decline","No","No","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","Yes"
"2023/10/17 2:15:14 PM AST","2027","Male","Asian;Native American or Alaska Native","Physical Sciences (including math, computer science)","Yes, club athletics","Somewhat uninformed","Somewhat informed","The United States of America is in decline","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very likely","Yes"
"2023/10/17 2:16:03 PM AST","2027","Male","White","Humanities/Arts;Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Very informed","Somewhat informed","The United States of America is in decline","No","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Yes"
"2023/10/17 2:16:03 PM AST","2027","Male","Asian","Social Sciences (including economics, CLPS)","Yes, club athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","Yes","Strongly agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Yes"
"2023/10/17 2:16:38 PM AST","2026","Male","Asian;White","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","Unsure","No","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","Yes"
"2023/10/17 2:17:12 PM AST","2026","Male","Black","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat uninformed","Very uninformed","The United States of America is in decline","No","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","Unsure"
"2023/10/17 2:17:57 PM AST","2027","Female","Hispanic;White","Life Sciences","Yes, club athletics","Somewhat informed","Unsure","Unsure","No","No","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Prefer not to answer"
"2023/10/17 2:18:55 PM AST","2024","Female","White","Humanities/Arts","Yes, club athletics;Yes, intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","No","Yes","I do not actively practice a religion","Unsure","Somewhat likely","No"
"2023/10/17 2:19:43 PM AST","2025","Female","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Yes, club athletics;Yes, intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","No","Yes","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/17 2:21:00 PM AST","2024","Female","White","Humanities/Arts","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","No"
"2023/10/17 2:21:31 PM AST","2027","Female","Asian","Humanities/Arts;Life Sciences","No, I do not participate in varsity, club, or intramural athletics","Very informed","Somewhat uninformed","Prefer not to answer","No","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Prefer not to answer","Unsure"
"2023/10/17 2:22:42 PM AST","2027","Female","Asian;White","Humanities/Arts;Social Sciences (including economics, CLPS)","Yes, club athletics","Somewhat informed","Somewhat uninformed","Unsure","No","Yes","I do not actively practice a religion","Unsure","Very likely","Yes"
"2023/10/17 2:23:07 PM AST","2027","Male","White","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is not in decline","Yes","Yes","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Unsure","Yes"
"2023/10/17 2:23:51 PM AST","2027","Male","Asian","Humanities/Arts;Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat uninformed","Somewhat informed","Prefer not to answer","No","No","Somewhat agree","Unsure","Very unlikely","Yes"
"2023/10/17 2:24:51 PM AST","2025","Female","Black","Physical Sciences (including math, computer science)","Yes, club athletics","Somewhat informed","Somewhat informed","Unsure","Unsure","No","I do not actively practice a religion","Unsure","Somewhat unlikely","No"
"2023/10/17 2:25:13 PM AST","2026","Prefer not to answer","White","Humanities/Arts;Physical Sciences (including math, computer science)","Yes, club athletics","Somewhat informed","Unsure","Unsure","No","Yes","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","Yes"
"2023/10/17 2:25:37 PM AST","2024","Female","White","Physical Sciences (including math, computer science)","Yes, club athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","Yes","I do not actively practice a religion","Unsure","Somewhat likely","No"
"2023/10/17 2:27:26 PM AST","2024","Male","Asian","Humanities/Arts","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is not in decline","No","No","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/17 2:27:31 PM AST","2024","Female","Asian","Social Sciences (including economics, CLPS)","Yes, club athletics","Somewhat uninformed","Somewhat uninformed","Prefer not to answer","No","Yes","Somewhat agree","Unsure","Very unlikely","No"
"2023/10/17 2:28:13 PM AST","2025","Male","White","Humanities/Arts","Yes, intramural athletics","Somewhat informed","Very uninformed","The United States of America is not in decline","No","Yes","I do not actively practice a religion","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Very likely","No"
"2023/10/17 2:30:27 PM AST","2025","Male","White","Humanities/Arts;Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","Unsure","No","No","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","No"
"2023/10/17 2:32:02 PM AST","2025","Male","White","Humanities/Arts","Yes, club athletics;Yes, intramural athletics","Somewhat informed","Somewhat uninformed","Unsure","No","No","Somewhat agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/17 2:32:48 PM AST","2027","Male","Black","Physical Sciences (including math, computer science)","Prefer not to answer","Somewhat informed","Somewhat informed","The United States of America is in decline","Yes","No","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Yes"
"2023/10/17 2:34:12 PM AST","2026","Male","Asian","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Very uninformed","The United States of America is in decline","No","Yes","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very likely","Yes"
"2023/10/17 2:35:04 PM AST","2027","Male","Asian","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Very informed","Somewhat uninformed","The United States of America is not in decline","No","No","Unsure","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Very likely","Yes"
"2023/10/17 2:37:35 PM AST","2027","Male","White","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Very informed","Somewhat informed","Unsure","No","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Yes"
"2023/10/17 2:38:27 PM AST","2024","Female","Black","Humanities/Arts;Social Sciences (including economics, CLPS)","Yes, varsity athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","No","I do not actively practice a religion","Unsure","Somewhat likely","No"
"2023/10/17 2:39:35 PM AST","2024","Female","White","Humanities/Arts;Physical Sciences (including math, computer science)","Yes, club athletics","Somewhat informed","Very informed","Unsure","No","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/17 2:39:57 PM AST","2027","Female","Black","Humanities/Arts;Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Very uninformed","Somewhat uninformed","The United States of America is not in decline","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Unsure","Unsure"
"2023/10/17 2:40:44 PM AST","2026","Male","Asian;White","Social Sciences (including economics, CLPS)","Yes, intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is not in decline","No","Yes","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very likely","Yes"
"2023/10/17 2:41:26 PM AST","2026","Male","Asian","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","Unsure","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Yes"
"2023/10/17 2:43:19 PM AST","2026","Male","White","Physical Sciences (including math, computer science)","Yes, intramural athletics","Very informed","Somewhat uninformed","Unsure","Yes","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","Prefer not to answer"
"2023/10/17 2:43:26 PM AST","2025","Male","Black","Humanities/Arts;Social Sciences (including economics, CLPS)","Yes, club athletics","Very informed","Somewhat informed","The United States of America is in decline","No","Yes","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very likely","No"
"2023/10/17 2:44:37 PM AST","2025","Female","Asian;White","Life Sciences;Social Sciences (including economics, CLPS)","Yes, club athletics","Somewhat informed","Somewhat uninformed","Prefer not to answer","No","Prefer not to answer","I do not actively practice a religion","Prefer not to answer","Prefer not to answer","No"
"2023/10/17 2:46:07 PM AST","2026","Female","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Yes, club athletics","Somewhat uninformed","Somewhat informed","The United States of America is not in decline","No","Yes","Strongly agree","Unsure","Somewhat unlikely","No"
"2023/10/17 2:48:04 PM AST","2026","Male","Middle Eastern or North African","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Very informed","Somewhat uninformed","The United States of America is in decline","No","Yes","Strongly agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","Yes"
"2023/10/17 2:49:34 PM AST","2025","Male","Black","Humanities/Arts","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","Yes","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Yes"
"2023/10/17 2:51:57 PM AST","2026","Male","Hispanic","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Yes, club athletics","Somewhat informed","Somewhat informed","Unsure","No","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Unsure","No"
"2023/10/17 2:54:44 PM AST","2026","Male","White","Humanities/Arts;Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Very uninformed","The United States of America is in decline","No","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","No"
"2023/10/17 2:55:31 PM AST","2026","Female","Hispanic;White","Humanities/Arts","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Very uninformed","The United States of America is in decline","No","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","No"
"2023/10/17 2:55:39 PM AST","2027","Male","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Very informed","Very uninformed","Unsure","Yes","Yes","Somewhat disagree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Yes"
"2023/10/17 2:57:18 PM AST","2024","Female","Black","Humanities/Arts","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","Unsure","No","No","Somewhat agree","Unsure","Somewhat likely","No"
"2023/10/17 2:58:17 PM AST","2024","Male","Asian","Life Sciences;Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat uninformed","Unsure","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/17 2:59:18 PM AST","2025","Female","Native Hawaiian or Pacific Islander","Life Sciences","No, I do not participate in varsity, club, or intramural athletics","Very uninformed","Somewhat uninformed","Unsure","No","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","No"
"2023/10/17 3:03:46 PM AST","2025","Male","Asian","Humanities/Arts;Life Sciences","No, I do not participate in varsity, club, or intramural athletics","Somewhat uninformed","Somewhat uninformed","The United States of America is in decline","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Unsure"
"2023/10/17 3:06:41 PM AST","2024","Female","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Yes, intramural athletics","Somewhat informed","Somewhat informed","Unsure","No","Yes","I do not actively practice a religion","Unsure","Somewhat likely","No"
"2023/10/17 3:07:51 PM AST","2026","Male","Asian","Humanities/Arts","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Unsure","The United States of America is in decline","No","No","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Unsure","No"
"2023/10/17 3:07:55 PM AST","2024","Female","Asian","Physical Sciences (including math, computer science)","Yes, club athletics","Somewhat informed","Somewhat informed","The United States of America is not in decline","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/17 3:08:45 PM AST","2025","Non-binary","White","Humanities/Arts","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat uninformed","Unsure","Yes","Yes","Somewhat disagree","Unsure","Somewhat unlikely","No"
"2023/10/17 3:09:13 PM AST","2025","Female","Black","Humanities/Arts","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","No","Prefer not to answer","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/17 3:09:46 PM AST","2025","Female","White","Humanities/Arts","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat uninformed","Unsure","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","No"
"2023/10/17 3:09:47 PM AST","2027","Female","White","Humanities/Arts","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","Yes"
"2023/10/17 3:10:15 PM AST","2025","Female","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Yes, intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","No","No","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/17 3:11:14 PM AST","2025","Female","Black;White","Humanities/Arts;Physical Sciences (including math, computer science)","Yes, intramural athletics","Somewhat informed","Somewhat informed","Unsure","No","Yes","Unsure","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","No"
"2023/10/17 3:14:15 PM AST","2026","Male","White","Physical Sciences (including math, computer science)","Yes, club athletics","Somewhat uninformed","Somewhat informed","Unsure","Yes","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Unsure","Unsure"
"2023/10/17 3:16:08 PM AST","Prefer not to answer","Male","Middle Eastern or North African","Humanities/Arts;Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Very informed","Somewhat uninformed","Unsure","No","No","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","No"
"2023/10/17 3:16:46 PM AST","2027","Male","Hispanic;White","Physical Sciences (including math, computer science)","Yes, club athletics","Somewhat uninformed","Somewhat informed","The United States of America is not in decline","No","No","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","Yes"
"2023/10/17 3:16:59 PM AST","2025","Male","White","Humanities/Arts","Yes, intramural athletics","Somewhat informed","Somewhat informed","The United States of America is not in decline","No","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/17 3:17:23 PM AST","2024","Male","Middle Eastern or North African","Social Sciences (including economics, CLPS)","Yes, club athletics;Yes, intramural athletics","Very informed","Somewhat uninformed","The United States of America is in decline","No","Yes","Somewhat disagree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/17 3:18:17 PM AST","2026","Female","White","Humanities/Arts;Life Sciences","Yes, club athletics","Somewhat uninformed","Somewhat uninformed","The United States of America is not in decline","No","No","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Unsure"
"2023/10/17 3:19:01 PM AST","2027","Male","Asian","Life Sciences","Yes, club athletics","Somewhat uninformed","Somewhat informed","Unsure","No","Yes","Strongly agree","Unsure","Very unlikely","No"
"2023/10/17 3:21:24 PM AST","2027","Male","Black","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Yes, intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","No","No","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","Yes"
"2023/10/17 3:21:27 PM AST","2026","Male","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Very uninformed","Somewhat uninformed","The United States of America is in decline","Yes","Yes","I do not actively practice a religion","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","No"
"2023/10/17 3:22:37 PM AST","2026","Female","White","Life Sciences","Yes, varsity athletics","Somewhat uninformed","Somewhat informed","Unsure","Yes","Yes","I do not actively practice a religion","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/17 3:23:30 PM AST","2023.5","Male","Asian","Physical Sciences (including math, computer science)","Yes, intramural athletics","Somewhat uninformed","Somewhat informed","Unsure","No","Yes","I do not actively practice a religion","Unsure","Somewhat likely","No"
"2023/10/17 3:25:24 PM AST","2027","Female","Hispanic","Humanities/Arts","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","Unsure","Yes","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","Yes"
"2023/10/17 3:26:25 PM AST","2026","Questioning","Asian;White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","Yes","Yes","I do not actively practice a religion","Unsure","Somewhat unlikely","Unsure"
"2023/10/17 3:26:36 PM AST","2027","Male","White","Humanities/Arts;Life Sciences","Yes, club athletics","Unsure","Somewhat informed","Unsure","No","Yes","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Unsure","Yes"
"2023/10/17 3:27:12 PM AST","2027","Male","Middle Eastern or North African;White","Humanities/Arts","No, I do not participate in varsity, club, or intramural athletics","Very informed","Somewhat uninformed","Unsure","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Unsure","Yes"
"2023/10/17 3:27:44 PM AST","2024","Female","White","Humanities/Arts","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Unsure","Unsure","No","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","No"
"2023/10/17 3:29:18 PM AST","2024","Male","White","Life Sciences;Physical Sciences (including math, computer science)","Yes, club athletics","Somewhat uninformed","Somewhat uninformed","Prefer not to answer","Yes","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","No"
"2023/10/17 3:29:57 PM AST","2027","Female","Asian","Life Sciences;Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","No","Yes","Strongly agree","Unsure","Very unlikely","Yes"
"2023/10/17 3:30:00 PM AST","2026","Male","Asian;White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Yes, varsity athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","Yes","Somewhat agree","Unsure","Very likely","Unsure"
"2023/10/17 3:30:05 PM AST","2026","Male","Asian;White","Life Sciences;Physical Sciences (including math, computer science)","Yes, club athletics","Very uninformed","Unsure","The United States of America is in decline","Yes","Yes","I do not actively practice a religion","Unsure","Very unlikely","Yes"
"2023/10/17 3:31:26 PM AST","2024","Male","Asian","Social Sciences (including economics, CLPS)","Yes, intramural athletics","Somewhat informed","Somewhat informed","Unsure","No","No","Strongly agree","Unsure","Somewhat unlikely","No"
"2023/10/17 3:31:27 PM AST","2024","Male","Asian","Social Sciences (including economics, CLPS)","Yes, intramural athletics","Somewhat uninformed","Somewhat uninformed","Unsure","No","Yes","Somewhat agree","Unsure","Somewhat unlikely","No"
"2023/10/17 3:32:16 PM AST","2024","Male","White","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is not in decline","Yes","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","No"
"2023/10/17 3:32:28 PM AST","2024","Female","White","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","No","Yes","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/17 3:35:11 PM AST","2025","Female","Asian","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","Unsure","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","No"
"2023/10/17 3:35:14 PM AST","2024","Male","White","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Unsure","The United States of America is in decline","Yes","No","Somewhat disagree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","No"
"2023/10/17 3:38:09 PM AST","2024.5","Male","White","Physical Sciences (including math, computer science)","Yes, intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","No","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","No"
"2023/10/17 3:38:19 PM AST","2026","Male","Asian","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics;Prefer not to answer","Somewhat informed","Somewhat informed","Unsure","No","Yes","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/17 3:39:14 PM AST","2024","Male","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Very informed","Somewhat uninformed","Unsure","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","Yes"
"2023/10/17 3:40:38 PM AST","2025","Female","Asian;Hispanic","Humanities/Arts;Life Sciences","No, I do not participate in varsity, club, or intramural athletics","Somewhat uninformed","Very uninformed","The United States of America is in decline","Yes","Yes","Somewhat disagree","Unsure","Unsure","No"
"2023/10/17 3:41:33 PM AST","2027","Prefer not to answer","Middle Eastern or North African","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","No"
"2023/10/17 3:42:45 PM AST","2027","Female","White","Humanities/Arts;Life Sciences","Yes, club athletics","Somewhat informed","Somewhat informed","Unsure","No","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","Yes"
"2023/10/17 3:43:05 PM AST","2026","Male","Black;White","Social Sciences (including economics, CLPS)","Yes, intramural athletics","Somewhat uninformed","Unsure","Unsure","No","Prefer not to answer","I do not actively practice a religion","Unsure","Very likely","Unsure"
"2023/10/17 3:43:38 PM AST","2025","Male","Asian","Humanities/Arts;Life Sciences","No, I do not participate in varsity, club, or intramural athletics","Somewhat uninformed","Somewhat informed","Unsure","No","Yes","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/17 3:43:57 PM AST","2025","Female","Black","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Very uninformed","Somewhat uninformed","The United States of America is in decline","No","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Unsure"
"2023/10/17 3:44:12 PM AST","2024","Female","Asian","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Very informed","Somewhat informed","The United States of America is in decline","Prefer not to answer","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","Prefer not to answer"
"2023/10/17 3:44:26 PM AST","2026","Male","Asian","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","Yes","Strongly agree","Unsure","Somewhat unlikely","Unsure"
"2023/10/17 3:45:43 PM AST","2027","Female","Asian","Life Sciences","No, I do not participate in varsity, club, or intramural athletics","Very uninformed","Somewhat uninformed","The United States of America is in decline","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","No"
"2023/10/17 3:45:50 PM AST","2025","Male","Asian","Physical Sciences (including math, computer science)","Yes, intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","No"
"2023/10/17 3:46:02 PM AST","2027","Female","Middle Eastern or North African","Humanities/Arts","Yes, intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","No","No","Somewhat agree","Unsure","Somewhat likely","Yes"
"2023/10/17 3:47:27 PM AST","2026","Female","White","Life Sciences;Physical Sciences (including math, computer science)","Yes, club athletics","Somewhat uninformed","Somewhat informed","Unsure","No","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","Yes"
