"Timestamp","What gender do you identify with?","What race do you identify with?","What graduation class are you?","What is your (intended) field of study?","How responsive do you think the Brown administration is to student movements in general?","Which of the following statements best describes your experience with online and in-person classes at Brown?","When you watch a recorded lecture, what speed do you watch it on?","What aspects of online learning do you want in your own classes as we transition back to fully in-person learning?","Overall, how would you rate your mental health?","This semester, do you feel that your professors have taken your mental health into account?","What is the capital of Canada?","Have you purposely stolen from Brown dining halls/cafes?","Should Brown mandate Covid-19 booster shots for undergraduates?"
"2021/12/02 4:57:37 PM AST","Female","Asian","2023","STEM","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1.50x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours","Good","Yes","","Unsure","Yes"
"2021/12/02 4:57:42 PM AST","Male","Asian","2025","STEM","Neither responsive nor unresponsive","Online classes are much less difficult than in-person classes","1.75x","Recorded lectures;Take-home exams","Okay","Unsure","Toronto","Unsure","Yes"
"2021/12/02 4:59:27 PM AST","Male","Prefer not to answer","2023","STEM","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","2x","Recorded lectures","Good","Unsure","Ontario","Yes, a few times","Yes"
"2021/12/02 5:00:44 PM AST","Female","Asian","2024","STEM","Somewhat responsive","Online classes are somewhat more difficult than in-person classes","1.75x","Recorded lectures;Take-home exams;Online office hours;Zoom sections","Good","Yes","ottawa","Yes, once","Yes"
"2021/12/02 5:01:26 PM AST","Male","Black","2024","Social Sciences","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1.50x","Recorded lectures;Take-home exams","Good","Yes","Toronto","Yes, a few times","Yes"
"2021/12/02 5:01:34 PM AST","Female","White","2023","STEM","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.75x","Recorded lectures;Take-home exams","Okay","No","Ottowa","Yes, many times","Yes"
"2021/12/02 5:02:49 PM AST","Female","Non-white Hispanic;White","2023.5","Social Sciences","Somewhat unresponsive","Online classes are much less difficult than in-person classes","2x","Recorded lectures;Take-home exams;Online office hours","Very poor","No","idk","Yes, many times","Yes"
"2021/12/02 5:05:33 PM AST","Female","Prefer not to answer","2024","Social Sciences","Somewhat unresponsive","Online classes are about as difficult as in-person classes","1.25x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours;Zoom sections","Very poor","Unsure","your mom","Yes, a few times","Yes"
"2021/12/02 5:08:22 PM AST","Male","Asian","2025","STEM","Somewhat responsive","Online classes are somewhat more difficult than in-person classes","1.75x","Recorded lectures;Take-home exams","Okay","Yes","Ottawa","Never","Yes"
"2021/12/02 5:08:48 PM AST","Female","Black","2022","STEM","Very unresponsive","Online classes are somewhat less difficult than in-person classes","1.50x","Asynchronous classes;Recorded lectures;Take-home exams","Very poor","No","toronto","Yes, many times","Yes"
"2021/12/02 5:12:30 PM AST","Female","White","2024","Arts","Somewhat unresponsive","Online classes are much more difficult than in-person classes","1.50x","Take-home exams","Very good","No","Captial C or Quebec depending on the question ","Yes, once","Yes"
"2021/12/02 5:13:08 PM AST","Female","Asian","2025","STEM","Somewhat responsive","Unsure","1.75x","Recorded lectures;Online office hours;Zoom sections","Poor","Yes","","Yes, many times","Unsure"
"2021/12/02 5:13:54 PM AST","Male","White","2024","STEM","Very unresponsive","Online classes are somewhat less difficult than in-person classes","1.75x","Recorded lectures;Take-home exams","Okay","Yes","Montreal","Yes, once","Yes"
"2021/12/02 5:15:14 PM AST","Female","Asian","2023","STEM","Prefer not to answer","Online classes are much less difficult than in-person classes","1x","Recorded lectures;Online office hours;Zoom sections","Good","Unsure","Vancouver","Yes, a few times","Unsure"
"2021/12/02 5:17:06 PM AST","Male","Asian","2022","STEM","Unsure","Online classes are somewhat less difficult than in-person classes","1x","Recorded lectures;Take-home exams;Online office hours","Good","Yes","","Yes, a few times","Yes"
"2021/12/02 5:18:26 PM AST","Male","Asian","2022","STEM","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1.25x","Asynchronous classes;Recorded lectures;Take-home exams","Okay","Yes","Montreal","Yes, a few times","Unsure"
"2021/12/02 5:18:30 PM AST","Female","Black;White","2024","Humanities","Very unresponsive","Online classes are somewhat less difficult than in-person classes","1.25x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours","Okay","Yes","hahahah","Never","Yes"
"2021/12/03 11:05:49 AM AST","Female","White","2022.5","STEM","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.25x","Take-home exams","Very good","Yes","Ottawa","Never","Yes"
"2021/12/03 11:07:25 AM AST","Male","White","2024","Humanities","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","2x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours;Zoom sections","Okay","Yes","Quebec","Yes, many times","Yes"
"2021/12/03 11:07:47 AM AST","Male","White","2022","STEM","Somewhat responsive","Online classes are somewhat more difficult than in-person classes","1.25x","Unsure","Okay","No","Ottawa","Yes, once","Yes"
"2021/12/03 11:11:28 AM AST","Female","Black","2023.5","Social Sciences","Neither responsive nor unresponsive","Online classes are about as difficult as in-person classes","1.50x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours;Zoom sections","Okay","Unsure","","Prefer not to answer","Unsure"
"2021/12/03 11:11:54 AM AST","Male","Asian","2022","STEM","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.50x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours;Zoom sections","Good","Yes","toronto","Yes, a few times","Yes"
"2021/12/03 11:13:57 AM AST","Female","White","2022.5","STEM","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1.50x","Recorded lectures;Take-home exams;Online office hours","Good","Yes","Toronto","Yes, a few times","Yes"
"2021/12/03 11:16:19 AM AST","Female","Asian","2024","STEM","Very unresponsive","Online classes are about as difficult as in-person classes","2x","Recorded lectures;Take-home exams;Online office hours","Good","No","","Never","Yes"
"2021/12/03 11:17:32 AM AST","Female","Black","2024","Social Sciences","Somewhat responsive","Online classes are much less difficult than in-person classes","1.50x","Take-home exams","Okay","Unsure","toronto","Never","Yes"
"2021/12/03 11:19:36 AM AST","Female","White","2022","Humanities","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1.75x","Recorded lectures","Okay","Yes","Toronto","Never","Unsure"
"2021/12/03 11:22:03 AM AST","Male","Asian","2025","STEM","Unsure","Online classes are somewhat less difficult than in-person classes","1.25x","Recorded lectures","Good","Unsure","Toronto?","Never","No"
"2021/12/03 11:27:23 AM AST","Male","Asian;White","2025","Humanities","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1.50x","Recorded lectures;Take-home exams;Online office hours","Good","Unsure","Ottawa","Yes, a few times","Yes"
"2021/12/03 11:28:17 AM AST","Female","White","2025","STEM","Unsure","Unsure","1x","Recorded lectures;Online office hours","Good","Yes","","Yes, once","Yes"
"2021/12/03 11:30:20 AM AST","Male","White","2025","STEM","Neither responsive nor unresponsive","Unsure","Unsure","Recorded lectures","Very good","Unsure","Ottowa","Yes, many times","No"
"2021/12/03 11:36:09 AM AST","Male","Asian","2025","STEM","Neither responsive nor unresponsive","Online classes are somewhat less difficult than in-person classes","2x","Asynchronous classes;Recorded lectures;Take-home exams","Good","Yes","Quebec","Never","Yes"
"2021/12/03 11:37:01 AM AST","Female","White","2022","Social Sciences","Very unresponsive","Online classes are much less difficult than in-person classes","1.25x","Asynchronous classes;Recorded lectures;Take-home exams","Okay","Unsure","Montreal","Yes, once","Yes"
"2021/12/03 11:45:12 AM AST","Female","Black;White","2023","STEM","Very unresponsive","Online classes are somewhat more difficult than in-person classes","2x","Zoom sections","Poor","No","","Never","Yes"
"2021/12/03 11:47:04 AM AST","Female","White","2025","Humanities","Very unresponsive","Online classes are somewhat less difficult than in-person classes","1.50x","Recorded lectures","Very poor","No","","Unsure","Yes"
"2021/12/03 11:47:57 AM AST","Male","White","2025","Social Sciences","Somewhat unresponsive","Unsure","Unsure","Take-home exams","Good","Yes","Quebec","Yes, a few times","Yes"
"2021/12/03 11:48:31 AM AST","Male","White","2025","Prefer not to answer","Somewhat responsive","Unsure","Unsure","Take-home exams","Good","Yes","","Never","No"
"2021/12/03 11:50:26 AM AST","Female","Black","2022","Humanities","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.50x","Zoom sections","Good","No","","Yes, many times","Yes"
"2021/12/03 11:52:03 AM AST","Female","White","2023","STEM","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","2x","Recorded lectures;Take-home exams","Okay","Yes","ottawa","Yes, a few times","Yes"
"2021/12/03 11:52:12 AM AST","Male","White","2022","STEM","Very unresponsive","Online classes are somewhat less difficult than in-person classes","2x","Recorded lectures;Online office hours;Zoom sections","Okay","Unsure","Ottawa","Yes, many times","Unsure"
"2021/12/03 11:54:19 AM AST","Female","Asian","2024","Humanities","Somewhat unresponsive","Online classes are much less difficult than in-person classes","1x","Asynchronous classes;Recorded lectures;Take-home exams","Good","Yes","Ontario","Never","Unsure"
"2021/12/03 11:54:35 AM AST","Female","White","2023.5","Social Sciences","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1.50x","Recorded lectures;Take-home exams;Online office hours","Okay","No","Ottawa","Never","Yes"
"2021/12/03 11:56:19 AM AST","Male","White","2023","Humanities","Somewhat responsive","Online classes are much less difficult than in-person classes","1.25x","Unsure","Good","Yes","Toronto","Yes, many times","Yes"
"2021/12/03 11:56:49 AM AST","Male","Asian","2024","STEM","Somewhat unresponsive","Online classes are much more difficult than in-person classes","1.25x","Recorded lectures","Poor","Yes","Ottawa","Yes, a few times","Yes"
"2021/12/03 11:58:31 AM AST","Female","Native Hawaiian/Pacific Islander;White","2022","Social Sciences","Neither responsive nor unresponsive","Online classes are somewhat less difficult than in-person classes","1.25x","Asynchronous classes;Recorded lectures;Take-home exams","Good","Yes","","Yes, a few times","Yes"
"2021/12/03 11:58:32 AM AST","Male","White","2025","STEM","Neither responsive nor unresponsive","Online classes are somewhat more difficult than in-person classes","1.50x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours","Good","Unsure","","Never","Yes"
"2021/12/03 12:01:15 PM AST","Female","Asian","2022","STEM","Somewhat responsive","Online classes are somewhat more difficult than in-person classes","1x","Recorded lectures;Take-home exams;Online office hours","Good","Yes","Quebec","Yes, a few times","Yes"
"2021/12/03 12:01:21 PM AST","Male","White","2025","Social Sciences","Somewhat unresponsive","Unsure","1.50x","Recorded lectures;Take-home exams;Online office hours","Okay","Yes","Ontario","Never","Yes"
"2021/12/03 12:02:33 PM AST","Male","Asian;White","2022","Social Sciences","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1.50x","Recorded lectures;Take-home exams;Zoom sections","Good","Yes","Ottawa","Yes, many times","No"
"2021/12/03 12:02:47 PM AST","Female","White","2022","Social Sciences","Somewhat unresponsive","Online classes are somewhat more difficult than in-person classes","1.25x","Recorded lectures;Online office hours","Poor","No","Toronto","Never","Yes"
"2021/12/03 12:04:29 PM AST","Female","White","2025","STEM","Somewhat responsive","Online classes are somewhat more difficult than in-person classes","1.50x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours;Zoom sections","Very poor","No","","Never","No"
"2021/12/03 12:05:05 PM AST","Female","White","2023","Social Sciences","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.25x","Recorded lectures;Take-home exams;Online office hours","Okay","Unsure","i dont know","Yes, a few times","Yes"
"2021/12/03 12:05:41 PM AST","Female","Non-white Hispanic","2025","Social Sciences","Somewhat unresponsive","Online classes are much more difficult than in-person classes","1.75x","Prefer not to answer","Prefer not to answer","Unsure","","Prefer not to answer","Yes"
"2021/12/03 12:07:52 PM AST","Male","White","2023","Social Sciences","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.25x","Recorded lectures;Take-home exams","Poor","Yes","Ottowa","Yes, many times","Yes"
"2021/12/03 12:08:19 PM AST","Male","White","2022","STEM","Neither responsive nor unresponsive","Online classes are about as difficult as in-person classes","1.25x","Recorded lectures;Take-home exams","Good","Unsure","Ontario?","Unsure","Yes"
"2021/12/03 12:10:39 PM AST","Prefer not to answer","White","2025","Social Sciences","Unsure","Prefer not to answer","Prefer not to answer","Prefer not to answer","Okay","Unsure","Ottowa","Never","Yes"
"2021/12/03 12:10:55 PM AST","Male","White","2023","STEM","Neither responsive nor unresponsive","Online classes are somewhat more difficult than in-person classes","1.25x","Recorded lectures","Good","Unsure","Ottawa","Never","Yes"
"2021/12/03 12:11:11 PM AST","Male","White","2025","STEM","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","2x","Recorded lectures;Take-home exams","Good","Yes","Ottowa","Yes, a few times","Yes"
"2021/12/03 12:12:10 PM AST","Female","Asian","2024","STEM","Very responsive","Online classes are somewhat less difficult than in-person classes","1.25x","Recorded lectures;Take-home exams;Online office hours","Good","Yes","","Yes, many times","Unsure"
"2021/12/03 12:14:41 PM AST","Male","Black","2022","Humanities","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.25x","Take-home exams;Zoom sections","Good","No","Ottawa","Unsure","Yes"
"2021/12/03 12:15:06 PM AST","Male","White","2023.5","Humanities","Somewhat responsive","Unsure","1x","Recorded lectures","Okay","Unsure","Quebec","Never","No"
"2021/12/03 12:15:20 PM AST","Female","White","2025","STEM","Somewhat responsive","Online classes are about as difficult as in-person classes","2x","Recorded lectures;Take-home exams","Okay","No","montreal?? idk","Never","Yes"
"2021/12/03 12:16:37 PM AST","Female","Black","2025","STEM","Unsure","Online classes are somewhat more difficult than in-person classes","1.50x","Recorded lectures","Okay","Yes","No idea","Never","Yes"
"2021/12/03 12:16:50 PM AST","Female","Asian","2024","STEM","Somewhat responsive","Online classes are somewhat more difficult than in-person classes","2x","Recorded lectures;Take-home exams","Poor","Unsure","Ontario Toronto Montreal?","Never","Yes"
"2021/12/03 12:20:01 PM AST","Female","White","2023","Humanities","Somewhat responsive","Online classes are somewhat more difficult than in-person classes","1.50x","Recorded lectures;Take-home exams;Online office hours;Zoom sections","Very good","Yes","Toronto","Yes, many times","No"
"2021/12/03 12:20:31 PM AST","Male","Prefer not to answer","2024","STEM","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1.50x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours;Zoom sections","Good","No","Vancouver","Never","Unsure"
"2021/12/03 12:21:16 PM AST","Male","White","2025","STEM","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1x","Recorded lectures;Take-home exams;Zoom sections","Okay","Yes","ottowa","Never","Yes"
"2021/12/03 12:22:57 PM AST","Male","White","2022","STEM","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.25x","Recorded lectures;Take-home exams;Online office hours","Good","Yes","Ontario","Yes, many times","Yes"
"2021/12/03 12:23:14 PM AST","Female","Asian","2024","STEM","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.75x","Recorded lectures;Take-home exams;Online office hours","Poor","Yes","toranto?","Yes, many times","Yes"
"2021/12/03 12:25:20 PM AST","Female","White","2023.5","Humanities","Somewhat unresponsive","Online classes are somewhat more difficult than in-person classes","1x","Recorded lectures","Okay","No","Montreal?","Yes, once","Yes"
"2021/12/03 12:26:59 PM AST","Female","White;Prefer not to answer","2024","Humanities","Somewhat unresponsive","Online classes are much less difficult than in-person classes","1.50x","Take-home exams;Online office hours;Zoom sections","Good","Yes","Vancouver?","Yes, many times","Yes"
"2021/12/03 12:27:43 PM AST","Female","Non-white Hispanic","2023","STEM","Somewhat unresponsive","Online classes are much more difficult than in-person classes","2x","Recorded lectures;Take-home exams;Zoom sections","Good","Yes","victoria","Yes, a few times","Yes"
"2021/12/03 12:28:05 PM AST","Male","Black","2025","Arts","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1.25x","Take-home exams;Zoom sections","Poor","Yes","next question lol","Never","Yes"
"2021/12/03 12:28:41 PM AST","Female","Non-white Hispanic","2023.5","Social Sciences","Somewhat responsive","Online classes are about as difficult as in-person classes","2x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours;Zoom sections","Okay","Yes","sounds like a white centered iq question to me","Never","Yes"
"2021/12/03 12:29:13 PM AST","Female","Asian;American Indian/Alaska Native;White","2025","STEM","Unsure","Online classes are somewhat more difficult than in-person classes","1.25x","Recorded lectures;Online office hours","Prefer not to answer","Unsure","","Never","Yes"
"2021/12/03 12:29:20 PM AST","Male","Asian","2022","Humanities","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.50x","Recorded lectures","Good","Yes","toronto ","Yes, once","Unsure"
"2021/12/03 12:29:54 PM AST","Male","White","2023","STEM","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.75x","Recorded lectures;Take-home exams;Online office hours","Good","Yes","Ottawa","Yes, once","Yes"
"2021/12/03 12:32:02 PM AST","Male","White","2022","Social Sciences","Very responsive","Online classes are much less difficult than in-person classes","1.25x","Recorded lectures;Take-home exams","Very good","Yes","","Never","Yes"
"2021/12/03 12:32:19 PM AST","Male","White","2025","STEM","Somewhat responsive","Unsure","1x","Recorded lectures;Take-home exams","Very good","Yes","","Yes, once","Yes"
"2021/12/03 12:32:26 PM AST","Male","Asian","2023","STEM","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1.75x","Asynchronous classes;Recorded lectures;Take-home exams","Good","Yes","not toronto","Never","Yes"
"2021/12/03 12:34:48 PM AST","Male","White","2024","STEM","Somewhat unresponsive","Unsure","2x","Online office hours","Very good","Yes","","Yes, a few times","No"
"2021/12/03 12:37:34 PM AST","Male","Black","2023","Humanities","Very unresponsive","Online classes are about as difficult as in-person classes","1.50x","Take-home exams","Good","No","Toronto","Never","No"
"2021/12/03 12:37:54 PM AST","Male","Black","2023","Humanities","Somewhat unresponsive","Online classes are much less difficult than in-person classes","1.25x","Recorded lectures;Take-home exams","Very good","No","","Never","No"
"2021/12/03 12:38:08 PM AST","Female","White","2024","STEM","Somewhat unresponsive","Online classes are much less difficult than in-person classes","1.50x","Recorded lectures","Good","Yes","","Yes, a few times","Yes"
"2021/12/03 12:38:22 PM AST","Male","White","2024","STEM","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.50x","Recorded lectures;Take-home exams","Good","Unsure","Ottawa???","Yes, a few times","Yes"
"2021/12/03 12:39:47 PM AST","Female","White","2022","Social Sciences","Neither responsive nor unresponsive","Online classes are somewhat less difficult than in-person classes","1.25x","Take-home exams","Okay","Yes","Ontario","Never","Yes"
"2021/12/03 12:39:48 PM AST","Female","White","2023","Social Sciences","Very unresponsive","Online classes are somewhat less difficult than in-person classes","2x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours","Okay","Unsure","Ottawa","Yes, a few times","Yes"
"2021/12/03 12:41:10 PM AST","Female","White","2022","STEM","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","2x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours;Zoom sections","Very good","Yes","Montreal","Yes, many times","Yes"
"2021/12/03 12:41:35 PM AST","Female","Asian","2022","Social Sciences","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.25x","Recorded lectures;Take-home exams","Very good","No","Ottawa ","Yes, a few times","Yes"
"2021/12/03 12:42:44 PM AST","Female","White","2022","Humanities","Somewhat unresponsive","Online classes are somewhat more difficult than in-person classes","1.50x","Recorded lectures;Take-home exams","Poor","Yes","Ottowa","Yes, many times","Yes"
"2021/12/03 12:43:00 PM AST","Female","Black;White","2024","STEM","Somewhat unresponsive","Online classes are much more difficult than in-person classes","1.25x","Recorded lectures;Take-home exams","Good","Yes","No clue","Yes, a few times","Unsure"
"2021/12/03 12:44:11 PM AST","Female","White","2025","STEM","Somewhat responsive","Online classes are much more difficult than in-person classes","2x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours;Zoom sections","Okay","Unsure","toronto","Never","Yes"
"2021/12/03 12:44:55 PM AST","Male","Black","2024","STEM","Somewhat unresponsive","Online classes are somewhat more difficult than in-person classes","1.50x","Recorded lectures;Take-home exams;Zoom sections","Good","Unsure","Ottawa","Never","Yes"
"2021/12/03 12:45:13 PM AST","Female","White","2022","STEM","Somewhat responsive","Online classes are much less difficult than in-person classes","2x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours;Zoom sections","Good","Yes","","Yes, many times","Yes"
"2021/12/03 12:45:30 PM AST","Male","White","2025","Humanities","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1x","Recorded lectures","Very good","Yes","I embarrassingly have no idea","Never","Yes"
"2021/12/03 12:47:12 PM AST","Male","White","2024","Humanities","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.25x","Recorded lectures;Take-home exams","Good","Yes","Ottawa","Never","Yes"
"2021/12/03 12:48:26 PM AST","Female","American Indian/Alaska Native;White","2022","Social Sciences","Somewhat unresponsive","Online classes are about as difficult as in-person classes","1.25x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours;Zoom sections","Poor","No","","Never","Yes"
"2021/12/03 12:49:43 PM AST","Female","White","2025","Humanities","Neither responsive nor unresponsive","Online classes are much less difficult than in-person classes","2x","Take-home exams","Poor","No","","Never","Yes"
"2021/12/03 12:49:54 PM AST","Female","White","2021.5","STEM","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1.25x","Recorded lectures;Online office hours","Good","Yes","?","Yes, many times","Yes"
"2021/12/03 12:49:56 PM AST","Female","White","2022.5","Social Sciences","Somewhat unresponsive","Online classes are about as difficult as in-person classes","1.75x","Recorded lectures;Online office hours","Good","Yes","","Yes, a few times","Yes"
"2021/12/03 12:51:15 PM AST","Female","White","2025","Humanities","Unsure","Online classes are somewhat less difficult than in-person classes","1.50x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours;Zoom sections","Poor","Unsure","ur mom","Yes, a few times","Yes"
"2021/12/03 12:51:45 PM AST","Male","White","2023","STEM","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1.50x","Recorded lectures;Take-home exams","Good","Yes","","Yes, a few times","Yes"
"2021/12/03 12:52:54 PM AST","Male","White","2023","STEM","Somewhat responsive","Online classes are about as difficult as in-person classes","1.25x","Recorded lectures;Online office hours","Very good","Yes","Ottawa","Yes, once","Yes"
"2021/12/03 12:53:04 PM AST","Female","White","2024","Humanities","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.25x","Recorded lectures;Take-home exams;Online office hours","Good","Yes","Ottawa","Yes, a few times","Yes"
"2021/12/03 12:53:14 PM AST","Female","Non-white Hispanic","2023","STEM","Somewhat responsive","Prefer not to answer","2x","Recorded lectures","Poor","Unsure","montreal?","Never","No"
"2021/12/03 12:53:20 PM AST","Female","White","2022","STEM","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.50x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours","Okay","Unsure","Toronto ","Yes, many times","Yes"
"2021/12/03 12:54:22 PM AST","Female","Prefer not to answer","2023","STEM","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours","Good","Yes","Ottawa","Never","Yes"
"2021/12/03 12:54:46 PM AST","Female","White","2025","Social Sciences","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1x","Recorded lectures;Take-home exams","Good","Unsure","","Never","Yes"
"2021/12/03 12:54:49 PM AST","Female","White","2022","STEM","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.50x","Recorded lectures","Okay","No","","Never","Yes"
"2021/12/03 12:54:59 PM AST","Female","Black","2025","STEM","Neither responsive nor unresponsive","Online classes are somewhat less difficult than in-person classes","1.25x","Recorded lectures;Take-home exams;Online office hours;Zoom sections","Good","Yes","","Yes, a few times","Yes"
"2021/12/03 12:55:51 PM AST","Female","Non-white Hispanic","2022","Arts","Very unresponsive","Online classes are much more difficult than in-person classes","1x","Recorded lectures;Take-home exams;Online office hours;Zoom sections","Okay","Yes","","Yes, many times","Yes"
"2021/12/03 12:56:56 PM AST","Male","White","2023","STEM","Somewhat responsive","Online classes are about as difficult as in-person classes","1x","Recorded lectures;Take-home exams","Okay","Unsure","Toronto","Never","Yes"
"2021/12/03 12:57:05 PM AST","Female","Non-white Hispanic","2025","Humanities","Neither responsive nor unresponsive","Unsure","1.50x","Recorded lectures","Okay","Yes","","Never","Yes"
"2021/12/03 12:57:23 PM AST","Male","Non-white Hispanic;White","2025","Social Sciences","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.50x","Recorded lectures;Take-home exams;Online office hours","Poor","Yes","Montreal","Yes, a few times","Yes"
"2021/12/03 12:57:25 PM AST","Female","Black","2023","Social Sciences","Somewhat responsive","Online classes are about as difficult as in-person classes","1x","Asynchronous classes;Recorded lectures;Take-home exams","Poor","No","","Prefer not to answer","Yes"
"2021/12/03 12:58:01 PM AST","Male","White","2023","Social Sciences","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.25x","Recorded lectures;Take-home exams;Online office hours","Good","Yes","Ottawa","Yes, a few times","Yes"
"2021/12/03 12:58:31 PM AST","Female","Asian;Black;White","2025","Humanities","Somewhat responsive","Unsure","1.25x","Recorded lectures;Online office hours","Good","Yes","Ontario","Yes, many times","Unsure"
"2021/12/03 12:59:16 PM AST","Female","White","2024","Humanities","Unsure","Online classes are somewhat less difficult than in-person classes","1x","Take-home exams","Okay","No","","Never","Yes"
"2021/12/03 12:59:18 PM AST","Female","Asian","2022","STEM","Very unresponsive","Online classes are much less difficult than in-person classes","1.75x","Recorded lectures;Take-home exams;Online office hours;Zoom sections","Good","Yes","","Yes, a few times","Yes"
"2021/12/03 1:00:29 PM AST","Female","White","2025","Humanities","Somewhat responsive","Online classes are somewhat more difficult than in-person classes","1.50x","Recorded lectures;Take-home exams;Online office hours","Okay","Yes","Ottowa","Never","No"
"2021/12/03 1:01:05 PM AST","Female","American Indian/Alaska Native","2022","Humanities","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1.75x","Online office hours;Zoom sections","Poor","No","Toronto?","Never","Yes"
"2021/12/03 1:01:12 PM AST","Male","Black","2021.5","Prefer not to answer","Somewhat unresponsive","Online classes are much less difficult than in-person classes","1.25x","Asynchronous classes;Recorded lectures;Take-home exams;Zoom sections","Good","No","","Yes, a few times","Unsure"
"2021/12/03 1:01:32 PM AST","Female","White","2022","Social Sciences","Somewhat responsive","Online classes are somewhat less difficult than in-person classes","1.25x","Recorded lectures","Okay","Yes","Toronto","Yes, a few times","Yes"
"2021/12/03 1:02:19 PM AST","Female","Asian","2022","STEM","Somewhat unresponsive","Online classes are somewhat less difficult than in-person classes","1.25x","Recorded lectures;Take-home exams;Online office hours;Zoom sections","Good","Yes","no idea","Yes, a few times","Yes"
"2021/12/03 1:02:43 PM AST","Female","White","2023","STEM","Very unresponsive","Online classes are somewhat less difficult than in-person classes","1.50x","Recorded lectures;Take-home exams","Good","Yes","toronto","Yes, many times","Yes"
"2021/12/03 1:03:26 PM AST","Male","Asian","2022","Humanities","Neither responsive nor unresponsive","Online classes are somewhat less difficult than in-person classes","1.25x","Asynchronous classes;Recorded lectures;Take-home exams;Online office hours;Zoom sections","Good","Yes","ottawa","Yes, a few times","Yes"
"2021/12/03 1:03:47 PM AST","Female","Asian;White","2024.5","Social Sciences","Neither responsive nor unresponsive","Online classes are somewhat more difficult than in-person classes","1x","Recorded lectures;Online office hours","Okay","Unsure","toronto","Yes, once","Yes"
"2021/12/03 1:05:14 PM AST","Male","White","2023","Arts","Neither responsive nor unresponsive","Online classes are somewhat more difficult than in-person classes","1.50x","Recorded lectures;Take-home exams","Good","No","","Never","Yes"
"2021/12/03 1:06:10 PM AST","Male","White","2022","Social Sciences","Somewhat unresponsive","Online classes are much less difficult than in-person classes","Prefer not to answer","Asynchronous classes","Good","Yes","","Never","No"
