"Timestamp","What is your current graduation year?","What is your gender identity?","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area? Check all that apply.","How would you describe your family’s socioeconomic status?","Would you support or oppose the U.S. government banning TikTok?","When was the last time you cried?","Do you regret choosing to take a class S/NC rather than for a letter grade?","If you had to choose, would you rather raise a child starting now or never have the opportunity? (Baby now or never)","Which of the following statements applies to you? Check all that apply.","Who is the current Chief Justice of the United States Supreme Court?","Do you approve or disapprove of Brown Concert Agency’s artist selections for Spring Weekend?","On average, how many alcoholic beverages do you consume each week at Brown?"
"2023/04/11 2:18:14 PM AST","2024","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Upper-middle class","Support","In the past 6 months","No, I do not regret taking any classes S/NC","Unsure","None of these statements applies to me","John Roberts","Strongly approve","15-20 drinks"
"2023/04/11 2:18:25 PM AST","2025","Man","White","Life Sciences","Middle class","Oppose","In the past month","I have never chosen to take a class S/NC","I would rather never have the opportunity","None of these statements applies to me","Roberts","Somewhat disapprove","15-20 drinks"
"2023/04/11 2:18:25 PM AST","2025","Man","Black","Humanities/Arts","Upper-middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me","no clue","Unsure","0-5 drinks"
"2023/04/11 2:19:55 PM AST","2025","Woman","Black","Social Sciences (including economics, CLPS)","Middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","no idea","Somewhat approve","0-5 drinks"
"2023/04/11 2:19:58 PM AST","2025","Man","White","Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","","Strongly approve","10-15 drinks"
"2023/04/11 2:20:14 PM AST","2024","Man","Asian","Physical Sciences (including math, computer science)","Upper-middle class","Support","In the past month","Unsure","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","Roberts","Somewhat disapprove","0-5 drinks"
"2023/04/11 2:20:31 PM AST","2026","Woman","Asian","Physical Sciences (including math, computer science)","Upper class","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Somewhat disapprove","0-5 drinks"
"2023/04/11 2:21:27 PM AST","2024","Woman","Hispanic;Middle Eastern or North African","Life Sciences;Social Sciences (including economics, CLPS)","Lower class","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends have the same socioeconomic status as me","clarence tomas???","Somewhat approve","0-5 drinks"
"2023/04/11 2:21:46 PM AST","2026","Man","Asian;White","Social Sciences (including economics, CLPS)","Upper-middle class","Support","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","John Roberts","Strongly approve","5-10 drinks"
"2023/04/11 2:23:12 PM AST","2026","Man","Black","Social Sciences (including economics, CLPS)","Upper-middle class","Unsure","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","old white dude","Strongly approve","5-10 drinks"
"2023/04/11 2:23:32 PM AST","2023","Man","Black","Humanities/Arts;Physical Sciences (including math, computer science)","Upper class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","None of these statements applies to me","idk","Strongly approve","0-5 drinks"
"2023/04/11 2:23:35 PM AST","2024","Man","White","Physical Sciences (including math, computer science)","Upper-middle class","Support","In the past month","I have never chosen to take a class S/NC","I would rather raise a child starting now","None of these statements applies to me","John Roberts","Unsure","0-5 drinks"
"2023/04/11 2:23:52 PM AST","2024","Woman","Black","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past month","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","","Somewhat disapprove","0-5 drinks"
"2023/04/11 2:24:37 PM AST","2026","Man","White","Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past 6 months","I have never chosen to take a class S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me","John Roberts","Somewhat disapprove","5-10 drinks"
"2023/04/11 2:25:28 PM AST","2026","Woman","Black","Humanities/Arts;Social Sciences (including economics, CLPS)","Middle class","Unsure","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me","","Somewhat approve","Zero – I don’t drink"
"2023/04/11 2:26:15 PM AST","2025","Woman","Asian","Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past month","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","Roberts","Strongly approve","0-5 drinks"
"2023/04/11 2:26:33 PM AST","2026","Man","White","Physical Sciences (including math, computer science)","Upper class","Support","In the past month","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","Roberts?","Somewhat disapprove","5-10 drinks"
"2023/04/11 2:26:44 PM AST","2023","Woman","Asian","Physical Sciences (including math, computer science)","Lower-middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","","Strongly approve","5-10 drinks"
"2023/04/11 2:29:07 PM AST","2026","Man","White","Physical Sciences (including math, computer science)","Upper class","Oppose","In the past 6 months","I have never chosen to take a class S/NC","I would rather raise a child starting now","Prefer not to answer","Some republican man","Somewhat approve","0-5 drinks"
"2023/04/11 2:31:09 PM AST","2024","Woman","White","Social Sciences (including economics, CLPS)","Lower-middle class","Support","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","None of these statements applies to me","John Roberts","Somewhat disapprove","5-10 drinks"
"2023/04/11 2:31:11 PM AST","2024","Non-binary","White","Physical Sciences (including math, computer science)","Upper class","Oppose","In the past year","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","None of these statements applies to me","","Somewhat approve","Zero – I don’t drink"
"2023/04/11 2:31:49 PM AST","2024","Woman","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Middle class","Unsure","In the past week","Yes, I regret choosing to take multiple classes S/NC","I would rather never have the opportunity","None of these statements applies to me","Roberts ","Unsure","Zero – I don’t drink"
"2023/04/11 2:33:17 PM AST","2025","Man","White","Physical Sciences (including math, computer science)","Upper-middle class","Support","More than 3 years ago","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","John roberts","Strongly disapprove","0-5 drinks"
"2023/04/11 2:34:04 PM AST","2024","Woman","Hispanic;White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Upper-middle class","Unsure","In the past week","I have never chosen to take a class S/NC","Unsure","Most of my close friends have the same socioeconomic status as me;None of these statements applies to me","I am not american","Somewhat disapprove","0-5 drinks"
"2023/04/11 2:34:56 PM AST","2023","Man","White","Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me","john roberts","Somewhat approve","0-5 drinks"
"2023/04/11 2:35:08 PM AST","2025.5","Woman","Middle Eastern or North African;White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Middle class","Oppose","In the past week","I have never chosen to take a class S/NC","I would rather never have the opportunity","None of these statements applies to me","Sonia Sotomayor ?","Somewhat approve","Zero – I don’t drink"
"2023/04/11 2:38:04 PM AST","2025","Woman","Asian","Humanities/Arts","Upper class","Unsure","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","","Somewhat disapprove","Zero – I don’t drink"
"2023/04/11 2:38:25 PM AST","2023","Man","White","Life Sciences","Lower-middle class","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","None of these statements applies to me","Roberts","Unsure","0-5 drinks"
"2023/04/11 2:38:36 PM AST","2023","Man","White","Social Sciences (including economics, CLPS)","Middle class","Support","In the past 6 months","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","Roberts","Somewhat disapprove","0-5 drinks"
"2023/04/11 2:39:37 PM AST","2023","Woman","White","Social Sciences (including economics, CLPS)","Upper-middle class","Unsure","In the past month","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","Roberts","Somewhat approve","5-10 drinks"
"2023/04/11 2:40:03 PM AST","2024","Woman","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me","","Somewhat approve","5-10 drinks"
"2023/04/11 2:40:26 PM AST","2023","Woman","White","Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","Gorsich","Somewhat approve","5-10 drinks"
"2023/04/11 2:42:10 PM AST","2026","Woman","White","Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","None of these statements applies to me","Your Mom","Unsure","Zero – I don’t drink"
"2023/04/11 2:44:42 PM AST","2025","Woman","Asian","Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends have the same socioeconomic status as me","Nancy Pelosi ?","Strongly approve","0-5 drinks"
"2023/04/11 2:46:35 PM AST","2025","Woman","Asian","Physical Sciences (including math, computer science)","Middle class","Oppose","In the past 6 months","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","","Somewhat disapprove","0-5 drinks"
"2023/04/11 2:47:23 PM AST","2025","Man","White","Social Sciences (including economics, CLPS)","Middle class","Unsure","In the past month","No, I do not regret taking any classes S/NC","Unsure","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","warren","Somewhat approve","0-5 drinks"
"2023/04/11 2:48:02 PM AST","2024","Woman","Asian","Physical Sciences (including math, computer science)","Middle class","Unsure","In the past week","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","None of these statements applies to me","Idk","Somewhat disapprove","0-5 drinks"
"2023/04/11 2:48:03 PM AST","2024","Man","White","Humanities/Arts","Upper-middle class","Oppose","In the past 6 months","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","John Roberts","Strongly disapprove","0-5 drinks"
"2023/04/11 2:50:24 PM AST","2026","Man","White","Physical Sciences (including math, computer science)","Upper class","Unsure","In the past month","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","None of these statements applies to me","","Unsure","0-5 drinks"
"2023/04/11 2:51:35 PM AST","2024","Man","Black","Humanities/Arts","Upper-middle class","Oppose","More than a year ago","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","","Strongly disapprove","0-5 drinks"
"2023/04/11 2:51:46 PM AST","2023","Man","Black","Humanities/Arts;Physical Sciences (including math, computer science)","Upper-middle class","Support","In the past month","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Somewhat approve","Zero – I don’t drink"
"2023/04/11 2:52:29 PM AST","2025","Man","Asian","Physical Sciences (including math, computer science)","Upper-middle class","Unsure","In the past week","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","Idk","Somewhat disapprove","0-5 drinks"
"2023/04/11 2:54:59 PM AST","2026","Woman","Black;Hispanic;White","Humanities/Arts;Physical Sciences (including math, computer science)","Middle class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","None of these statements applies to me","John Roberts ","Unsure","0-5 drinks"
"2023/04/11 2:55:21 PM AST","2024","Man","Hispanic","Physical Sciences (including math, computer science)","Lower-middle class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me","Barack OBAMA ","Somewhat approve","0-5 drinks"
"2023/04/11 2:55:39 PM AST","2024","Woman","Hispanic","Life Sciences","Lower-middle class","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","None of these statements applies to me","","Somewhat disapprove","0-5 drinks"
"2023/04/11 2:56:58 PM AST","2026","Woman","Asian","Physical Sciences (including math, computer science)","Lower-middle class","Unsure","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","i dont know llmaoaoaoaoaoaoao deez nutz","Somewhat approve","Zero – I don’t drink"
"2023/04/11 3:01:23 PM AST","2023","Man","White","Life Sciences","Upper class","Unsure","In the past month","Yes, I regret choosing to take one class S/NC","Unsure","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","John Roberts","Strongly approve","10-15 drinks"
"2023/04/11 3:10:45 PM AST","2024","Woman","Hispanic;White","Humanities/Arts;Physical Sciences (including math, computer science)","Middle class","Support","In the past week","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends have the same socioeconomic status as me","idk","Strongly approve","0-5 drinks"
"2023/04/11 3:54:56 PM AST","2023","Woman","Hispanic","Social Sciences (including economics, CLPS)","Lower class","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","","Unsure","0-5 drinks"
"2023/04/11 3:56:06 PM AST","2023","Woman","White","Social Sciences (including economics, CLPS)","Lower-middle class","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","Roberts ?","Somewhat disapprove","0-5 drinks"
"2023/04/11 3:57:51 PM AST","2023.5","Prefer not to Answer","Hispanic","Humanities/Arts;Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past 6 months","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","None of these statements applies to me","","Somewhat disapprove","0-5 drinks"
"2023/04/11 3:58:23 PM AST","2025","Woman","White","Life Sciences;Social Sciences (including economics, CLPS)","Middle class","Support","In the past year","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me","Roberts","Strongly disapprove","Zero – I don’t drink"
"2023/04/11 3:59:00 PM AST","2025","Woman","Black;White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Prefer not to answer","Unsure","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","Roberts (Dont know his first name)","Strongly approve","5-10 drinks"
"2023/04/11 3:59:30 PM AST","2025","Man","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Lower-middle class","Oppose","In the past week","Unsure","Unsure","None of these statements applies to me","","Somewhat approve","0-5 drinks"
"2023/04/11 4:01:19 PM AST","2026","Woman","Middle Eastern or North African","Physical Sciences (including math, computer science)","Upper class","Support","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","na????","Strongly approve","0-5 drinks"
"2023/04/11 4:03:11 PM AST","2023.5","Man","White","Social Sciences (including economics, CLPS)","Upper class","Unsure","In the past 6 months","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","Justice Roberts","Strongly approve","0-5 drinks"
"2023/04/11 4:04:14 PM AST","2024","Woman","Asian","Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Somewhat approve","0-5 drinks"
"2023/04/11 4:04:28 PM AST","2024","Non-binary","White","Social Sciences (including economics, CLPS)","Upper-middle class","Unsure","In the past week","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","None of these statements applies to me","","Strongly approve","0-5 drinks"
"2023/04/11 4:05:29 PM AST","2025","Woman","White","Social Sciences (including economics, CLPS)","Upper class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","roberts","Somewhat approve","0-5 drinks"
"2023/04/11 4:08:48 PM AST","2023","Woman","White","Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past week","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","Justice Roberts","Somewhat approve","0-5 drinks"
"2023/04/11 4:09:13 PM AST","2024","Woman","Black","Life Sciences","Lower-middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","Unsure","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","","Strongly disapprove","0-5 drinks"
"2023/04/11 4:09:21 PM AST","2025","Man","Asian","Humanities/Arts;Life Sciences","Upper-middle class","Unsure","In the past 6 months","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","None of these statements applies to me","who cares","Somewhat approve","0-5 drinks"
"2023/04/11 4:11:32 PM AST","2025","Man","White","Humanities/Arts","Upper-middle class","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me","Roberts","Somewhat approve","0-5 drinks"
"2023/04/11 4:11:44 PM AST","2024","Man","Asian","Physical Sciences (including math, computer science)","Upper-middle class","Oppose","More than a year ago","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Somewhat approve","0-5 drinks"
"2023/04/11 4:13:02 PM AST","2023","Man","White","Humanities/Arts","Upper-middle class","Support","In the past month","I have never chosen to take a class S/NC","I would rather raise a child starting now","None of these statements applies to me","John Roberts","Unsure","0-5 drinks"
"2023/04/11 4:14:36 PM AST","2025","Woman","Hispanic;White","Humanities/Arts;Social Sciences (including economics, CLPS)","Middle class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","obama","Somewhat approve","0-5 drinks"
"2023/04/11 4:16:04 PM AST","2024","Woman","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Upper-middle class","Unsure","In the past week","Yes, I regret choosing to take one class S/NC","Unsure","Most of my close friends are the same race as me","","Strongly disapprove","0-5 drinks"
"2023/04/11 4:18:54 PM AST","2024","Woman","Black","Humanities/Arts","Middle class","Unsure","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Somewhat approve","0-5 drinks"
"2023/04/11 4:19:51 PM AST","2026","Woman","Asian","Humanities/Arts","Lower-middle class","Oppose","In the past year","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Somewhat approve","0-5 drinks"
"2023/04/11 4:20:04 PM AST","2026","Woman","Asian;Black","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Strongly disapprove","0-5 drinks"
"2023/04/11 4:21:20 PM AST","2023","Man","White","Physical Sciences (including math, computer science)","Upper-middle class","Unsure","In the past month","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends have the same socioeconomic status as me","","Strongly approve","0-5 drinks"
"2023/04/11 4:21:34 PM AST","2023","Man","White","Life Sciences","Upper-middle class","Unsure","In the past 6 months","I have never chosen to take a class S/NC","I would rather never have the opportunity","None of these statements applies to me","Roberts","Somewhat approve","0-5 drinks"
"2023/04/11 4:22:01 PM AST","2023","Woman","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Lower-middle class","Oppose","In the past month","Yes, I regret choosing to take multiple classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","","Strongly disapprove","0-5 drinks"
"2023/04/11 4:22:23 PM AST","2023","Woman","Asian","Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me","idk","Unsure","0-5 drinks"
"2023/04/11 4:23:19 PM AST","2024.5","Non-binary","Middle Eastern or North African","Humanities/Arts","Upper-middle class","Oppose","In the past week","Yes, I regret choosing to take multiple classes S/NC","I would rather never have the opportunity","None of these statements applies to me","John Roberts ","Unsure","Zero – I don’t drink"
"2023/04/11 4:23:56 PM AST","2023","Man","White","Physical Sciences (including math, computer science)","Middle class","Unsure","In the past month","Yes, I regret choosing to take multiple classes S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","","Somewhat approve","10-15 drinks"
"2023/04/11 4:25:31 PM AST","2023","Man","White","Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me","roberts","Strongly disapprove","5-10 drinks"
"2023/04/11 4:26:37 PM AST","2023","Man","Hispanic","Social Sciences (including economics, CLPS)","Middle class","Unsure","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","None of these statements applies to me","N/A","Somewhat disapprove","10-15 drinks"
"2023/04/11 4:26:42 PM AST","2023","Man","Asian","Life Sciences;Social Sciences (including economics, CLPS)","Upper-middle class","Support","In the past month","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Somewhat approve","5-10 drinks"
"2023/04/11 4:27:34 PM AST","2024","Woman","Asian","Humanities/Arts;Social Sciences (including economics, CLPS)","Middle class","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Somewhat approve","0-5 drinks"
"2023/04/11 4:28:13 PM AST","2025","Woman","Hispanic","Humanities/Arts;Social Sciences (including economics, CLPS)","Lower-middle class","Support","In the past week","Yes, I regret choosing to take one class S/NC","Unsure","None of these statements applies to me","Justice Roberts","Strongly approve","0-5 drinks"
"2023/04/11 4:28:25 PM AST","2023","Woman","White","Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","Unsure","Somewhat approve","5-10 drinks"
"2023/04/11 4:29:49 PM AST","2024","Man","White","Physical Sciences (including math, computer science)","Upper class","Unsure","More than a year ago","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","roberts","Somewhat disapprove","0-5 drinks"
"2023/04/11 4:30:35 PM AST","2023","Woman","White","Life Sciences","Upper class","Unsure","In the past week","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me","john roberts","Somewhat approve","5-10 drinks"
"2023/04/11 4:30:50 PM AST","2024","Woman","Hispanic","Life Sciences","Lower-middle class","Oppose","In the past week","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me","lol no clue ","Somewhat disapprove","5-10 drinks"
"2023/04/11 4:32:37 PM AST","2023","Woman","Asian","Physical Sciences (including math, computer science)","Lower-middle class","Oppose","In the past week","I have never chosen to take a class S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","i have no idea","Somewhat disapprove","5-10 drinks"
"2023/04/11 4:33:48 PM AST","2023","Woman","White","Humanities/Arts","Middle class","Support","In the past week","Unsure","I would rather raise a child starting now","Most of my close friends have the same socioeconomic status as me","idk","Unsure","0-5 drinks"
"2023/04/11 4:34:12 PM AST","2026","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Middle class","Oppose","In the past 6 months","No, I do not regret taking any classes S/NC","Unsure","None of these statements applies to me","no idea","Strongly disapprove","15-20 drinks"
"2023/04/11 4:35:00 PM AST","2025","Woman","White","Humanities/Arts","Middle class","Unsure","In the past year","No, I do not regret taking any classes S/NC","Unsure","None of these statements applies to me","","Strongly disapprove","Zero – I don’t drink"
"2023/04/11 4:36:31 PM AST","2026","Woman","White","Physical Sciences (including math, computer science)","Upper-middle class","Unsure","In the past week","I have never chosen to take a class S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me","could not tell you","Somewhat disapprove","15-20 drinks"
"2023/04/11 4:37:55 PM AST","2026","Woman","Asian","Life Sciences;Physical Sciences (including math, computer science)","Prefer not to answer","Prefer not to answer","In the past week","Unsure","I would rather never have the opportunity","Most of my close friends are the same race as me","","Strongly approve","0-5 drinks"
"2023/04/11 4:38:10 PM AST","2024","Man","Asian","Humanities/Arts;Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Middle class","Oppose","In the past month","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me","John Roberts","Unsure","Zero – I don’t drink"
"2023/04/11 4:38:20 PM AST","2024","Man","Hispanic;White","Social Sciences (including economics, CLPS)","Upper class","Oppose","In the past 6 months","I have never chosen to take a class S/NC","I would rather raise a child starting now","None of these statements applies to me","John Roberts","Somewhat disapprove","15-20 drinks"
"2023/04/11 4:39:31 PM AST","2024","Man","Asian","Social Sciences (including economics, CLPS)","Upper class","Oppose","More than 3 years ago","Yes, I regret choosing to take multiple classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me","","Somewhat disapprove","10-15 drinks"
"2023/04/11 4:39:35 PM AST","2024","Woman","Asian","Life Sciences","Middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","","Somewhat disapprove","5-10 drinks"
"2023/04/11 4:40:32 PM AST","2024","Man","White","Physical Sciences (including math, computer science)","Upper class","Unsure","More than 3 years ago","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me","John Roberts","Somewhat disapprove","0-5 drinks"
"2023/04/11 4:41:39 PM AST","2026","Woman","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past week","I have never chosen to take a class S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me","John Roberts","Somewhat disapprove","0-5 drinks"
"2023/04/11 4:42:22 PM AST","2025","Woman","Asian;White","Physical Sciences (including math, computer science)","Upper class","Oppose","In the past month","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","","Somewhat approve","0-5 drinks"
"2023/04/11 4:42:53 PM AST","2024","Man","Asian","Life Sciences","Upper-middle class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","no idea","Somewhat disapprove","0-5 drinks"
"2023/04/11 4:43:46 PM AST","2026","Man","White","Humanities/Arts;Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","John Roberts","Strongly approve","0-5 drinks"
