"Timestamp","What is your current graduation year?","How would you describe your gender identity? Check all that apply.","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area(s)?","Which of the following do you consider yourself to be?","Are you currently in a relationship?","Who do you think will win the 2024 US Presidential election?","How often do you use marijuana?","Who is primarily responsible for paying your college tuition (that is not covered by financial aid)?","Have you ever used ChatGPT (or other generative AI) in violation of a course policy?","Are your parents currently married (to each other) ?","How often do you have sex?","Do you usually lock the door when you leave your dorm, suite, or house/apartment?","If you could be President of the US at some point in your life, would you want the job?","Do you think you have more sex than the average Brown student?"
"2024/10/08 2:07:41 PM AST","2028","Woman","White","Humanities/Arts","Straight","Unsure","Kamala Harris","Once a month","I pay part of my tuition and my parents or guardians pay part of my tuition","No","Yes","2-3 times per month","Yes","No","No, somewhat less"
"2024/10/08 2:07:57 PM AST","2028","Woman","Asian","Social Sciences (including economics, CLPS)","Bisexual","No","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","I have never had sex","Yes","No","No, significantly less"
"2024/10/08 2:10:19 PM AST","2027","Woman","Asian","Physical Sciences (including math, computer science)","Straight","No","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","Yes","Yes","I have never had sex","Yes","No","No, significantly less"
"2024/10/08 2:10:27 PM AST","2025","Woman","White","Humanities/Arts","Straight","No","Donald Trump","Once a month","My parents or guardians pay all of my tuition","No","Yes","Less than once a month","Yes","No","No, somewhat less"
"2024/10/08 2:10:45 PM AST","2026","Woman","Black","Physical Sciences (including math, computer science)","Straight","Yes","Unsure","I have never used marijuana","My parents or guardians pay all of my tuition","No","No, divorced or separated","I have never had sex","Yes","No","No, significantly less"
"2024/10/08 2:10:48 PM AST","2027","Woman","Asian","Physical Sciences (including math, computer science)","Queer","Yes","Unsure","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","2-3 times per month","No","No","About average"
"2024/10/08 2:11:55 PM AST","2026","Man","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Straight","Yes","Unsure","I have never used marijuana","My parents or guardians pay all of my tuition","Unsure","Yes","Less than once a month","Yes","No","No, somewhat less"
"2024/10/08 2:12:43 PM AST","2026","Woman","Asian","Physical Sciences (including math, computer science)","Questioning","Yes","Kamala Harris","I have never used marijuana","My tuition is fully covered by financial aid/grants/scholarships","Yes","Yes","2-3 times per week","Yes","Yes","Yes, somewhat more"
"2024/10/08 2:13:07 PM AST","2026","Man","Asian","Physical Sciences (including math, computer science)","Straight","No","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","Prefer not to answer","No","No","Prefer not to answer"
"2024/10/08 2:13:21 PM AST","2026","Man","Asian","Physical Sciences (including math, computer science)","Straight","Yes","Kamala Harris","I have never used marijuana","My tuition is fully covered by financial aid/grants/scholarships","No","Yes","Once a week","No","No","About average"
"2024/10/08 2:14:25 PM AST","2027","Man","White","Life Sciences","Straight","Yes","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","No","No, divorced or separated","Once a month","Yes","Yes","About average"
"2024/10/08 2:14:33 PM AST","2028","Woman","Asian","Humanities/Arts;Life Sciences","Straight","No","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","Unsure","Yes","I have never had sex","Yes","No","No, significantly less"
"2024/10/08 2:15:22 PM AST","2028","Woman","Black","Humanities/Arts;Social Sciences (including economics, CLPS)","Straight","No","Kamala Harris","I have never used marijuana","Prefer not to answer","No","Yes","I have never had sex","Yes","No","No, significantly less"
"2024/10/08 2:15:24 PM AST","2027","Man","White","Life Sciences","Straight","No","Kamala Harris","I have never used marijuana","I pay part of my tuition and my parents or guardians pay part of my tuition","No","Yes","Less than once a month","No","Yes","Yes, somewhat more"
"2024/10/08 2:15:25 PM AST","2027","Man","Asian","Social Sciences (including economics, CLPS)","Straight","Yes","Donald Trump","I have never used marijuana","My tuition is fully covered by financial aid/grants/scholarships","Unsure","Yes","Once a month","Yes","No","No, somewhat less"
"2024/10/08 2:16:07 PM AST","2028","Woman","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Lesbian;Queer","No","Unsure","I have never used marijuana","My parents or guardians pay all of my tuition","No","Other","I have never had sex","Yes","No","No, significantly less"
"2024/10/08 2:16:36 PM AST","2028","Woman","Black","Physical Sciences (including math, computer science)","Straight","Yes","Kamala Harris","I have never used marijuana","I pay part of my tuition and my parents or guardians pay part of my tuition","Yes","Yes","Prefer not to answer","Yes","No","Unsure"
"2024/10/08 2:16:52 PM AST","2028","Man","Middle Eastern or North African","Social Sciences (including economics, CLPS)","Straight","No","Donald Trump","I have never used marijuana","My tuition is fully covered by financial aid/grants/scholarships","Yes","Yes","I have never had sex","Yes","No","No, significantly less"
"2024/10/08 2:16:53 PM AST","2027","Man;Non-binary","Hispanic or Latino;White","Humanities/Arts;Physical Sciences (including math, computer science)","Bisexual","No","Kamala Harris","2-3 times per month","My parents or guardians pay all of my tuition","Yes","Yes","Less than once a month","No","No","No, somewhat less"
"2024/10/08 2:17:44 PM AST","2028","Woman","Asian;Hispanic or Latino","Humanities/Arts;Social Sciences (including economics, CLPS)","Lesbian","No","Kamala Harris","2-3 times per month","I pay all of my tuition","No","Yes","I have never had sex","Yes","No","No, somewhat less"
"2024/10/08 2:17:45 PM AST","2026","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Straight","No","Kamala Harris","Once a week","My parents or guardians pay all of my tuition","Unsure","Yes","Less than once a month","No","No","No, significantly less"
"2024/10/08 2:18:00 PM AST","2026","Woman","White","Humanities/Arts","Bisexual","No","Unsure","2-3 times per month","My parents or guardians pay all of my tuition","No","Yes","I have never had sex","Yes","No","No, significantly less"
"2024/10/08 2:18:15 PM AST","2028","Woman","Asian;Black;White","Life Sciences;Physical Sciences (including math, computer science)","Bisexual","No","Unsure","Once a month","I pay part of my tuition and my parents or guardians pay part of my tuition","Unsure","Yes","Prefer not to answer","No","No","Prefer not to answer"
"2024/10/08 2:18:47 PM AST","2028","Woman","White","Social Sciences (including economics, CLPS)","Straight","No","Unsure","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","Less than once a month","Yes","No","No, significantly less"
"2024/10/08 2:18:57 PM AST","2027","Man","Black","Life Sciences","Gay","No","Kamala Harris","Once a week","My tuition is fully covered by financial aid/grants/scholarships","No","Yes","Once a week","No","No","Yes, significantly more"
"2024/10/08 2:19:01 PM AST","2027","Woman","Asian","Physical Sciences (including math, computer science)","Bisexual","No","Donald Trump","Less than once a month","I pay part of my tuition and my parents or guardians pay part of my tuition","Unsure","Yes","I have never had sex","No","No","No, significantly less"
"2024/10/08 2:19:35 PM AST","2028","Man","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Straight","No","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","I have never had sex","No","Yes","No, significantly less"
"2024/10/08 2:20:24 PM AST","2028","Non-binary","White","Physical Sciences (including math, computer science)","Gay;Queer","No","Unsure","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","I have never had sex","Yes","Yes","No, significantly less"
"2024/10/08 2:20:49 PM AST","2026","Non-binary","White","Humanities/Arts;Physical Sciences (including math, computer science)","Lesbian","No","Kamala Harris","I have never used marijuana","I pay part of my tuition and my parents or guardians pay part of my tuition","No","Yes","I have never had sex","No","No","No, significantly less"
"2024/10/08 2:20:50 PM AST","2027","Man","Asian","Physical Sciences (including math, computer science)","Straight","Yes","Kamala Harris","Once a month","I pay part of my tuition and my parents or guardians pay part of my tuition","No","Yes","2-3 times per week","No","No","Yes, somewhat more"
"2024/10/08 2:21:27 PM AST","2027","Woman","White","Life Sciences","Bisexual","No","Unsure","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","I have never had sex","Yes","No","No, significantly less"
"2024/10/08 2:21:44 PM AST","2025","Woman","White","Humanities/Arts","Bisexual","Yes","Kamala Harris","Less than once a month","My parents or guardians pay all of my tuition","No","Yes","Less than once a month","Yes","No","No, somewhat less"
"2024/10/08 2:22:03 PM AST","2028","Woman","Hispanic or Latino","Physical Sciences (including math, computer science)","Lesbian","No","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","I have never had sex","Yes","Yes","Unsure"
"2024/10/08 2:22:20 PM AST","2027","Woman","Asian","Social Sciences (including economics, CLPS)","Straight","No","Kamala Harris","Less than once a month","My tuition is fully covered by financial aid/grants/scholarships","No","No, divorced or separated","Once a month","No","No","About average"
"2024/10/08 2:22:39 PM AST","2028","Woman","Hispanic or Latino","Physical Sciences (including math, computer science)","Straight","No","Unsure","I have never used marijuana","My tuition is fully covered by financial aid/grants/scholarships","No","Prefer not to answer","I have never had sex","Yes","No","No, significantly less"
"2024/10/08 2:22:48 PM AST","2027","Woman","Asian","Life Sciences;Physical Sciences (including math, computer science)","Straight;Questioning","Yes","Kamala Harris","Less than once a month","My tuition is fully covered by financial aid/grants/scholarships","Yes","No, divorced or separated","I have never had sex","Yes","No","No, significantly less"
"2024/10/08 2:23:45 PM AST","2027","Man","Asian","Life Sciences","Straight","No","Kamala Harris","I have never used marijuana","Prefer not to answer","Yes","No, never married","Unsure","No","Yes","Yes, somewhat more"
"2024/10/08 2:23:48 PM AST","2027","Woman","Hispanic or Latino;White","Social Sciences (including economics, CLPS)","Lesbian","No","Kamala Harris","Less than once a month","My tuition is fully covered by financial aid/grants/scholarships","Unsure","Yes","Less than once a month","No","No","No, somewhat less"
"2024/10/08 2:24:26 PM AST","2028","Woman","Asian","Life Sciences","Transgender;Pansexual","No","Kamala Harris","I have never used marijuana","My tuition is fully covered by financial aid/grants/scholarships","Yes","Yes","Once a month","Yes","No","Unsure"
"2024/10/08 2:24:42 PM AST","2026","Man","Asian","Social Sciences (including economics, CLPS)","Straight","No","Kamala Harris","2-3 times per week","My parents or guardians pay all of my tuition","Unsure","Yes","Less than once a month","Yes","No","No, significantly less"
"2024/10/08 2:25:00 PM AST","2028","Woman","White","Life Sciences","Straight","No","Kamala Harris","Less than once a month","My parents or guardians pay all of my tuition","No","Yes","2-3 times per month","Yes","No","No, somewhat less"
"2024/10/08 2:25:22 PM AST","2026","Woman","Hispanic or Latino;White","Social Sciences (including economics, CLPS)","Bisexual;Asexual","Unsure","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","No","No, divorced or separated","I have never had sex","Yes","Yes","No, significantly less"
"2024/10/08 2:25:43 PM AST","2025","Man","White","Social Sciences (including economics, CLPS)","Straight","No","Unsure","Once a week","My parents or guardians pay all of my tuition","Yes","Yes","Less than once a month","Yes","Yes","No, significantly less"
"2024/10/08 2:26:12 PM AST","2025","Woman","White","Physical Sciences (including math, computer science)","Straight","Yes","Kamala Harris","Less than once a month","My parents or guardians pay all of my tuition","No","Yes","4-5 times per week","No","No","Yes, significantly more"
"2024/10/08 2:26:17 PM AST","2028","Woman","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Prefer not to answer","No","Unsure","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","I have never had sex","Yes","No","Unsure"
"2024/10/08 2:26:46 PM AST","2028","Man","Middle Eastern or North African","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Straight","No","Donald Trump","2-3 times per week","I pay part of my tuition and my parents or guardians pay part of my tuition","Yes","Yes","Once a month","Yes","Yes","Yes, somewhat more"
"2024/10/08 2:27:18 PM AST","2028","Woman","Asian","Social Sciences (including economics, CLPS)","Straight","Yes","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","I have never had sex","Yes","No","No, somewhat less"
"2024/10/08 2:27:43 PM AST","2025","Woman","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Straight","No","Unsure","I have never used marijuana","My parents or guardians pay all of my tuition","Yes","Yes","Prefer not to answer","Yes","No","Prefer not to answer"
"2024/10/08 2:27:52 PM AST","2028","Woman","Black;Hispanic or Latino;Native American or Alaska Native","Humanities/Arts;Social Sciences (including economics, CLPS)","Straight","No","Unsure","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","I have never had sex","Yes","No","No, significantly less"
"2024/10/08 2:28:18 PM AST","2026","Woman","White","Social Sciences (including economics, CLPS)","Straight","Yes","Kamala Harris","Less than once a month","My parents or guardians pay all of my tuition","No","Yes","4-5 times per week","No","No","Yes, somewhat more"
"2024/10/08 2:28:56 PM AST","2026","Man","White","Humanities/Arts","Gay;Queer","Yes","Kamala Harris","Unsure","My parents or guardians pay all of my tuition","Unsure","Yes","2-3 times per week","Yes","No","Yes, somewhat more"
"2024/10/08 2:28:58 PM AST","2028","Woman","White","Life Sciences","Straight","No","Kamala Harris","I have never used marijuana","I pay part of my tuition and my parents or guardians pay part of my tuition","No","Yes","Prefer not to answer","Yes","No","About average"
"2024/10/08 2:29:26 PM AST","2026","Woman","White","Humanities/Arts;Physical Sciences (including math, computer science)","Straight","No","Unsure","I have never used marijuana","My tuition is fully covered by financial aid/grants/scholarships","No","Yes","I have never had sex","Yes","Yes","No, significantly less"
"2024/10/08 2:29:34 PM AST","2027","Man","Hispanic or Latino;White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Straight","Yes","Donald Trump","Once a month","My parents or guardians pay all of my tuition","No","Yes","Less than once a month","No","Yes","Yes, somewhat more"
"2024/10/08 2:30:21 PM AST","2026","Woman","White","Humanities/Arts;Physical Sciences (including math, computer science)","Bisexual;Asexual","No","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","Yes","Yes","I have never had sex","Yes","No","No, significantly less"
"2024/10/08 2:30:41 PM AST","2027","Woman","Middle Eastern or North African;White","Physical Sciences (including math, computer science)","Straight","No","Unsure","I have never used marijuana","My parents or guardians pay all of my tuition","Yes","Yes","I have never had sex","Yes","Yes","No, significantly less"
"2024/10/08 2:31:30 PM AST","2025","Man","Hispanic or Latino","Social Sciences (including economics, CLPS)","Straight","No","Kamala Harris","Less than once a month","My tuition is fully covered by financial aid/grants/scholarships","No","Yes","Once a month","Yes","Yes","About average"
"2024/10/08 2:32:15 PM AST","2028","Man","Middle Eastern or North African","Life Sciences","Straight","No","Unsure","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","I have never had sex","Yes","Yes","No, significantly less"
"2024/10/08 2:32:31 PM AST","2028","Man","White","Social Sciences (including economics, CLPS)","Straight","Yes","Kamala Harris","Less than once a month","My parents or guardians pay all of my tuition","Prefer not to answer","Yes","2-3 times per week","Yes","Yes","Unsure"
"2024/10/08 2:33:35 PM AST","2028","Man","Prefer not to answer","Physical Sciences (including math, computer science)","Straight","No","Unsure","2-3 times per week","I pay part of my tuition and my parents or guardians pay part of my tuition","Prefer not to answer","Yes","Prefer not to answer","No","Yes","Unsure"
"2024/10/08 2:33:53 PM AST","2028","Man","Asian","Physical Sciences (including math, computer science)","Straight","No","Unsure","Once a week","My parents or guardians pay all of my tuition","No","Yes","I have never had sex","No","No","No, significantly less"
"2024/10/08 2:34:35 PM AST","2025","Woman","Middle Eastern or North African;White","Life Sciences","Straight","No","Kamala Harris","I have never used marijuana","My tuition is fully covered by financial aid/grants/scholarships","No","Yes","I have never had sex","Yes","Yes","No, significantly less"
"2024/10/08 2:35:10 PM AST","2025","Man","Asian;White","Humanities/Arts;Life Sciences","Straight","Yes","Unsure","Less than once a month","My parents or guardians pay all of my tuition","Yes","Yes","4-5 times per week","Yes","No","Yes, significantly more"
"2024/10/08 2:35:32 PM AST","2025","Woman","White","Physical Sciences (including math, computer science)","Bisexual","No","Kamala Harris","Once a month","My parents or guardians pay all of my tuition","Yes","Yes","Less than once a month","No","No","No, somewhat less"
"2024/10/08 2:37:12 PM AST","2027","Woman","Asian","Physical Sciences (including math, computer science)","Straight","No","Unsure","I have never used marijuana","My parents or guardians pay all of my tuition","Yes","Yes","I have never had sex","No","No","No, somewhat less"
"2024/10/08 2:37:49 PM AST","2025","Woman","White","Social Sciences (including economics, CLPS)","Straight","No","Kamala Harris","Once a month","I pay part of my tuition and my parents or guardians pay part of my tuition","No","Yes","2-3 times per month","Yes","No","About average"
"2024/10/08 2:38:35 PM AST","2028","Woman","White","Social Sciences (including economics, CLPS)","Straight","No","Kamala Harris","I have never used marijuana","I pay part of my tuition and my parents or guardians pay part of my tuition","No","Yes","I have never had sex","Yes","No","No, significantly less"
"2024/10/08 2:39:49 PM AST","2027","Woman","Prefer not to answer","Humanities/Arts;Life Sciences","Queer","No","Kamala Harris","Less than once a month","I pay part of my tuition and my parents or guardians pay part of my tuition","No","Yes","Less than once a month","No","No","No, somewhat less"
"2024/10/08 2:39:52 PM AST","2027","Woman","Asian;White","Humanities/Arts","Bisexual","No","Kamala Harris","Once a month","I pay all of my tuition","Yes","Yes","2-3 times per week","Yes","Yes","Yes, significantly more"
"2024/10/08 2:39:54 PM AST","2027","Man","White","Life Sciences;Social Sciences (including economics, CLPS)","Gay","No","Unsure","2-3 times per month","I pay part of my tuition and my parents or guardians pay part of my tuition","No","Yes","Less than once a month","Yes","Prefer not to answer","No, somewhat less"
"2024/10/08 2:41:13 PM AST","2026","Woman","Asian","Physical Sciences (including math, computer science)","Questioning","No","Unsure","I have never used marijuana","My parents or guardians pay all of my tuition","Yes","Yes","Less than once a month","Yes","Yes","No, significantly less"
"2024/10/08 2:41:17 PM AST","2027","Woman","Asian","Humanities/Arts;Social Sciences (including economics, CLPS)","Straight","No","Unsure","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","I have never had sex","No","No","No, significantly less"
"2024/10/08 2:42:47 PM AST","2026","Woman","White","Humanities/Arts","Straight;Questioning","No","Unsure","Less than once a month","My parents or guardians pay all of my tuition","No","Yes","I have never had sex","No","No","No, significantly less"
"2024/10/08 2:43:47 PM AST","2026","Man","White","Social Sciences (including economics, CLPS)","Queer","No","Kamala Harris","Less than once a month","I pay part of my tuition and my parents or guardians pay part of my tuition","No","Yes","I have never had sex","Yes","Yes","No, significantly less"
"2024/10/08 2:44:47 PM AST","2028","Questioning","Asian","Social Sciences (including economics, CLPS)","Bisexual","No","Kamala Harris","Once a month","My parents or guardians pay all of my tuition","No","Yes","Less than once a month","Yes","Yes","No, somewhat less"
"2024/10/08 2:46:02 PM AST","2027","Man","Black","Social Sciences (including economics, CLPS)","Straight","Yes","Unsure","Once a month","My tuition is fully covered by financial aid/grants/scholarships","Yes","No, divorced or separated","2-3 times per month","Yes","No","Yes, significantly more"
"2024/10/08 2:46:21 PM AST","2027","Woman","Black","Humanities/Arts","Straight","No","Kamala Harris","Once a month","My parents or guardians pay all of my tuition","No","Yes","Prefer not to answer","Yes","No","No, significantly less"
"2024/10/08 2:47:38 PM AST","2027","Man","Hispanic or Latino","Humanities/Arts;Social Sciences (including economics, CLPS)","Gay;Queer","No","Kamala Harris","Daily or almost daily","My parents or guardians pay all of my tuition","Yes","Yes","2-3 times per month","No","Yes","Unsure"
"2024/10/08 2:49:10 PM AST","2028","Woman","Black;White","Social Sciences (including economics, CLPS)","Straight","No","Kamala Harris","Less than once a month","My parents or guardians pay all of my tuition","No","Yes","I have never had sex","Yes","Yes","No, significantly less"
"2024/10/08 2:49:44 PM AST","2025","Man","Black;White","Humanities/Arts","Straight","No","Kamala Harris","Once a month","My parents or guardians pay all of my tuition","No","Yes","Less than once a month","No","No","No, somewhat less"
"2024/10/08 2:51:34 PM AST","2026","Woman","White","Physical Sciences (including math, computer science)","Straight","No","Kamala Harris","Less than once a month","My parents or guardians pay all of my tuition","Unsure","Yes","Less than once a month","Yes","No","No, somewhat less"
"2024/10/08 2:51:37 PM AST","2025","Woman","Asian","Social Sciences (including economics, CLPS)","Straight","No","Kamala Harris","Less than once a month","My parents or guardians pay all of my tuition","Yes","No, divorced or separated","Less than once a month","Yes","No","About average"
"2024/10/08 2:51:57 PM AST","2026","Man","Asian","Humanities/Arts","Gay","No","Unsure","Less than once a month","My tuition is fully covered by financial aid/grants/scholarships","Yes","No, divorced or separated","Less than once a month","Yes","Yes","No, somewhat less"
"2024/10/08 2:52:35 PM AST","2028","Woman","Black","Physical Sciences (including math, computer science)","Straight","No","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","No","No, divorced or separated","I have never had sex","No","No","No, significantly less"
"2024/10/08 2:52:44 PM AST","2025","Woman","Prefer not to answer","Life Sciences","Straight","No","Kamala Harris","I have never used marijuana","Prefer not to answer","No","Yes","I have never had sex","Yes","No","No, significantly less"
"2024/10/08 2:53:26 PM AST","2025","Woman","Asian;White","Social Sciences (including economics, CLPS)","Straight","No","Kamala Harris","Less than once a month","I pay part of my tuition and my parents or guardians pay part of my tuition","No","Yes","Less than once a month","Yes","Yes","About average"
"2024/10/08 2:55:14 PM AST","2028","Woman","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Queer","No","Kamala Harris","Prefer not to answer","My parents or guardians pay all of my tuition","No","Yes","Prefer not to answer","Yes","No","Unsure"
"2024/10/08 2:55:58 PM AST","2028","Man","Middle Eastern or North African","Physical Sciences (including math, computer science)","Straight","No","Donald Trump","I have never used marijuana","My parents or guardians pay all of my tuition","Yes","Yes","I have never had sex","No","Yes","No, significantly less"
"2024/10/08 2:56:03 PM AST","2027","Man","Black;Hispanic or Latino","Life Sciences","Straight","No","Kamala Harris","Less than once a month","My tuition is fully covered by financial aid/grants/scholarships","Yes","No, divorced or separated","Less than once a month","No","Yes","No, significantly less"
"2024/10/08 2:57:09 PM AST","2027","Woman","Middle Eastern or North African","Humanities/Arts","Straight","No","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","Yes","No, divorced or separated","I have never had sex","Yes","Yes","No, significantly less"
"2024/10/08 2:57:14 PM AST","2026","Man","Asian","Humanities/Arts","Bisexual","Yes","Kamala Harris","Unsure","My parents or guardians pay all of my tuition","Yes","No, divorced or separated","2-3 times per month","No","No","About average"
"2024/10/08 2:58:05 PM AST","2027","Man","Asian;White","Social Sciences (including economics, CLPS)","Straight","No","Kamala Harris","I have never used marijuana","I pay part of my tuition and my parents or guardians pay part of my tuition","No","Yes","Less than once a month","No","Yes","No, somewhat less"
"2024/10/08 2:58:42 PM AST","2027","Man","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Gay","No","Kamala Harris","Less than once a month","My parents or guardians pay all of my tuition","Yes","Yes","I have never had sex","No","No","No, significantly less"
"2024/10/08 2:58:58 PM AST","2028","Man","Asian;Hispanic or Latino","Physical Sciences (including math, computer science)","Straight","Yes","Unsure","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","2-3 times per month","Yes","Yes","About average"
"2024/10/08 3:00:33 PM AST","2026","Man","White","Physical Sciences (including math, computer science)","Prefer not to answer","Yes","Unsure","Less than once a month","My parents or guardians pay all of my tuition","No","Yes","2-3 times per week","No","No","Yes, significantly more"
"2024/10/08 3:01:58 PM AST","2027","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Gay","No","Kamala Harris","Less than once a month","My parents or guardians pay all of my tuition","No","Other","I have never had sex","No","Yes","No, significantly less"
"2024/10/08 3:06:15 PM AST","2025.5","Man","Asian;White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Straight","No","Unsure","Less than once a month","I pay part of my tuition and my parents or guardians pay part of my tuition","Unsure","No, divorced or separated","Less than once a month","Yes","Yes","No, somewhat less"
"2024/10/08 3:06:25 PM AST","2025","Woman","Asian","Humanities/Arts","Prefer not to answer","No","Unsure","Once a month","My parents or guardians pay all of my tuition","Yes","Yes","2-3 times per month","No","No","Yes, somewhat more"
"2024/10/08 3:07:11 PM AST","2025","Man","White","Physical Sciences (including math, computer science)","Straight","No","Kamala Harris","Once a month","My tuition is fully covered by financial aid/grants/scholarships","No","Yes","I have never had sex","No","No","Yes, significantly more"
"2024/10/08 3:08:57 PM AST","2027","Woman","Asian","Social Sciences (including economics, CLPS)","Straight","No","Kamala Harris","2-3 times per week","My parents or guardians pay all of my tuition","Yes","Yes","Prefer not to answer","No","No","Unsure"
"2024/10/08 3:09:12 PM AST","2025","Woman","Black","Physical Sciences (including math, computer science)","Bisexual","No","Kamala Harris","I have never used marijuana","My tuition is fully covered by financial aid/grants/scholarships","Unsure","Yes","Less than once a month","No","No","No, significantly less"
"2024/10/08 3:09:26 PM AST","2027","Woman","Black","Social Sciences (including economics, CLPS)","Straight","No","Unsure","Less than once a month","My parents or guardians pay all of my tuition","Yes","Yes","I have never had sex","No","No","No, significantly less"
"2024/10/08 3:12:24 PM AST","2025","Man","Black","Life Sciences","Straight","No","Kamala Harris","Less than once a month","My parents or guardians pay all of my tuition","No","Yes","Less than once a month","Yes","Yes","About average"
"2024/10/08 3:13:13 PM AST","2027","Man","White","Humanities/Arts;Life Sciences","Straight","No","Donald Trump","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","I have never had sex","Yes","No","No, somewhat less"
"2024/10/08 3:13:46 PM AST","2027","Woman","Asian;Black","Social Sciences (including economics, CLPS)","Bisexual;Queer","No","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","Less than once a month","Yes","Yes","No, somewhat less"
"2024/10/08 3:15:08 PM AST","2025","Man","Black","Life Sciences","Straight","Yes","Kamala Harris","I have never used marijuana","My tuition is fully covered by financial aid/grants/scholarships","No","Yes","Unsure","Yes","Yes","No, significantly less"
"2024/10/08 3:15:14 PM AST","2028","Man","White","Physical Sciences (including math, computer science)","Straight","No","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","No","Yes","I have never had sex","Yes","No","No, somewhat less"
"2024/10/08 3:15:14 PM AST","2027","Man","White","Humanities/Arts","Straight","No","Unsure","Less than once a month","My tuition is fully covered by financial aid/grants/scholarships","No","Yes","Once a month","No","No","No, somewhat less"
"2024/10/08 3:16:29 PM AST","2027","Man","Asian","Life Sciences;Physical Sciences (including math, computer science)","Gay","Yes","Unsure","2-3 times per month","My parents or guardians pay all of my tuition","Yes","Yes","2-3 times per month","No","No","About average"
"2024/10/08 3:17:26 PM AST","2026","Woman","Asian","Life Sciences","Straight","Yes","Kamala Harris","I have never used marijuana","My parents or guardians pay all of my tuition","Unsure","Yes","Once a week","Yes","No","About average"
"2024/10/08 3:18:01 PM AST","2028","Man","Hispanic or Latino;White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Gay","No","Kamala Harris","I have never used marijuana","I pay part of my tuition and my parents or guardians pay part of my tuition","No","Yes","Less than once a month","Yes","No","No, significantly less"
"2024/10/08 3:20:11 PM AST","2028","Woman","Asian","Humanities/Arts","Bisexual","No","Unsure","2-3 times per month","My parents or guardians pay all of my tuition","Yes","Yes","I have never had sex","Yes","No","Unsure"
"2024/10/08 3:20:30 PM AST","2027","Woman","Hispanic or Latino","Life Sciences","Straight","No","Kamala Harris","Less than once a month","My parents or guardians pay all of my tuition","Prefer not to answer","Yes","2-3 times per month","No","No","No, somewhat less"
"2024/10/08 3:22:18 PM AST","2026","Woman","Asian;White","Physical Sciences (including math, computer science)","Straight","Yes","Kamala Harris","Less than once a month","I pay part of my tuition and my parents or guardians pay part of my tuition","Unsure","Yes","2-3 times per month","Yes","Yes","No, somewhat less"
"2024/10/08 3:22:50 PM AST","2025","Woman","White","Life Sciences;Physical Sciences (including math, computer science)","Bisexual","Yes","Unsure","2-3 times per month","I pay part of my tuition and my parents or guardians pay part of my tuition","Yes","Yes","Daily or almost daily","No","Yes","Yes, somewhat more"
"2024/10/08 3:23:43 PM AST","2025","Woman","Hispanic or Latino;White","Humanities/Arts","Gay;Bisexual;Queer","No","Kamala Harris","Once a week","My tuition is fully covered by financial aid/grants/scholarships","No","Yes","I have never had sex","Yes","No","No, somewhat less"
"2024/10/08 3:23:59 PM AST","2027","Woman","Asian;White","Life Sciences","Straight","No","Kamala Harris","Less than once a month","My parents or guardians pay all of my tuition","No","Yes","I have never had sex","No","No","No, significantly less"
